,日期,代码,名称,涨幅%,开买量,开卖量,开盘,最高,最低,收盘,总量,量比,振幅%,总金额,开盘金额,内盘,外盘,内外比,攻击波%,回头波%,强弱度%,活跃度,笔均量,换手Z,当日___净流入,净买率%,当日___相对流量%,当日___超大单,当日___大单,当日___中单,当日___小单,BS,WIN,RSI1,今日强,3日强,5日强,10日强,20日强,60日强,一年来,年初至今,涨幅%Rank,开买量Rank,开卖量Rank,开盘Rank,最高Rank,最低Rank,收盘Rank,总量Rank,量比Rank,振幅%Rank,总金额Rank,开盘金额Rank,内盘Rank,外盘Rank,内外比Rank,攻击波%Rank,回头波%Rank,强弱度%Rank,活跃度Rank,笔均量Rank,换手ZRank,当日___净流入Rank,净买率%Rank,当日___相对流量%Rank,当日___超大单Rank,当日___大单Rank,当日___中单Rank,当日___小单Rank,BSRank,WINRank,RSI1Rank,今日强Rank,3日强Rank,5日强Rank,10日强Rank,20日强Rank,60日强Rank,一年来Rank,年初至今Rank,买量,卖量,买量Rank,卖量Rank,代码.1,名称.1,代码.1Rank,名称.1Rank,竞价量,竞价量Rank
0,2021-05-06,546,金圆股份,-0.73,34.0,20.0,6.88,6.92,6.79,6.83,25577.0,1.1,1.89,1749.66,2.48,17316.0,8261.0,2.1,0.59,-1.3,0.85,630.0,41.0,0.61, -616.9万,-0.13,-35.26,0,0, -362.2万, -254.6万,3791.0,0.982,66.093,0.49,2.47,2.41,-2.75,-2.4,2.87,-52.35,-6.29,2996.0,2092.0,2461.0,2866.0,2905.0,2870.0,2902.0,2874.0,1206.0,3578.0,3416.0,3797.0,2604.0,3245.0,103.0,3317.0,1927.0,2481.0,3664.0,1747.0,3962.0,,2919.0,4162.0,,,,,537.0,130.0,364.0,2992.0,1166.0,1059.0,1986.0,2641.0,2744.0,3212.0,2538.0,,,,,,,,,,
1,2021-05-10,546,金圆股份,0.73,85.0,63.0,6.88,6.95,6.83,6.94,31584.0,1.23,1.74,2176.06,19.54,15562.0,16022.0,0.97,1.61,-0.14,0.84,1118.0,28.0,0.75,   34.0万,0.01,1.56,0,   67.4万,  -66.0万,   32.6万,1118.0,0.139,49.118,0.8,3.43,5.44,3.7,-1.56,12.21,-44.69,-3.51,1636.0,1429.0,1692.0,2887.0,2906.0,2867.0,2886.0,2731.0,1093.0,3690.0,3272.0,2372.0,2806.0,2595.0,2757.0,2045.0,419.0,1538.0,2934.0,2417.0,3863.0,,1505.0,1503.0,,,,,2934.0,2741.0,1741.0,1639.0,1835.0,1028.0,1157.0,2197.0,2031.0,2947.0,2336.0,652.0,224.0,1094.0,1559.0,,,,,,
2,2021-05-12,546,金圆股份,10.0,560.0,271.0,7.02,7.7,7.01,7.7,258058.0,7.47,9.86,19398.65,63.18,129830.0,128228.0,1.01,9.84,0.0,9.3,2173.0,119.0,6.13, -261.1万,-0.05,-1.35, -190.5万,   1156万,  305.4万,  -1532万,2173.0,0.493,73.221,9.57,10.79,13.46,15.34,8.57,21.92,-45.47,5.59,54.0,422.0,653.0,2879.0,2756.0,2861.0,2740.0,605.0,10.0,183.0,902.0,1291.0,605.0,625.0,2103.0,98.0,1.0,72.0,1603.0,486.0,652.0,,2655.0,2242.0,,,,,1603.0,1537.0,169.0,52.0,166.0,297.0,328.0,826.0,1417.0,2978.0,1469.0,7079.0,0.0,193.0,3046.0,,,,,,
3,2021-05-18,546,金圆股份,-0.53,96.0,407.0,7.59,7.63,7.39,7.51,80408.0,0.45,3.18,6022.94,,44614.0,35794.0,1.25,1.62,-1.57,-0.49,1894.0,42.0,1.91, -651.5万,-0.13,-10.82,0, -281.5万, -525.4万,  155.4万,1894.0,0.423,58.81800000000001,-0.58,-6.11,4.01,10.31,3.24,23.27,-51.04,0.32,3069.0,1315.0,478.0,2755.0,2775.0,2773.0,2785.0,1544.0,4036.0,1779.0,2021.0,,1470.0,1614.0,1436.0,1985.0,2952.0,2901.0,1873.0,1646.0,2108.0,,2976.0,2812.0,,,,,1873.0,1842.0,915.0,3066.0,3588.0,516.0,466.0,1002.0,1436.0,2997.0,1675.0,83.0,111.0,2231.0,1954.0,,,,,,
4,2021-05-19,546,金圆股份,-1.33,7.0,279.0,7.48,7.6,7.29,7.41,112247.0,0.6,4.13,8292.87,126.79,64019.0,48228.0,1.33,1.65,-2.5,-1.57,1674.0,67.0,2.67,  -1148万,-0.23,-13.85, -215.8万, -224.6万, -627.1万,  -80.9万,1674.0,0.358,55.798,-1.04,-8.93,-6.3,6.75,0.81,19.47,-50.15,-0.71,3069.0,3142.0,664.0,2786.0,2788.0,2801.0,2804.0,1226.0,3437.0,1081.0,1726.0,835.0,1193.0,1268.0,1850.0,1348.0,3387.0,3342.0,2061.0,1019.0,1601.0,,3046.0,2402.0,,,,,2061.0,2036.0,1194.0,3075.0,4134.0,3540.0,784.0,1140.0,1455.0,3020.0,1781.0,529.0,205.0,1205.0,1611.0,,,,,,
5,2021-05-20,546,金圆股份,-0.54,10.0,17.0,7.37,7.51,7.27,7.37,103554.0,0.65,3.24,7639.84,19.75,56640.0,46914.0,1.21,1.38,-1.86,-0.89,2112.0,49.0,2.46, -695.4万,-0.14,-9.1,0,  -41.6万, -141.8万, -512.0万,2112.0,0.33299999999999996,54.591,-0.81,-2.41,-7.91,5.43,2.44,14.79,-56.27,-1.52,2148.0,2912.0,2580.0,2807.0,2810.0,2802.0,2805.0,1385.0,3450.0,1834.0,1860.0,2333.0,1382.0,1389.0,2109.0,1709.0,2627.0,2352.0,1723.0,1548.0,1818.0,,2521.0,2135.0,,,,,1723.0,2036.0,1284.0,2141.0,3311.0,3580.0,653.0,1034.0,1574.0,3227.0,1808.0,118.0,431.0,1994.0,1148.0,,,,,,
6,2021-05-21,546,金圆股份,0.41,91.0,5.0,7.36,7.44,7.35,7.4,42658.0,0.31,1.22,3148.3,15.09,24397.0,18261.0,1.34,0.68,-0.54,1.22,1332.0,32.0,1.01, -450.1万,-0.09,-14.3,0,0, -299.3万, -150.8万,1332.0,0.366,55.371,1.41,-0.43,-8.31,4.64,5.78,9.23,-57.13,-0.12,1621.0,1350.0,3372.0,2810.0,2828.0,2795.0,2815.0,2286.0,4268.0,3917.0,2808.0,2393.0,2204.0,2339.0,1423.0,2520.0,625.0,1516.0,2472.0,2164.0,3197.0,,2400.0,2849.0,,,,,2472.0,1908.0,1150.0,1632.0,2584.0,4068.0,799.0,885.0,1891.0,3299.0,1785.0,286.0,603.0,1519.0,937.0,,,,,,
7,2021-05-24,546,金圆股份,0.95,434.0,80.0,7.5,7.62,7.33,7.47,59542.0,0.56,3.92,4445.66,93.98,34210.0,25332.0,1.35,1.91,-1.97,0.33,1558.0,38.0,1.41, -651.7万,-0.13,-14.66,0, -137.1万, -318.5万, -196.1万,1558.0,0.413,57.218,0.53,1.13,-0.49,4.37,8.26,11.64,-61.37,0.4,1577.0,518.0,1437.0,2791.0,2802.0,2817.0,2814.0,1964.0,3858.0,1451.0,2455.0,1103.0,1821.0,2103.0,939.0,1646.0,3221.0,1706.0,2247.0,1940.0,2772.0,,3049.0,3329.0,,,,,2247.0,1852.0,1110.0,1577.0,1652.0,2764.0,825.0,725.0,1691.0,3383.0,1752.0,1319.0,152.0,658.0,1843.0,,,,,,
8,2021-05-26,546,金圆股份,0.13,28.0,30.0,7.41,7.48,7.36,7.42,37155.0,0.49,1.62,2754.38,8.82,20389.0,16766.0,1.22,0.82,-0.8,0.49,1225.0,30.0,0.88, -265.8万,-0.05,-9.65,0, -142.3万, -188.2万,   64.8万,1225.0,0.382,55.407,0.1,-3.36,-2.73,-9.11,5.83,5.35,-62.21,-3.43,2497.0,2213.0,2293.0,2835.0,2852.0,2831.0,2840.0,2674.0,4213.0,3512.0,3236.0,2981.0,2605.0,2722.0,1303.0,2906.0,1533.0,2120.0,2912.0,2400.0,3815.0,,2391.0,2974.0,,,,,2912.0,2389.0,1658.0,2482.0,3163.0,2864.0,3620.0,875.0,2098.0,3347.0,1908.0,679.0,79.0,1346.0,2813.0,,,,,,
9,2021-05-27,546,金圆股份,1.75,101.0,3.0,7.46,7.6,7.4,7.55,55431.0,0.92,2.7,4153.85,14.47,26276.0,29155.0,0.9,2.03,-0.66,1.05,1305.0,42.0,1.32,  222.1万,0.04,5.35, -188.7万,  133.2万,  368.3万,  -90.6万,1305.0,0.476,59.158,1.42,-2.47,-0.48,-8.61,7.71,5.86,-58.87,-2.04,940.0,1352.0,3662.0,2831.0,2832.0,2827.0,2825.0,2231.0,2502.0,1983.0,2783.0,2681.0,2326.0,2105.0,2898.0,1379.0,1364.0,997.0,2760.0,1952.0,3219.0,,1532.0,1381.0,,,,,2760.0,2077.0,1231.0,939.0,2592.0,2152.0,3480.0,692.0,1794.0,3251.0,1788.0,96.0,115.0,2865.0,2541.0,,,,,,
