,日期,代码,名称,涨幅%,开买量,开卖量,买量,卖量,开盘,最高,最低,收盘,总量,量比,振幅%,总金额,内盘,外盘,内外比,攻击波%,回头波%,强弱度%,活跃度,笔均量,换手Z,当日___净流入,净买率%,当日___相对流量%,当日___超大单,当日___大单,当日___中单,当日___小单,BS,WIN,RSI1,今日强,3日强,5日强,10日强,20日强,60日强,一年来,年初至今,涨幅%Rank,开买量Rank,开卖量Rank,买量Rank,卖量Rank,开盘Rank,最高Rank,最低Rank,收盘Rank,总量Rank,量比Rank,振幅%Rank,总金额Rank,内盘Rank,外盘Rank,内外比Rank,攻击波%Rank,回头波%Rank,强弱度%Rank,活跃度Rank,笔均量Rank,换手ZRank,当日___净流入Rank,净买率%Rank,当日___相对流量%Rank,当日___超大单Rank,当日___大单Rank,当日___中单Rank,当日___小单Rank,BSRank,WINRank,RSI1Rank,今日强Rank,3日强Rank,5日强Rank,10日强Rank,20日强Rank,60日强Rank,一年来Rank,年初至今Rank,开盘金额,开盘金额Rank,代码.1,名称.1,代码.1Rank,名称.1Rank,竞价量,竞价量Rank
0,2021-05-07,300989,N蕾奥,47.81,1.0,88.0,48.0,471.0,79.0,97.88,72.72,76.3,73619.0,0.0,48.74,60208.56,37440.0,36179.0,1.03,4.92,-22.05,49.76,4077.0,18.0,49.08, -917.6万,-0.8,-1.52,   1168万, -610.5万,  321.5万,  -1797万,4077.0,0.04,,,,,,,,,,1.0,3959.0,1290.0,3047.0,1276.0,211.0,152.0,228.0,217.0,1753.0,4262.0,1.0,314.0,1780.0,1675.0,,,,1.0,405.0,3010.0,,,3946.0,1570.0,,,,,405.0,3533.0,,,,,,,,,,,,,,,,,
1,2021-05-10,300989,C蕾奥,-21.73,1.0,2.0,19.0,0.0,67.96,67.98,59.52,59.72,59308.0,0.8,11.09,37099.47,31376.0,27932.0,1.12,0.34,-12.15,-21.62,3873.0,15.0,39.54,  -2169万,-2.42,-5.85, -997.9万, -372.5万, -325.0万, -473.4万,3881.0,0.001,0.0,-21.66,,,,,,,,4265.0,3941.0,3797.0,2741.0,3013.0,256.0,274.0,297.0,308.0,2011.0,2726.0,86.0,530.0,2010.0,1989.0,2025.0,3904.0,4264.0,4265.0,504.0,3278.0,10.0,,4242.0,2244.0,,,,,501.0,4130.0,4261.0,4264.0,,,,,,,,477.08,352.0,,,,,,
2,2021-05-11,300989,C蕾奥,-2.88,28.0,26.0,0.0,1.0,57.0,61.7,55.5,58.0,42817.0,0.64,10.38,24877.69,22914.0,19903.0,1.15,4.5,-6.0,-3.23,3411.0,13.0,28.54,  -1707万,-1.96,-6.86,0, -694.1万, -474.2万, -538.4万,3413.0,0.119,0.0,-3.49,,,,,,,,3870.0,2094.0,2294.0,3185.0,2988.0,327.0,307.0,332.0,321.0,2379.0,3411.0,154.0,766.0,2301.0,2423.0,1490.0,548.0,4158.0,3865.0,728.0,3444.0,50.0,,4229.0,2759.0,,,,,728.0,3104.0,4264.0,3867.0,,,,,,,,306.66,503.0,,,,,,
3,2021-05-12,300989,C蕾奥,1.47,61.0,3.0,1.0,0.0,56.02,60.99,54.39,58.85,48660.0,0.83,11.38,27837.12,24055.0,24605.0,0.98,8.2,-3.51,0.76,3578.0,14.0,32.44,  390.3万,0.44,1.4,0,  853.5万, -465.4万,    2.2万,3580.0,0.431,5.077,1.04,-23.84,,,,,,,1278.0,1525.0,3634.0,3219.0,3046.0,337.0,313.0,341.0,321.0,2220.0,2233.0,103.0,642.0,2208.0,2201.0,2270.0,164.0,4089.0,1310.0,604.0,3317.0,36.0,,372.0,1951.0,,,,,604.0,1719.0,4266.0,1275.0,4265.0,,,,,,,164.57,688.0,,,,,,
4,2021-05-13,300989,C蕾奥,-7.14,1.0,20.0,2.0,0.0,56.5,57.49,54.55,54.65,33272.0,0.59,5.0,18633.43,19619.0,13653.0,1.44,0.18,-4.94,-6.09,3133.0,11.0,22.18,  -3322万,-4.05,-17.83,0,  -49.6万,  -1851万,  -1421万,3135.0,0.002,3.997,-6.11,-8.5,,,,,,,4244.0,4003.0,2572.0,3121.0,3070.0,337.0,344.0,343.0,355.0,2687.0,3874.0,865.0,969.0,2589.0,2760.0,945.0,3851.0,4048.0,4244.0,894.0,3653.0,87.0,,4264.0,3321.0,,,,,893.0,4248.0,4272.0,4240.0,4162.0,,,,,,,233.91,685.0,,,,,,
5,2021-05-14,300989,蕾奥规划,-2.05,61.0,26.0,0.0,5.0,54.65,55.03,53.51,53.53,22399.0,0.43,2.78,12064.13,12564.0,9835.0,1.28,0.04,-2.73,-4.14,2553.0,9.0,14.93,  -1462万,-1.82,-12.12,0,   75.0万, -950.4万, -587.0万,2555.0,0.0,3.767,-4.41,-9.45,-32.14,,,,,,4036.0,1684.0,2095.0,3369.0,2929.0,356.0,367.0,358.0,380.0,3152.0,4248.0,2258.0,1447.0,3033.0,3256.0,812.0,4232.0,3704.0,4052.0,1426.0,3866.0,177.0,,4222.0,3439.0,,,,,1426.0,4274.0,4272.0,4039.0,4216.0,4267.0,,,,,,64.88,1295.0,,,,,,
6,2021-05-17,300989,蕾奥规划,-2.0,1.0,15.0,0.0,0.0,53.92,53.92,52.28,52.46,18190.0,0.44,3.06,9624.65,9902.0,8288.0,1.19,0.34,-2.71,-3.74,2402.0,8.0,12.13, -844.1万,-1.07,-8.77,0, -118.0万, -329.6万, -396.5万,2402.0,0.003,3.556,-3.45,-13.64,-16.01,,,,,,2961.0,4050.0,2801.0,3257.0,3172.0,373.0,389.0,379.0,389.0,3423.0,4207.0,2411.0,1731.0,3437.0,3354.0,2279.0,3201.0,2948.0,3151.0,1610.0,4018.0,262.0,,4092.0,2007.0,,,,,1610.0,4226.0,4274.0,2958.0,4214.0,4194.0,,,,,,99.75,1285.0,,,,,,
7,2021-05-18,300989,蕾奥规划,1.22,7.0,8.0,0.0,0.0,52.13,53.48,52.13,53.1,14478.0,0.44,2.57,7675.95,7006.0,7472.0,0.94,1.86,-0.71,1.26,1870.0,8.0,9.65,  254.7万,0.32,3.32,0,  304.3万, -240.9万,  191.3万,1870.0,0.149,6.909,1.17,-6.73,-11.72,,,,,,1171.0,3122.0,3097.0,3281.0,3068.0,389.0,389.0,381.0,385.0,3410.0,4066.0,2369.0,1752.0,3486.0,3296.0,2901.0,1776.0,1646.0,1078.0,1902.0,3940.0,336.0,,404.0,1342.0,,,,,1902.0,3163.0,4268.0,1168.0,3756.0,4156.0,,,,,,,,,,,,,
8,2021-05-20,300989,蕾奥规划,0.33,35.0,4.0,8.0,0.0,51.7,52.57,51.64,52.12,10706.0,0.52,1.79,5567.53,5705.0,5001.0,1.14,0.93,-0.86,-0.02,1582.0,7.0,7.14, -357.8万,-0.46,-6.43,0,  -61.7万, -239.1万,  -57.0万,1582.0,0.047,7.403,0.05,-0.68,-8.5,,,,,,1302.0,2033.0,3506.0,3012.0,3152.0,389.0,394.0,384.0,389.0,3691.0,4009.0,3404.0,2214.0,3727.0,3638.0,2394.0,2304.0,1138.0,1515.0,2270.0,4063.0,578.0,,3681.0,1876.0,,,,,2270.0,3785.0,4285.0,1307.0,2222.0,3698.0,,,,,,57.9,1479.0,,,,,,
9,2021-05-21,300989,蕾奥规划,-0.31,1.0,6.0,0.0,1.0,52.36,52.36,51.88,51.96,8654.0,0.53,0.92,4506.86,5132.0,3522.0,1.46,0.15,-0.76,0.5,1401.0,6.0,5.77, -833.6万,-1.07,-18.5,0,  -66.6万, -265.8万, -501.2万,1401.0,0.02,7.329,0.7,-1.12,-3.39,-34.66,,,,,2477.0,4000.0,3277.0,3249.0,3072.0,387.0,399.0,380.0,388.0,3792.0,3787.0,4157.0,2359.0,3739.0,3822.0,1057.0,3856.0,963.0,2366.0,2369.0,4147.0,669.0,,4135.0,3215.0,,,,,2369.0,4089.0,4287.0,2473.0,3024.0,2982.0,4267.0,,,,,19.37,2168.0,,,,,,
