,日期,代码,名称,代码.1,名称.1,涨幅%,开买量,开卖量,买量,卖量,开盘,最高,最低,收盘,总量,量比,振幅%,总金额,开盘金额,内盘,外盘,内外比,攻击波%,回头波%,强弱度%,活跃度,笔均量,换手Z,当日___净流入,净买率%,当日___相对流量%,当日___超大单,当日___大单,当日___中单,当日___小单,BS,WIN,RSI1,今日强,3日强,5日强,10日强,20日强,60日强,一年来,年初至今,代码.1Rank,名称.1Rank,涨幅%Rank,开买量Rank,开卖量Rank,买量Rank,卖量Rank,开盘Rank,最高Rank,最低Rank,收盘Rank,总量Rank,量比Rank,振幅%Rank,总金额Rank,开盘金额Rank,内盘Rank,外盘Rank,内外比Rank,攻击波%Rank,回头波%Rank,强弱度%Rank,活跃度Rank,笔均量Rank,换手ZRank,当日___净流入Rank,净买率%Rank,当日___相对流量%Rank,当日___超大单Rank,当日___大单Rank,当日___中单Rank,当日___小单Rank,BSRank,WINRank,RSI1Rank,今日强Rank,3日强Rank,5日强Rank,10日强Rank,20日强Rank,60日强Rank,一年来Rank,年初至今Rank,竞价量,竞价量Rank
0,2021-06-01,605259,绿田机械,605259.0,绿田机械,--  ,0,0,0,0,,,,,0,--  ,--  ,0.0,0.0,0,0,--  ,--  ,--  ,--  ,0,--  ,--  ,--  ,--  ,--  ,--  ,--  ,--  ,--  ,,,,,,,,,,,,327.0,,,4303.0,4280.0,3317.0,3104.0,,,,,4313.0,,,4313.0,4159.0,4313.0,4313.0,,,,,4316.0,,,,,,,,,,,,,,,,,,,,,,
1,2021-06-23,605259,绿田机械,,,-4.19,1,10,124,195,41.44,41.5,39.86,40.45,57262,1.1,3.88,23190.73,89.9,30434,26828,1.13,1.48,-2.53,-4.44,3498,16,26.03,  -1429万,-1.61,-6.16, -209.6万,   77.5万, -682.3万, -614.1万,3498.0,0.096,,-4.68,-5.68,-7.07,,,,,,,,4260.0,4080.0,2984.0,2108.0,1717.0,563.0,576.0,577.0,578.0,2260.0,1536.0,1419.0,1012.0,1191.0,2256.0,2233.0,2150.0,1899.0,3495.0,4233.0,795.0,3397.0,57.0,,4227.0,2186.0,,,,,795.0,3875.0,,4257.0,4218.0,4216.0,,,,,,,
2,2021-09-02,605259,绿田机械,,,2.77,10,11,97,131,31.11,32.48,30.89,31.89,20277,1.54,5.12,6434.01,6.22,9681,10596,0.91,3.24,-1.82,1.93,1275,16,9.22,  300.8万,0.43,4.68,  351.7万,  147.5万,  105.6万, -303.9万,1275.0,0.764,54.233,2.77,1.47,0.34,4.1,9.67,,,,,,935.0,2998.0,2955.0,2960.0,2436.0,888.0,863.0,868.0,866.0,3567.0,443.0,1381.0,2680.0,3593.0,3661.0,3461.0,2985.0,1376.0,3135.0,1166.0,3395.0,3367.0,560.0,,569.0,1457.0,,,,,3395.0,990.0,2023.0,935.0,1342.0,1661.0,1796.0,1525.0,,,,20.0,3894.0
