,日期,代码,名称,涨幅%,开买量,开卖量,开盘,最高,最低,收盘,总量,量比,振幅%,总金额,开盘金额,内盘,外盘,内外比,攻击波%,回头波%,强弱度%,活跃度,笔均量,换手Z,当日___净流入,净买率%,当日___相对流量%,当日___超大单,当日___大单,当日___中单,当日___小单,BS,WIN,RSI1,今日强,3日强,5日强,10日强,20日强,60日强,一年来,年初至今,涨幅%Rank,开买量Rank,开卖量Rank,开盘Rank,最高Rank,最低Rank,收盘Rank,总量Rank,量比Rank,振幅%Rank,总金额Rank,开盘金额Rank,内盘Rank,外盘Rank,内外比Rank,攻击波%Rank,回头波%Rank,强弱度%Rank,活跃度Rank,笔均量Rank,换手ZRank,当日___净流入Rank,净买率%Rank,当日___相对流量%Rank,当日___超大单Rank,当日___大单Rank,当日___中单Rank,当日___小单Rank,BSRank,WINRank,RSI1Rank,今日强Rank,3日强Rank,5日强Rank,10日强Rank,20日强Rank,60日强Rank,一年来Rank,年初至今Rank,买量,卖量,买量Rank,卖量Rank,代码.1,名称.1,代码.1Rank,名称.1Rank
0,2021-05-06,300710,万隆光电,-1.3,2.0,19.0,29.26,29.98,28.68,28.88,6242.0,0.5,4.44,1811.43,1.17,3627.0,2615.0,1.39,0.7,-3.67,0.28,827.0,8.0,0.91, -291.2万,-0.15,-16.07,0,  -88.5万,  124.1万, -326.7万,827.0,0.211,35.045,-0.08,-0.63,-4.05,-7.37,-11.74,12.76,-3.68,5.22,3291.0,3774.0,2546.0,811.0,811.0,813.0,826.0,3999.0,3842.0,1310.0,3383.0,3959.0,3938.0,4021.0,922.0,3124.0,3756.0,2906.0,3331.0,3963.0,3516.0,,3059.0,3316.0,,,,,3325.0,2293.0,3640.0,3287.0,2592.0,3074.0,3107.0,3839.0,1565.0,1127.0,1334.0,,,,,,,,
1,2021-05-07,300710,万隆光电,1.8,3.0,4.0,28.85,29.75,28.38,29.4,8475.0,0.67,4.74,2456.6,,4833.0,3642.0,1.33,3.59,-1.18,3.75,901.0,9.0,1.24, -340.7万,-0.17,-13.87,0,2456.69,  -64.3万, -276.7万,901.0,0.305,39.63,3.09,2.15,0.88,-3.93,-10.7,10.22,-1.39,8.31,682.0,3598.0,3451.0,831.0,813.0,815.0,793.0,3823.0,3304.0,1165.0,3123.0,,3812.0,3811.0,,,,540.0,3245.0,3842.0,,,2764.0,2728.0,,,,,3245.0,1811.0,3068.0,676.0,2183.0,2102.0,2644.0,3720.0,2093.0,1076.0,1174.0,12.0,6.0,3697.0,3779.0,,,,
2,2021-05-10,300710,万隆光电,0.34,5.0,11.0,29.61,29.99,28.68,29.5,7114.0,0.63,4.46,2067.94,1.18,4253.0,2861.0,1.49,2.86,-1.63,0.45,816.0,9.0,1.04, -398.6万,-0.2,-19.27,0, -146.7万,  -58.6万, -193.3万,816.0,0.336,40.5,0.41,3.38,2.82,-2.6,-10.85,13.3,-1.43,8.74,1959.0,3322.0,2925.0,787.0,791.0,789.0,779.0,3934.0,3555.0,1285.0,3335.0,3875.0,3853.0,3973.0,850.0,1126.0,2566.0,1816.0,3401.0,3838.0,3404.0,,3256.0,3391.0,,,,,3401.0,1797.0,2909.0,1960.0,1851.0,1653.0,2509.0,3595.0,1872.0,1099.0,1215.0,0.0,0.0,3238.0,3013.0,,,,
3,2021-05-11,300710,万隆光电,-0.07,2.0,51.0,29.5,29.58,29.07,29.48,3875.0,0.36,1.73,1136.22,2.36,2221.0,1654.0,1.34,1.41,-0.34,-0.42,683.0,6.0,0.56, -163.8万,-0.08,-14.42,0,0,  123.3万, -287.1万,683.0,0.33299999999999996,40.374,-0.68,2.83,1.89,-4.0,-10.7,14.47,-2.29,8.08,2695.0,3722.0,1799.0,775.0,802.0,772.0,789.0,4141.0,4224.0,3794.0,3853.0,3633.0,4102.0,4151.0,779.0,3053.0,950.0,2684.0,3614.0,4110.0,4084.0,,2735.0,3480.0,,,,,3614.0,1914.0,3162.0,2690.0,1289.0,2353.0,2712.0,3666.0,1898.0,1107.0,1252.0,0.0,0.0,3185.0,3049.0,,,,
4,2021-05-12,300710,万隆光电,-0.95,5.0,958.0,29.07,29.5,26.8,29.2,11930.0,1.38,9.16,3382.64,0.0,5160.0,6770.0,0.76,8.96,-1.02,-1.65,889.0,13.0,3.11,  471.0万,0.24,13.92,0,  278.3万,  281.3万,  -88.6万,889.0,0.277,38.575,-1.38,-1.65,1.34,-3.98,-15.13,10.09,-3.81,6.67,3691.0,3251.0,236.0,801.0,806.0,866.0,804.0,3554.0,616.0,229.0,2766.0,3990.0,3668.0,3431.0,3466.0,128.0,2801.0,3709.0,3271.0,3405.0,1363.0,,682.0,780.0,,,,,3271.0,2374.0,3570.0,3688.0,3325.0,2764.0,3179.0,3891.0,2650.0,1163.0,1400.0,0.0,0.0,3270.0,3046.0,,,,
5,2021-05-13,300710,万隆光电,-4.79,3.0,2.0,28.83,29.07,27.8,27.8,8589.0,1.15,4.35,2421.42,6.34,5418.0,3171.0,1.71,0.0,-4.37,-3.75,861.0,10.0,2.24, -630.8万,-0.33,-26.05,0,  -60.4万,  -88.2万, -482.1万,861.0,0.085,31.11,-3.77,-5.77,-2.39,-6.29,-18.4,9.34,-7.68,2.7,4123.0,3628.0,3860.0,809.0,825.0,830.0,850.0,3812.0,1199.0,1147.0,3238.0,3391.0,3720.0,3916.0,434.0,4105.0,3940.0,4120.0,3367.0,3746.0,1965.0,,3510.0,3842.0,,,,,3367.0,3479.0,4050.0,4119.0,4007.0,3574.0,3566.0,4041.0,2937.0,1298.0,1772.0,0.0,0.0,3246.0,3070.0,,,,
6,2021-05-14,300710,万隆光电,-1.01,7.0,11.0,27.66,28.11,27.2,27.52,7486.0,0.95,3.27,2067.25,7.47,4377.0,3109.0,1.41,1.18,-2.1,-3.1,899.0,8.0,1.95, -348.2万,-0.18,-16.85,0, -191.5万, -206.0万,   49.2万,899.0,0.06,29.866,-3.36,-8.39,-8.69,-7.7,-17.22,10.08,-13.01,-0.55,3784.0,3238.0,2718.0,856.0,862.0,848.0,868.0,3955.0,2304.0,1852.0,3523.0,3013.0,3855.0,4027.0,493.0,2910.0,3406.0,3819.0,3357.0,3975.0,2442.0,,3388.0,3777.0,,,,,3357.0,4078.0,4180.0,3781.0,4187.0,4112.0,3765.0,3980.0,2895.0,1411.0,1993.0,0.0,0.0,3369.0,3100.0,,,,
7,2021-05-17,300710,万隆光电,-1.89,5.0,9.0,27.78,27.78,26.6,27.0,8608.0,1.12,4.29,2315.79,12.22,4780.0,3828.0,1.25,1.5,-2.81,-3.63,948.0,9.0,2.24, -252.6万,-0.14,-10.91,0,0,  -84.5万, -168.1万,948.0,0.022000000000000002,27.653000000000002,-3.35,-10.32,-12.33,-9.45,-16.89,8.37,-17.72,-3.82,2873.0,3448.0,3163.0,860.0,883.0,886.0,890.0,3934.0,1730.0,1402.0,3418.0,3123.0,3938.0,3875.0,2053.0,1455.0,3046.0,3076.0,3399.0,3920.0,2262.0,,2229.0,2213.0,,,,,3399.0,4112.0,4206.0,2874.0,4110.0,4092.0,3827.0,3848.0,2923.0,1432.0,2094.0,0.0,0.0,3257.0,3172.0,,,,
8,2021-05-19,300710,万隆光电,2.24,2.0,25.0,27.15,27.49,26.35,27.4,7751.0,0.95,4.25,2093.47,0.27,3880.0,3871.0,1.0,3.98,-0.33,2.0,770.0,10.0,2.02,    2.1万,0.0,0.1,0,   22.7万,   21.9万,  -42.4万,770.0,0.075,33.251,2.53,-1.64,-8.7,-7.31,-14.72,10.26,-13.8,-2.16,535.0,3752.0,2295.0,886.0,892.0,904.0,884.0,3864.0,1436.0,1038.0,3268.0,3957.0,3936.0,3742.0,3122.0,475.0,373.0,617.0,3475.0,3773.0,2032.0,,1106.0,1137.0,,,,,3475.0,3648.0,4043.0,534.0,1772.0,3920.0,3837.0,3639.0,2511.0,1337.0,1928.0,0.0,0.0,3293.0,3081.0,,,,
9,2021-05-20,300710,万隆光电,-1.2,5.0,130.0,27.5,27.5,27.0,27.07,4281.0,0.58,1.82,1162.56,27.78,2772.0,1509.0,1.84,0.26,-1.56,-1.55,458.0,9.0,1.12, -341.7万,-0.18,-29.39,0,0, -281.6万,  -60.0万,458.0,0.042,31.608,-1.48,0.23,-6.5,-8.74,-15.61,6.35,-17.83,-3.6,2821.0,3376.0,1143.0,878.0,904.0,887.0,902.0,4149.0,3780.0,3372.0,3852.0,2038.0,4102.0,4189.0,477.0,3691.0,2255.0,2980.0,4022.0,3886.0,3202.0,,2782.0,3806.0,,,,,4022.0,3822.0,4111.0,2824.0,1624.0,3192.0,3819.0,3785.0,2635.0,1467.0,2042.0,0.0,0.0,3420.0,3152.0,,,,
