,日期,代码,名称,代码.1,名称.1,涨幅%,开买量,开卖量,买量,卖量,开盘,最高,最低,收盘,总量,量比,振幅%,总金额,开盘金额,内盘,外盘,内外比,攻击波%,回头波%,强弱度%,活跃度,笔均量,换手Z,当日___净流入,净买率%,当日___相对流量%,当日___超大单,当日___大单,当日___中单,当日___小单,BS,WIN,RSI1,今日强,3日强,5日强,10日强,20日强,60日强,一年来,年初至今,代码.1Rank,名称.1Rank,涨幅%Rank,开买量Rank,开卖量Rank,买量Rank,卖量Rank,开盘Rank,最高Rank,最低Rank,收盘Rank,总量Rank,量比Rank,振幅%Rank,总金额Rank,开盘金额Rank,内盘Rank,外盘Rank,内外比Rank,攻击波%Rank,回头波%Rank,强弱度%Rank,活跃度Rank,笔均量Rank,换手ZRank,当日___净流入Rank,净买率%Rank,当日___相对流量%Rank,当日___超大单Rank,当日___大单Rank,当日___中单Rank,当日___小单Rank,BSRank,WINRank,RSI1Rank,今日强Rank,3日强Rank,5日强Rank,10日强Rank,20日强Rank,60日强Rank,一年来Rank,年初至今Rank,竞价量,竞价量Rank
0,2021-06-01,301008,宏昌科技,301008.0,宏昌科技,--  ,0,0,0,0,,,,,0,--  ,--  ,0.0,0.0,0,0,--  ,--  ,--  ,--  ,0,--  ,--  ,--  ,--  ,--  ,--  ,--  ,--  ,--  ,,,,,,,,,,,,1923.0,,,4303.0,4280.0,3317.0,3104.0,,,,,4313.0,,,4313.0,4159.0,4313.0,4313.0,,,,,4316.0,,,,,,,,,,,,,,,,,,,,,,
1,2021-06-23,301008,宏昌科技,,,-3.46,3,2,4,0,53.25,53.26,51.16,51.4,26742,0.76,3.94,13857.02,39.94,17024,9718,1.75,0.47,-3.49,-4.46,2700,10,16.04,  -3769万,-4.4,-27.2,0, -462.8万,  -2064万,  -1242万,2700.0,0.01,,-3.95,-2.02,-6.47,,,,,,,,4209.0,3723.0,3860.0,3328.0,3092.0,400.0,413.0,409.0,421.0,3137.0,3427.0,1380.0,1467.0,1867.0,2921.0,3343.0,418.0,3561.0,3934.0,4235.0,1350.0,3938.0,170.0,,4328.0,3914.0,,,,,1350.0,4297.0,,4206.0,3636.0,4180.0,,,,,,,
2,2021-09-02,301008,宏昌科技,,,1.55,1,1,49,156,44.11,44.64,43.76,44.53,5629,0.59,2.01,2492.15,25.14,2786,2843,0.98,1.76,-0.25,1.81,768,7,3.38,   28.0万,0.04,1.12,0, -175.0万,   22.0万,  181.0万,768.0,0.211,43.551,1.55,-1.99,-7.01,-3.51,0.4,,,,,,1395.0,4160.0,4168.0,3380.0,2313.0,548.0,563.0,542.0,549.0,4313.0,3779.0,3519.0,3719.0,2517.0,4332.0,4253.0,2507.0,2399.0,541.0,1221.0,4056.0,4238.0,2039.0,,1700.0,1917.0,,,,,4056.0,3092.0,3303.0,1395.0,2737.0,3681.0,3231.0,2911.0,,,,57.0,3433.0
