,日期,代码,名称,涨幅%,开买量,开卖量,买量,卖量,开盘,最高,最低,收盘,总量,量比,振幅%,总金额,开盘金额,内盘,外盘,内外比,攻击波%,回头波%,强弱度%,活跃度,笔均量,换手Z,当日___净流入,净买率%,当日___相对流量%,当日___超大单,当日___大单,当日___中单,当日___小单,BS,WIN,今日强,3日强,5日强,10日强,20日强,60日强,一年来,年初至今,涨幅%Rank,开买量Rank,开卖量Rank,买量Rank,卖量Rank,开盘Rank,最高Rank,最低Rank,收盘Rank,总量Rank,量比Rank,振幅%Rank,总金额Rank,开盘金额Rank,内盘Rank,外盘Rank,内外比Rank,攻击波%Rank,回头波%Rank,强弱度%Rank,活跃度Rank,笔均量Rank,换手ZRank,当日___净流入Rank,净买率%Rank,当日___相对流量%Rank,当日___超大单Rank,当日___大单Rank,当日___中单Rank,当日___小单Rank,BSRank,WINRank,今日强Rank,3日强Rank,5日强Rank,10日强Rank,20日强Rank,60日强Rank,一年来Rank,年初至今Rank,竞价量,RSI1,竞价量Rank,RSI1Rank
0,2021-06-23,688690,N纳微,1274.0,261,2,36,0,93.0,120.9,88.99,110.88,285392,0.0,395.42,270050.69,19264.66,145099,140293,1.03,24.6,-8.29,1273.73,4151,69,80.25,  -2430万,-0.62,-0.9,  -7837万,   2409万,   2798万,  199.8万,4151,0.8029999999999999,,,,,,,,,1.0,734.0,3860.0,2703.0,3092.0,190.0,131.0,199.0,141.0,646.0,4333.0,1.0,54.0,2.0,635.0,646.0,2621.0,1.0,4302.0,1.0,400.0,1148.0,2.0,,3924.0,1628.0,,,,,400.0,822.0,,,,,,,,,,,,
1,2021-09-02,688690,纳微科技,-2.28,2,2,8,15,101.0,102.66,97.01,98.98,12580,0.85,5.58,12536.14,0.0,7589,4991,1.52,2.03,-3.58,-3.12,1478,9,3.0,  -2553万,-0.62,-20.37,0, -591.6万,  -1222万, -739.5万,1478,0.454,-2.28,-1.37,4.32,4.04,-2.71,,,,4095.0,3928.0,3961.0,4076.0,3629.0,189.0,191.0,189.0,195.0,3951.0,2218.0,1165.0,1893.0,4302.0,3875.0,4000.0,543.0,2153.0,4066.0,4210.0,3123.0,4066.0,2273.0,,4148.0,3893.0,,,,,3123.0,2063.0,4095.0,2479.0,803.0,1806.0,3269.0,,,,0.0,50.577,4301.0,2474.0
