,日期,代码,名称,涨幅%,开买量,开卖量,开盘,最高,最低,收盘,总量,量比,振幅%,总金额,开盘金额,内盘,外盘,内外比,攻击波%,回头波%,强弱度%,活跃度,笔均量,换手Z,当日___净流入,净买率%,当日___相对流量%,当日___超大单,当日___大单,当日___中单,当日___小单,BS,WIN,RSI1,今日强,3日强,5日强,10日强,20日强,60日强,一年来,年初至今,涨幅%Rank,开买量Rank,开卖量Rank,开盘Rank,最高Rank,最低Rank,收盘Rank,总量Rank,量比Rank,振幅%Rank,总金额Rank,开盘金额Rank,内盘Rank,外盘Rank,内外比Rank,攻击波%Rank,回头波%Rank,强弱度%Rank,活跃度Rank,笔均量Rank,换手ZRank,当日___净流入Rank,净买率%Rank,当日___相对流量%Rank,当日___超大单Rank,当日___大单Rank,当日___中单Rank,当日___小单Rank,BSRank,WINRank,RSI1Rank,今日强Rank,3日强Rank,5日强Rank,10日强Rank,20日强Rank,60日强Rank,一年来Rank,年初至今Rank,买量,卖量,买量Rank,卖量Rank,代码.1,名称.1,代码.1Rank,名称.1Rank,竞价量,竞价量Rank
0,2021-05-06,603360,百傲化学,0.15,18.0,10.0,13.71,13.99,13.51,13.72,8904.0,1.32,3.5,1229.41,2.88,5372.0,3532.0,1.52,1.55,-1.93,0.31,694.0,13.0,0.79, -251.2万,-0.07,-20.43,0,0,  -49.4万, -201.7万,694.0,0.021,41.387,1.36,-0.16,-0.12,-2.05,-0.12,2.6,-57.22,-7.21,2382.0,2543.0,2933.0,1743.0,1747.0,1740.0,1750.0,3786.0,738.0,1945.0,3761.0,3743.0,3681.0,3858.0,637.0,1976.0,2723.0,2883.0,3565.0,3460.0,3717.0,,2442.0,3616.0,,,,,3559.0,3821.0,2800.0,2386.0,2346.0,1773.0,1837.0,2181.0,2767.0,3365.0,2627.0,,,,,,,,,,
1,2021-05-07,603360,百傲化学,0.22,1.0,5.0,13.8,13.91,13.65,13.75,5454.0,0.81,1.9,750.82,,2380.0,3074.0,0.77,0.73,-1.15,0.87,409.0,13.0,0.49,   96.5万,0.03,12.85,0,0,  147.0万,  -50.5万,409.0,0.025,42.42,1.5,2.97,1.13,-0.7,-1.57,2.09,-56.7,-5.76,1645.0,3959.0,3291.0,1745.0,1760.0,1721.0,1734.0,4064.0,2553.0,3480.0,4056.0,,4117.0,3911.0,,,,2194.0,4033.0,3452.0,,,1140.0,531.0,,,,,4033.0,3690.0,2610.0,1649.0,1834.0,2015.0,1850.0,2424.0,2967.0,3362.0,2562.0,37.0,2.0,3195.0,4015.0,,,,,,
2,2021-05-10,603360,百傲化学,-0.15,5.0,36.0,13.75,13.89,13.69,13.73,4017.0,0.64,1.45,552.64,3.16,2650.0,1367.0,1.94,0.29,-1.15,-0.41,453.0,9.0,0.36, -175.4万,-0.05,-31.74,0,0,  -12.2万, -163.2万,453.0,0.021,41.89,-0.07,2.78,1.25,0.58,-1.8,2.97,-55.0,-5.83,2401.0,3322.0,2090.0,1736.0,1747.0,1714.0,1744.0,4154.0,3513.0,3911.0,4188.0,3573.0,4079.0,4190.0,208.0,3978.0,1993.0,2572.0,3975.0,3838.0,4212.0,,2105.0,4050.0,,,,,3975.0,3730.0,2730.0,2394.0,2070.0,2135.0,1739.0,2243.0,3002.0,3317.0,2563.0,456.0,171.0,1296.0,1707.0,,,,,,
3,2021-05-11,603360,百傲化学,0.36,10.0,8.0,13.73,13.81,13.62,13.78,7062.0,1.18,1.38,967.89,3.98,3649.0,3413.0,1.07,1.17,-0.22,-0.04,708.0,10.0,0.63,  -30.6万,-0.01,-3.17,0,0,  -71.8万,   41.1万,708.0,0.031,43.78100000000001,-0.25,1.19,2.66,-0.55,-0.53,4.72,-55.51,-6.09,2234.0,2781.0,3179.0,1735.0,1766.0,1730.0,1747.0,3877.0,1059.0,4080.0,3956.0,3419.0,3864.0,3870.0,1898.0,3402.0,641.0,2262.0,3569.0,3719.0,3976.0,,2050.0,2340.0,,,,,3569.0,3927.0,2656.0,2229.0,2091.0,2080.0,1887.0,2146.0,2982.0,3341.0,2577.0,77.0,71.0,2205.0,2143.0,,,,,,
4,2021-05-12,603360,百傲化学,-0.65,3.0,3.0,13.77,13.77,13.48,13.69,10458.0,1.61,2.1,1422.62,0.96,7091.0,3367.0,2.11,1.56,-0.58,-1.26,577.0,18.0,0.93, -503.7万,-0.14,-35.41, -207.9万, -233.3万,  -61.5万,-9954.85,577.0,0.02,41.183,-1.08,-1.41,1.47,0.26,-2.33,6.05,-55.52,-7.09,3498.0,3561.0,3634.0,1744.0,1779.0,1757.0,1773.0,3636.0,403.0,3071.0,3672.0,3802.0,3417.0,3879.0,61.0,2749.0,1963.0,3473.0,3820.0,2992.0,3442.0,,3346.0,4211.0,,,,,3820.0,4173.0,3269.0,3494.0,3237.0,2727.0,2232.0,2255.0,3034.0,3332.0,2714.0,1.0,58.0,3219.0,2292.0,,,,,,
5,2021-05-13,603360,百傲化学,0.15,2.0,5.0,13.69,13.85,13.63,13.71,8648.0,1.2,1.61,1188.4,11.36,4246.0,4402.0,0.96,0.59,-1.01,1.11,665.0,13.0,0.77,   23.2万,0.01,1.95,0,0,  -26.3万,   49.5万,665.0,0.026,42.006,1.17,-0.16,1.27,1.15,-0.18,11.41,-57.01,-5.97,1356.0,3776.0,3489.0,1774.0,1780.0,1754.0,1763.0,3805.0,1081.0,3780.0,3908.0,3017.0,3861.0,3715.0,3045.0,2702.0,961.0,1393.0,3724.0,3459.0,3799.0,,1261.0,1234.0,,,,,3724.0,4048.0,3037.0,1353.0,2704.0,2504.0,2019.0,1874.0,2708.0,3425.0,2670.0,31.0,13.0,2586.0,2662.0,,,,,,
6,2021-05-14,603360,百傲化学,1.75,54.0,3.0,13.71,14.04,13.71,13.95,14805.0,2.06,2.41,2051.36,0.27,5497.0,9308.0,0.59,1.75,-0.64,-0.02,854.0,17.0,1.32,  528.2万,0.14,25.75,0,0,  197.5万,  330.7万,854.0,0.065,50.891999999999996,-0.61,-0.51,-0.84,0.33,-1.71,12.19,-57.83,-6.65,1309.0,1784.0,3596.0,1771.0,1772.0,1745.0,1759.0,3516.0,348.0,2684.0,3529.0,3942.0,3723.0,3295.0,4093.0,2018.0,1709.0,1172.0,3440.0,3174.0,3225.0,,1033.0,185.0,,,,,3440.0,4043.0,2192.0,1310.0,2252.0,2447.0,2277.0,2022.0,2703.0,3388.0,2640.0,53.0,14.0,2457.0,2764.0,,,,,,
7,2021-05-17,603360,百傲化学,1.08,9.0,17.0,14.05,14.1,13.8,14.1,15277.0,1.72,2.15,2134.16,6.32,8307.0,6970.0,1.19,2.17,0.0,0.29,852.0,18.0,1.36, -179.4万,-0.05,-8.41,0,  306.7万,  -94.1万, -392.0万,852.0,0.101,55.483,-0.38,0.21,-1.16,0.15,-1.63,11.29,-58.92,-7.1,812.0,3174.0,2720.0,1748.0,1765.0,1737.0,1731.0,3560.0,448.0,3381.0,3516.0,3559.0,3590.0,3480.0,2279.0,1041.0,1.0,665.0,3540.0,3119.0,3228.0,,1579.0,1966.0,,,,,3540.0,3428.0,1168.0,811.0,793.0,1404.0,1741.0,1603.0,2570.0,3277.0,2447.0,2.0,18.0,3124.0,2674.0,,,,,,
8,2021-05-19,603360,百傲化学,-0.28,2.0,1.0,14.02,14.16,13.92,14.0,6671.0,0.59,1.71,936.07,6.59,3316.0,3355.0,0.99,0.57,-1.13,0.23,554.0,12.0,0.59,    8.2万,0.0,0.87,0,   67.9万,  108.1万, -167.8万,554.0,0.081,51.893,0.01,-0.85,-0.27,1.24,-3.79,4.42,-58.09,-7.51,1898.0,3752.0,4013.0,1747.0,1752.0,1740.0,1749.0,3960.0,3495.0,3295.0,3962.0,3016.0,4019.0,3838.0,3166.0,2777.0,1670.0,1514.0,3861.0,3564.0,3915.0,,1106.0,1075.0,,,,,3861.0,3593.0,1735.0,1908.0,1398.0,1188.0,1860.0,1761.0,3131.0,3299.0,2512.0,93.0,12.0,2184.0,2721.0,,,,,,
9,2021-05-20,603360,百傲化学,0.0,50.0,10.0,13.93,14.07,13.93,14.0,8017.0,0.76,1.0,1121.23,0.0,3565.0,4452.0,0.8,0.5,-0.5,0.11,406.0,20.0,0.71,  125.0万,0.03,11.15,0,  107.0万,  129.6万, -111.6万,406.0,0.083,51.893,-0.27,-0.74,-1.76,-0.43,-2.52,2.54,-57.99,-7.78,1538.0,1752.0,2892.0,1755.0,1764.0,1732.0,1748.0,3879.0,2794.0,4145.0,3873.0,4060.0,3990.0,3706.0,3789.0,3137.0,545.0,1378.0,4089.0,2912.0,3827.0,,1006.0,492.0,,,,,4089.0,3466.0,1597.0,1536.0,2269.0,1325.0,1616.0,1663.0,3074.0,3283.0,2483.0,71.0,31.0,2260.0,2512.0,,,,,,
10,2021-05-21,603360,百傲化学,0.93,5.0,50.0,14.0,14.21,13.94,14.13,11347.0,1.1,1.93,1598.37,0.0,4293.0,7054.0,0.61,1.36,-0.56,1.51,904.0,13.0,1.01,  391.8万,0.11,24.51,0,   64.3万,  236.3万,   91.1万,904.0,0.116,56.343,1.94,1.67,0.83,0.0,-0.72,0.27,-55.86,-5.92,1137.0,3349.0,1714.0,1752.0,1747.0,1738.0,1734.0,3592.0,1008.0,3160.0,3521.0,3983.0,3855.0,3308.0,4156.0,1551.0,656.0,1256.0,3167.0,3460.0,3197.0,,765.0,128.0,,,,,3167.0,3226.0,1046.0,1134.0,1252.0,1074.0,1561.0,1618.0,3038.0,3259.0,2413.0,160.0,34.0,1864.0,2399.0,,,,,,
