,日期,代码,名称,涨幅%,开买量,开卖量,开盘,最高,最低,收盘,总量,量比,振幅%,总金额,开盘金额,内盘,外盘,内外比,攻击波%,回头波%,强弱度%,活跃度,笔均量,换手Z,当日___净流入,净买率%,当日___相对流量%,当日___超大单,当日___大单,当日___中单,当日___小单,BS,WIN,RSI1,今日强,3日强,5日强,10日强,20日强,60日强,一年来,年初至今,涨幅%Rank,开买量Rank,开卖量Rank,开盘Rank,最高Rank,最低Rank,收盘Rank,总量Rank,量比Rank,振幅%Rank,总金额Rank,开盘金额Rank,内盘Rank,外盘Rank,内外比Rank,攻击波%Rank,回头波%Rank,强弱度%Rank,活跃度Rank,笔均量Rank,换手ZRank,当日___净流入Rank,净买率%Rank,当日___相对流量%Rank,当日___超大单Rank,当日___大单Rank,当日___中单Rank,当日___小单Rank,BSRank,WINRank,RSI1Rank,今日强Rank,3日强Rank,5日强Rank,10日强Rank,20日强Rank,60日强Rank,一年来Rank,年初至今Rank,买量,卖量,买量Rank,卖量Rank,代码.1,名称.1,代码.1Rank,名称.1Rank,竞价量,竞价量Rank
0,2021-05-06,603886,元祖股份,-2.92,9.0,8.0,18.88,19.0,18.12,18.3,42814.0,1.36,4.67,7850.84,13.59,26310.0,16504.0,1.59,0.99,-3.68,-2.76,2362.0,18.0,5.16,  -1787万,-0.41,-22.76,  293.7万, -140.2万, -392.0万,  -1548万,2362.0,0.667,50.457,-1.7,-1.68,-3.11,1.67,4.87,19.38,-8.48,10.28,3829.0,3066.0,3151.0,1260.0,1282.0,1296.0,1306.0,2330.0,674.0,1178.0,1741.0,2841.0,2122.0,2550.0,502.0,2677.0,3760.0,3934.0,1442.0,3021.0,739.0,,3808.0,3761.0,,,,,1438.0,893.0,1589.0,3826.0,3008.0,2812.0,1144.0,1367.0,1001.0,1265.0,1024.0,,,,,,,,,,
1,2021-05-07,603886,元祖股份,0.0,5.0,5.0,18.26,18.46,18.03,18.3,28489.0,0.96,2.35,5198.8,,17021.0,11468.0,1.48,1.5,-0.87,0.65,2210.0,13.0,3.43,  -1006万,-0.23,-19.35,0,  103.7万, -165.8万, -943.6万,2210.0,0.6679999999999999,50.457,1.29,0.34,-1.68,-0.63,4.36,21.31,-6.61,11.52,1779.0,3309.0,3291.0,1314.0,1335.0,1308.0,1304.0,2805.0,1862.0,2976.0,2262.0,,2720.0,2882.0,,,,2333.0,1660.0,3452.0,,,3052.0,3192.0,,,,,1660.0,794.0,1482.0,1776.0,2932.0,2886.0,1830.0,1362.0,957.0,1226.0,987.0,102.0,13.0,2500.0,3520.0,,,,,,
2,2021-05-10,603886,元祖股份,-0.44,33.0,10.0,18.36,18.39,18.05,18.22,22315.0,0.72,1.86,4060.77,10.28,14024.0,8291.0,1.69,0.94,-0.92,-0.7,2283.0,10.0,2.69,  -1040万,-0.24,-25.62, -203.9万,0, -119.2万, -717.2万,2283.0,0.636,49.17,-0.36,-0.78,-0.76,-0.53,3.91,21.16,-7.64,11.12,2626.0,2087.0,2985.0,1304.0,1328.0,1295.0,1314.0,3083.0,3141.0,3579.0,2584.0,2879.0,2923.0,3238.0,460.0,2920.0,1643.0,2766.0,1580.0,3740.0,1663.0,,3405.0,3800.0,,,,,1580.0,973.0,1734.0,2622.0,3232.0,2697.0,2000.0,1335.0,1140.0,1261.0,1086.0,116.0,25.0,2059.0,2463.0,,,,,,
3,2021-05-11,603886,元祖股份,1.15,5.0,193.0,18.22,18.46,18.05,18.43,17413.0,0.59,2.25,3184.32,2.19,10647.0,6766.0,1.57,2.11,-0.16,0.75,1686.0,10.0,2.1, -707.1万,-0.16,-22.2,0,  -90.7万, -116.9万, -499.4万,1686.0,0.7170000000000001,52.59,0.54,1.46,0.5,-7.01,4.59,23.33,-7.05,11.77,1435.0,3276.0,951.0,1309.0,1324.0,1296.0,1294.0,3242.0,3647.0,3240.0,2843.0,3663.0,3102.0,3424.0,333.0,2068.0,503.0,1458.0,2133.0,3719.0,2023.0,,3214.0,3933.0,,,,,2133.0,752.0,1441.0,1429.0,1941.0,2811.0,3318.0,1308.0,1067.0,1233.0,1009.0,30.0,4.0,2573.0,2860.0,,,,,,
4,2021-05-12,603886,元祖股份,0.6,110.0,35.0,18.8,18.83,18.37,18.54,16578.0,0.61,2.5,3076.92,138.56,9740.0,6838.0,1.42,0.93,-1.54,-0.01,1472.0,11.0,2.0, -532.9万,-0.12,-17.32,0,0, -170.9万, -362.1万,1472.0,0.743,54.323,0.17,0.34,-0.1,-4.83,3.45,26.69,-5.73,12.0,2168.0,1124.0,1978.0,1272.0,1301.0,1276.0,1302.0,3304.0,3523.0,2605.0,2892.0,788.0,3172.0,3428.0,554.0,3732.0,3373.0,2098.0,2378.0,3589.0,2040.0,,3236.0,3715.0,,,,,2378.0,800.0,1477.0,2164.0,2152.0,3146.0,3341.0,1311.0,1032.0,1211.0,1049.0,42.0,47.0,2549.0,2358.0,,,,,,
5,2021-05-13,603886,元祖股份,-1.02,70.0,10.0,18.4,18.7,18.2,18.35,25651.0,1.01,2.7,4716.99,83.72,16742.0,8909.0,1.88,0.82,-1.87,-0.07,1754.0,15.0,3.09,  -1433万,-0.33,-30.38,0, -509.6万, -216.3万, -707.0万,1754.0,0.6829999999999999,50.864,0.0,0.7,1.62,-1.51,1.66,26.12,-6.84,11.88,2602.0,1582.0,3045.0,1305.0,1323.0,1299.0,1311.0,2927.0,1674.0,2473.0,2428.0,1309.0,2753.0,3197.0,252.0,2241.0,2287.0,2651.0,2066.0,3272.0,1455.0,,3510.0,4024.0,,,,,2066.0,835.0,1777.0,2600.0,2195.0,2342.0,2671.0,1576.0,1208.0,1278.0,1085.0,886.0,10.0,836.0,2727.0,,,,,,
6,2021-05-14,603886,元祖股份,4.31,53.0,5.0,18.55,19.33,18.51,19.14,46846.0,2.12,4.47,8948.04,8.35,20108.0,26738.0,0.75,3.4,-0.98,2.53,2483.0,19.0,5.64,   1271万,0.28,14.2, -184.0万,  -96.1万,  763.4万,  787.5万,2483.0,0.88,61.765,1.95,2.11,2.3,0.5,5.17,29.84,-9.53,14.26,431.0,1800.0,3291.0,1294.0,1280.0,1282.0,1273.0,2426.0,325.0,1122.0,1775.0,2936.0,2570.0,2247.0,3458.0,791.0,2316.0,410.0,1496.0,3021.0,779.0,,605.0,811.0,,,,,1496.0,363.0,766.0,431.0,917.0,1115.0,2218.0,1072.0,1000.0,1299.0,893.0,14.0,169.0,2864.0,1905.0,,,,,,
7,2021-05-17,603886,元祖股份,0.89,98.0,6.0,19.01,19.34,18.9,19.31,28378.0,1.11,2.3,5435.72,71.86,14949.0,13429.0,1.11,2.17,-0.16,0.11,2573.0,11.0,3.42, -276.7万,-0.06,-5.09,0,0, -374.0万,   97.3万,2573.0,0.904,63.635,-0.57,1.37,2.13,1.26,5.86,27.87,-11.22,13.83,882.0,1460.0,3365.0,1284.0,1292.0,1271.0,1267.0,3004.0,1762.0,3212.0,2390.0,1557.0,3061.0,2893.0,2582.0,1041.0,123.0,728.0,1451.0,3736.0,1452.0,,1651.0,1685.0,,,,,1451.0,280.0,474.0,882.0,566.0,683.0,1450.0,794.0,954.0,1242.0,822.0,75.0,32.0,2213.0,2487.0,,,,,,
8,2021-05-19,603886,元祖股份,0.0,6.0,1.0,18.86,19.22,18.68,18.99,14759.0,0.54,2.84,2794.1,23.01,9184.0,5575.0,1.65,1.66,-1.2,0.51,1351.0,11.0,1.78, -678.7万,-0.15,-24.29,0,  -63.5万,  -18.6万, -596.6万,1351.0,0.84,57.896,0.3,-1.99,-0.1,-0.21,0.83,26.98,-16.34,12.19,1557.0,3214.0,4013.0,1296.0,1292.0,1290.0,1288.0,3397.0,3769.0,1983.0,2967.0,2121.0,3319.0,3480.0,942.0,1339.0,1794.0,1261.0,2459.0,3662.0,2262.0,,2595.0,3311.0,,,,,2459.0,487.0,965.0,1556.0,2001.0,1149.0,2409.0,1137.0,889.0,1425.0,919.0,55.0,29.0,2436.0,2515.0,,,,,,
9,2021-05-20,603886,元祖股份,-0.79,56.0,1.0,18.81,18.94,18.71,18.84,13779.0,0.52,1.21,2588.47,36.49,9917.0,3862.0,2.57,0.69,-0.53,-0.68,1906.0,7.0,1.66,  -1135万,-0.25,-43.85,0,0, -324.1万, -811.0万,1906.0,0.8009999999999999,55.19,-1.06,-2.46,-1.2,0.48,2.19,23.47,-18.28,11.04,2376.0,1679.0,4010.0,1298.0,1313.0,1284.0,1300.0,3521.0,4009.0,4031.0,3113.0,1827.0,3272.0,3805.0,86.0,2724.0,590.0,2137.0,1913.0,4063.0,2485.0,,3120.0,4206.0,,,,,1913.0,537.0,1214.0,2370.0,3335.0,1181.0,1396.0,1063.0,898.0,1487.0,956.0,7.0,154.0,3048.0,1774.0,,,,,,
