,日期,代码,名称,涨幅%,开买量,开卖量,开盘,最高,最低,收盘,总量,量比,振幅%,总金额,开盘金额,内盘,外盘,内外比,攻击波%,回头波%,强弱度%,活跃度,笔均量,换手Z,当日___净流入,净买率%,当日___相对流量%,当日___超大单,当日___大单,当日___中单,当日___小单,BS,WIN,RSI1,今日强,3日强,5日强,10日强,20日强,60日强,一年来,年初至今,涨幅%Rank,开买量Rank,开卖量Rank,开盘Rank,最高Rank,最低Rank,收盘Rank,总量Rank,量比Rank,振幅%Rank,总金额Rank,开盘金额Rank,内盘Rank,外盘Rank,内外比Rank,攻击波%Rank,回头波%Rank,强弱度%Rank,活跃度Rank,笔均量Rank,换手ZRank,当日___净流入Rank,净买率%Rank,当日___相对流量%Rank,当日___超大单Rank,当日___大单Rank,当日___中单Rank,当日___小单Rank,BSRank,WINRank,RSI1Rank,今日强Rank,3日强Rank,5日强Rank,10日强Rank,20日强Rank,60日强Rank,一年来Rank,年初至今Rank,买量,卖量,买量Rank,卖量Rank,代码.1,名称.1,代码.1Rank,名称.1Rank,竞价量,竞价量Rank
0,2021-05-06,2857,三晖电气,-0.23,1.0,32.0,13.18,13.24,12.9,13.15,7666.0,0.71,2.58,1003.45,0.26,4848.0,2818.0,1.72,1.94,-0.68,1.35,650.0,12.0,1.66, -264.2万,-0.22,-26.33,0, -133.2万,  -67.5万,  -63.5万,883.0,0.252,48.558,0.99,-0.51,-0.74,-10.76,8.77,24.76,-14.71,16.73,2713.0,3982.0,2120.0,1803.0,1836.0,1811.0,1820.0,3879.0,2774.0,2843.0,3905.0,4090.0,3753.0,3985.0,316.0,1611.0,872.0,2150.0,3628.0,3556.0,2456.0,,3387.0,3935.0,,,,,3210.0,2115.0,1806.0,2710.0,2534.0,1995.0,3649.0,926.0,699.0,1459.0,721.0,,,,,,,,,,
1,2021-05-07,2857,三晖电气,0.3,4.0,1.0,13.15,13.49,13.05,13.19,4541.0,0.54,3.35,596.47,,2254.0,2287.0,0.99,1.07,-2.22,2.25,473.0,10.0,0.98,    5.2万,0.0,0.87,0,0,   -6.0万,   11.2万,473.0,0.424,48.735,1.59,1.54,1.4,-8.74,6.99,28.24,-12.53,18.33,1561.0,3471.0,3954.0,1821.0,1808.0,1803.0,1804.0,4116.0,3878.0,2079.0,4144.0,,4129.0,4043.0,,,,1198.0,3947.0,3751.0,,,1403.0,1376.0,,,,,3947.0,1408.0,1684.0,1556.0,2461.0,1927.0,3544.0,1057.0,608.0,1397.0,690.0,99.0,19.0,2526.0,3360.0,,,,,,
2,2021-05-10,2857,三晖电气,0.08,42.0,46.0,13.2,13.4,13.05,13.2,7234.0,1.0,2.65,960.24,0.66,3686.0,3548.0,1.04,1.15,-1.49,0.19,624.0,12.0,1.56,  -17.0万,-0.01,-1.77,0,0,   23.7万,  -40.7万,624.0,0.4270000000000001,48.931000000000004,0.15,2.71,1.21,-7.32,-3.06,27.95,-12.16,18.49,2184.0,1921.0,1930.0,1805.0,1810.0,1787.0,1801.0,3921.0,1791.0,2817.0,3983.0,3973.0,3948.0,3855.0,2407.0,2606.0,2424.0,2033.0,3697.0,3550.0,2689.0,,1696.0,1825.0,,,,,3697.0,1511.0,1770.0,2184.0,2099.0,2150.0,3432.0,2467.0,749.0,1398.0,727.0,27.0,15.0,2630.0,2605.0,,,,,,
3,2021-05-11,2857,三晖电气,0.3,34.0,12.0,13.2,13.29,13.0,13.24,2986.0,0.46,2.2,393.43,0.0,1460.0,1526.0,0.96,1.85,-0.38,-0.05,653.0,5.0,0.65,   10.7万,0.01,2.72,0,0,0,   10.7万,653.0,0.448,49.757,-0.31,1.44,1.39,-6.31,-2.24,30.0,-12.59,18.24,2294.0,1940.0,2872.0,1800.0,1827.0,1796.0,1810.0,4197.0,4094.0,3291.0,4235.0,3998.0,4193.0,4179.0,2503.0,2389.0,1049.0,2275.0,3660.0,4182.0,3953.0,,1803.0,1657.0,,,,,3660.0,1502.0,1782.0,2289.0,1950.0,2515.0,3188.0,2474.0,692.0,1409.0,718.0,5.0,223.0,2979.0,1617.0,,,,,,
4,2021-05-12,2857,三晖电气,0.83,1.0,33.0,13.29,14.27,13.05,13.35,8552.0,1.48,9.21,1135.53,0.13,5196.0,3356.0,1.55,2.3,-6.45,0.13,989.0,9.0,1.85, -243.5万,-0.2,-21.44,0, -138.6万,   99.9万, -204.7万,989.0,0.509,52.055,0.4,0.24,2.83,2.15,-3.3,30.55,-14.82,18.78,1884.0,3965.0,2028.0,1799.0,1717.0,1811.0,1811.0,3778.0,511.0,224.0,3852.0,3964.0,3663.0,3882.0,334.0,1846.0,4234.0,1927.0,3078.0,3809.0,2165.0,,3579.0,3928.0,,,,,3078.0,1484.0,1742.0,1881.0,2223.0,2229.0,1768.0,2459.0,829.0,1504.0,741.0,41.0,495.0,2560.0,1227.0,,,,,,
5,2021-05-13,2857,三晖电气,-1.5,15.0,23.0,13.34,13.34,13.1,13.15,4804.0,0.77,1.8,634.9,0.4,3518.0,1286.0,2.74,0.38,-1.42,-0.45,489.0,10.0,1.04, -294.0万,-0.24,-46.3,0,0, -191.0万, -103.0万,489.0,0.404,47.777,-0.48,-0.39,1.35,0.61,-2.34,34.18,-17.49,18.04,3027.0,2650.0,2488.0,1807.0,1846.0,1818.0,1843.0,4109.0,2913.0,3573.0,4186.0,4045.0,3972.0,4217.0,33.0,3221.0,1595.0,2991.0,4002.0,3746.0,3353.0,,3239.0,4249.0,,,,,4002.0,1736.0,2159.0,3025.0,2822.0,2433.0,2164.0,2268.0,721.0,1666.0,790.0,53.0,43.0,2397.0,2292.0,,,,,,
6,2021-05-14,2857,三晖电气,2.89,15.0,58.0,13.15,13.56,13.1,13.53,8258.0,1.5,3.5,1097.93,0.0,4110.0,4148.0,0.99,3.28,-0.22,0.8,553.0,15.0,1.78,    9.7万,0.01,0.88,0,0,    8.6万,    1.0万,553.0,0.615,55.295,0.53,0.45,0.29,1.72,-2.19,36.16,-17.89,19.08,754.0,2727.0,1486.0,1840.0,1825.0,1827.0,1811.0,3907.0,809.0,1679.0,4026.0,3999.0,3892.0,3899.0,2100.0,846.0,663.0,792.0,3948.0,3367.0,2618.0,,2065.0,2133.0,,,,,3948.0,1183.0,1515.0,754.0,1603.0,1884.0,1853.0,2108.0,684.0,1594.0,702.0,32.0,311.0,2627.0,1563.0,,,,,,
7,2021-05-17,2857,三晖电气,-1.48,33.0,19.0,13.53,13.61,13.3,13.33,6916.0,1.07,2.29,927.6,5.41,3588.0,3328.0,1.08,0.23,-2.06,-3.22,721.0,10.0,1.49,  -33.3万,-0.03,-3.59,0,  133.9万,  -42.6万, -124.5万,721.0,0.491,51.12300000000001,-2.93,-2.93,-2.87,-1.58,-5.87,34.22,-19.07,15.92,2560.0,2219.0,2666.0,1806.0,1821.0,1803.0,1817.0,4038.0,1939.0,3221.0,4094.0,3644.0,4061.0,3946.0,2714.0,3548.0,2227.0,2814.0,3746.0,3836.0,3055.0,,1411.0,1538.0,,,,,3746.0,1457.0,1764.0,2555.0,1974.0,2109.0,2262.0,2374.0,650.0,1476.0,736.0,25.0,1.0,2621.0,3106.0,,,,,,
8,2021-05-19,2857,三晖电气,-2.27,22.0,2.0,13.1,13.11,12.9,12.9,5884.0,0.91,1.59,765.03,3.41,4581.0,1303.0,3.52,0.0,-1.6,-2.51,463.0,13.0,1.27, -425.7万,-0.36,-55.64,0,  -63.8万, -137.0万, -224.9万,463.0,0.317,43.177,-1.98,-5.86,-5.9,-3.08,-14.25,26.97,-21.31,12.44,3754.0,2300.0,3782.0,1854.0,1888.0,1859.0,1887.0,4034.0,1611.0,3451.0,4072.0,3383.0,3841.0,4201.0,20.0,4089.0,2421.0,3864.0,4001.0,3467.0,2861.0,,3474.0,4260.0,,,,,4001.0,2226.0,3020.0,3756.0,3827.0,3445.0,3214.0,3584.0,890.0,1605.0,905.0,20.0,727.0,2758.0,882.0,,,,,,
9,2021-05-20,2857,三晖电气,-0.62,7.0,78.0,12.99,12.99,12.77,12.82,2898.0,0.5,1.71,371.92,9.09,2160.0,738.0,2.93,0.39,-1.31,-0.97,308.0,9.0,0.63, -182.1万,-0.16,-48.96,0,0,  -43.5万, -138.6万,308.0,0.295,41.845,-0.89,-3.85,-6.38,-4.99,-15.45,23.0,-23.18,11.47,2228.0,3207.0,1463.0,1872.0,1902.0,1870.0,1898.0,4225.0,4058.0,3504.0,4267.0,2902.0,4160.0,4272.0,40.0,3386.0,1891.0,2428.0,4188.0,3886.0,3952.0,,2660.0,4252.0,,,,,4188.0,2202.0,3101.0,2222.0,3762.0,3160.0,3198.0,3774.0,930.0,1678.0,930.0,54.0,23.0,2384.0,2617.0,,,,,,
