,日期,代码,名称,涨幅%,开买量,开卖量,买量,卖量,开盘,最高,最低,收盘,总量,量比,振幅%,总金额,开盘金额,内盘,外盘,内外比,攻击波%,回头波%,强弱度%,活跃度,笔均量,换手Z,当日___净流入,净买率%,当日___相对流量%,当日___超大单,当日___大单,当日___中单,当日___小单,BS,WIN,RSI1,今日强,3日强,5日强,10日强,20日强,60日强,一年来,年初至今,涨幅%Rank,开买量Rank,开卖量Rank,买量Rank,卖量Rank,开盘Rank,最高Rank,最低Rank,收盘Rank,总量Rank,量比Rank,振幅%Rank,总金额Rank,开盘金额Rank,内盘Rank,外盘Rank,内外比Rank,攻击波%Rank,回头波%Rank,强弱度%Rank,活跃度Rank,笔均量Rank,换手ZRank,当日___净流入Rank,净买率%Rank,当日___相对流量%Rank,当日___超大单Rank,当日___大单Rank,当日___中单Rank,当日___小单Rank,BSRank,WINRank,RSI1Rank,今日强Rank,3日强Rank,5日强Rank,10日强Rank,20日强Rank,60日强Rank,一年来Rank,年初至今Rank,代码.1,名称.1,代码.1Rank,名称.1Rank,竞价量,竞价量Rank
0,2021-05-11,605196,N华通,43.96,186598.0,0.0,166113.0,0.0,6.06,7.27,6.06,7.27,6821.0,0.0,23.96,494.13,8.71,5795.0,1026.0,5.65,19.97,0.0,43.56,490.0,14.0,0.9, -346.6万,-0.63,-70.15,0,0,0, -346.6万,490.0,1.0,,,,,,,,,,3.0,10.0,4245.0,7.0,3049.0,3154.0,2839.0,3123.0,2815.0,3896.0,4266.0,5.0,4197.0,2948.0,3574.0,4235.0,6.0,8.0,1.0,3.0,3918.0,3360.0,3555.0,,4028.0,4263.0,,,,,3918.0,1.0,,,,,,,,,,,,,,,
1,2021-05-12,605196,华通线缆,10.04,1678171.0,0.0,181000.0,0.0,8.0,8.0,8.0,8.0,1620.0,0.24,0.0,129.57,24.24,1457.0,163.0,8.94,0.0,0.0,9.43,195.0,8.0,0.21, -103.4万,-0.17,-79.77,0,0,0, -103.4万,195.0,1.0,100.0,9.61,,,,,,,,34.0,3.0,4259.0,9.0,3046.0,2649.0,2690.0,2625.0,2675.0,4260.0,4264.0,4258.0,4274.0,1992.0,4201.0,4274.0,2.0,4252.0,1.0,30.0,4252.0,3909.0,4265.0,,3470.0,4273.0,,,,,4252.0,1.0,1.0,30.0,,,,,,,,,,,,,
2,2021-05-13,605196,华通线缆,10.0,1041074.0,0.0,145942.0,0.0,8.8,8.8,8.8,8.8,3738.0,0.87,0.0,328.98,25.61,3589.0,149.0,24.09,0.0,0.0,10.96,349.0,11.0,0.49, -302.5万,-0.45,-91.96,0,0,0, -302.5万,349.0,1.0,100.0,11.02,,,,,,,,39.0,3.0,4250.0,8.0,3070.0,2483.0,2535.0,2460.0,2492.0,4176.0,2386.0,4269.0,4271.0,2306.0,3955.0,4281.0,1.0,4105.0,1.0,53.0,4161.0,3653.0,4157.0,,3726.0,4281.0,,,,,4162.0,1.0,1.0,36.0,,,,,,,,,,,,,
3,2021-05-14,605196,华通线缆,10.0,2079360.0,0.0,116510.0,0.0,9.68,9.68,9.68,9.68,4904.0,1.2,0.0,474.67,56.82,4598.0,306.0,15.03,0.0,0.0,8.23,382.0,13.0,0.65, -415.4万,-0.56,-87.51,0,0,0, -415.4万,382.0,1.0,100.0,7.64,31.41,,,,,,,58.0,3.0,4247.0,13.0,3100.0,2335.0,2360.0,2315.0,2343.0,4120.0,1382.0,4264.0,4261.0,1393.0,3825.0,4278.0,2.0,4238.0,1.0,44.0,4161.0,3526.0,4081.0,,3967.0,4278.0,,,,,4161.0,1.0,1.0,64.0,6.0,,,,,,,,,,,,
4,2021-05-17,605196,华通线缆,10.02,758278.0,0.0,96180.0,0.0,10.65,10.65,10.65,10.65,4959.0,1.15,0.0,528.1,161.99,4104.0,855.0,4.8,0.0,0.0,9.24,359.0,14.0,0.65, -345.9万,-0.43,-65.5,0,0,  -40.0万, -305.9万,359.0,1.0,100.0,8.56,30.34,,,,,,,20.0,4.0,4260.0,8.0,3172.0,2191.0,2217.0,2151.0,2185.0,4155.0,1622.0,4260.0,4243.0,952.0,4013.0,4263.0,10.0,3918.0,1.0,16.0,4173.0,3481.0,4080.0,,3469.0,4273.0,,,,,4173.0,1.0,1.0,19.0,2.0,,,,,,,,,,,,
5,2021-05-18,605196,华通线缆,10.05,318444.0,0.0,139330.0,0.0,11.72,11.72,11.72,11.72,8377.0,1.94,0.0,981.79,,7050.0,1327.0,5.31,0.0,0.0,9.72,474.0,18.0,1.1, -670.5万,-0.75,-68.29,0,0, -139.8万, -530.7万,474.0,1.0,100.0,10.0,29.28,57.93,,,,,,29.0,3.0,4257.0,10.0,3068.0,2028.0,2059.0,1998.0,2033.0,3830.0,189.0,4256.0,3934.0,,3479.0,4200.0,12.0,4203.0,1.0,56.0,3970.0,2953.0,3092.0,,4094.0,4267.0,,,,,3970.0,1.0,1.0,26.0,3.0,1.0,,,,,,,,,,,
6,2021-05-19,605196,华通线缆,9.98,202772.0,0.0,111930.0,0.0,12.89,12.89,12.89,12.89,11351.0,2.36,0.0,1463.11,453.19,9514.0,1837.0,5.18,0.0,0.0,10.49,606.0,19.0,1.49, -989.4万,-1.01,-67.62,0,  -61.5万, -111.8万, -816.2万,606.0,1.0,100.0,10.28,31.95,58.59,,,,,,61.0,11.0,4255.0,13.0,3081.0,1885.0,1918.0,1861.0,1890.0,3620.0,132.0,4260.0,3622.0,283.0,3283.0,4119.0,12.0,4089.0,1.0,35.0,3772.0,2947.0,2570.0,,4102.0,4268.0,,,,,3772.0,1.0,1.0,58.0,4.0,1.0,,,,,,,,,,,
7,2021-05-20,605196,华通线缆,10.01,112943.0,0.0,70207.0,0.0,14.18,14.18,14.18,14.18,32626.0,4.86,0.0,4626.33,862.81,29390.0,3236.0,9.08,0.0,0.0,10.12,1593.0,20.0,4.29,  -3708万,-3.44,-80.15,0, -492.2万, -531.0万,  -2685万,1593.0,1.0,100.0,9.73,33.12,57.26,,,,,,28.0,10.0,4262.0,21.0,3152.0,1728.0,1753.0,1695.0,1728.0,2664.0,19.0,4281.0,2430.0,230.0,2117.0,3915.0,4.0,4099.0,1.0,21.0,2262.0,2912.0,1086.0,,4275.0,4290.0,,,,,2262.0,1.0,1.0,31.0,5.0,2.0,,,,,,,,,,,
8,2021-05-24,605196,华通线缆,-0.96,2.0,262.0,4.0,168.0,15.5,16.5,14.51,15.45,533683.0,7.67,12.76,81454.79,2901.14,264526.0,269157.0,0.98,6.48,-6.36,-1.27,4526.0,118.0,70.22,   1011万,0.86,1.24,  356.6万, -219.8万,   2612万,  -1738万,4526.0,0.523,97.666,-1.38,20.18,45.64,,,,,,3423.0,3820.0,727.0,3033.0,1781.0,1578.0,1524.0,1661.0,1591.0,264.0,8.0,42.0,191.0,37.0,269.0,245.0,2529.0,214.0,4204.0,3334.0,129.0,482.0,2.0,,115.0,1730.0,,,,,129.0,1443.0,5.0,3424.0,27.0,4.0,,,,,,,,,,,
9,2021-05-25,605196,华通线缆,-2.78,380.0,43.0,85.0,5454.0,14.89,15.58,13.91,15.02,366551.0,2.09,10.81,53659.05,897.12,199639.0,166912.0,1.2,7.98,-3.59,-5.19,4334.0,85.0,48.23,  -4623万,-4.05,-8.62, -477.4万, -459.2万,  -2862万, -824.0万,4334.0,0.491,91.102,-5.94,3.38,25.63,100.72,,,,,4194.0,527.0,1881.0,2314.0,187.0,1659.0,1629.0,1752.0,1660.0,475.0,285.0,83.0,394.0,145.0,421.0,534.0,1441.0,104.0,4103.0,4194.0,297.0,849.0,10.0,,4289.0,2801.0,,,,,297.0,1734.0,6.0,4190.0,415.0,25.0,3.0,,,,,,,,,,
10,2021-05-26,605196,华通线缆,9.99,5746.0,1.0,25925.0,0.0,16.3,16.52,15.88,16.52,313322.0,1.27,4.26,51408.33,1978.76,200807.0,112515.0,1.78,4.03,0.0,9.65,1781.0,176.0,41.23,  -1.46亿,-11.61,-28.36,  -8972万, -954.8万,  -1745万,  -2907万,1781.0,1.0,92.895,9.95,2.27,25.29,101.03,,,,,57.0,56.0,4063.0,62.0,4218.0,1532.0,1549.0,1549.0,1521.0,581.0,1369.0,1097.0,420.0,87.0,431.0,770.0,221.0,432.0,1.0,77.0,2200.0,251.0,16.0,,4303.0,4090.0,,,,,2200.0,1.0,5.0,55.0,539.0,26.0,3.0,,,,,,,,,,
11,2021-05-27,605196,华通线缆,-3.45,0.0,700.0,13.0,11562.0,16.02,16.16,15.0,15.95,418780.0,1.36,7.02,65299.91,2138.27,222386.0,196394.0,1.13,6.33,-1.3,-3.88,4343.0,96.0,55.1,  -3959万,-3.27,-6.06,  -1340万,  -2752万, -452.0万,  585.2万,4343.0,0.763,85.816,-3.78,-0.31,9.56,74.34,,,,,4233.0,4293.0,375.0,3810.0,80.0,1563.0,1588.0,1652.0,1588.0,388.0,998.0,390.0,304.0,63.0,375.0,421.0,1679.0,214.0,2669.0,4222.0,251.0,743.0,5.0,,4285.0,2606.0,,,,,251.0,880.0,17.0,4231.0,1282.0,234.0,5.0,,,,,,,,,,
