,日期,代码,名称,涨幅%,开买量,开卖量,开盘,最高,最低,收盘,总量,量比,振幅%,总金额,开盘金额,内盘,外盘,内外比,攻击波%,回头波%,强弱度%,活跃度,笔均量,换手Z,当日___净流入,净买率%,当日___相对流量%,当日___超大单,当日___大单,当日___中单,当日___小单,BS,WIN,RSI1,今日强,3日强,5日强,10日强,20日强,60日强,一年来,年初至今,涨幅%Rank,开买量Rank,开卖量Rank,开盘Rank,最高Rank,最低Rank,收盘Rank,总量Rank,量比Rank,振幅%Rank,总金额Rank,开盘金额Rank,内盘Rank,外盘Rank,内外比Rank,攻击波%Rank,回头波%Rank,强弱度%Rank,活跃度Rank,笔均量Rank,换手ZRank,当日___净流入Rank,净买率%Rank,当日___相对流量%Rank,当日___超大单Rank,当日___大单Rank,当日___中单Rank,当日___小单Rank,BSRank,WINRank,RSI1Rank,今日强Rank,3日强Rank,5日强Rank,10日强Rank,20日强Rank,60日强Rank,一年来Rank,年初至今Rank,买量,卖量,买量Rank,卖量Rank,代码.1,名称.1,代码.1Rank,名称.1Rank,竞价量,竞价量Rank
0,2021-05-06,2414,高德红外,-2.93,6.0,54.0,34.8,34.82,33.75,33.85,126004.0,1.35,3.07,43016.96,141.22,73909.0,52095.0,1.42,0.3,-2.79,-1.35,4124.0,31.0,1.45,  -7406万,-0.14,-17.22, -975.6万,  -1672万,  -3366万,  -1394万,2907.0,0.265,48.019,-1.71,0.11,-0.71,-2.67,-3.84,-15.16,12.04,-16.04,3834.0,3256.0,1714.0,643.0,664.0,651.0,670.0,1106.0,685.0,2315.0,434.0,913.0,992.0,1272.0,851.0,3765.0,3406.0,3626.0,341.0,2212.0,2735.0,,2995.0,3402.0,,,,,1061.0,2059.0,1859.0,3830.0,2211.0,1985.0,1962.0,2915.0,3886.0,819.0,3366.0,,,,,,,,,,
1,2021-05-07,2414,高德红外,-3.25,29.0,1.0,33.89,34.08,32.61,32.75,105532.0,1.03,4.34,34933.41,,64828.0,40704.0,1.59,0.43,-3.9,-1.3,3945.0,27.0,1.22,  -7973万,-0.15,-22.82,  -2915万,  -2420万,  -2701万,   63.6万,3945.0,0.07400000000000001,40.351,-1.96,1.75,-1.39,-3.79,-6.82,-14.94,3.61,-17.43,3638.0,2084.0,3954.0,670.0,682.0,681.0,687.0,1331.0,1574.0,1389.0,554.0,,1159.0,1542.0,,,,3458.0,482.0,2419.0,,,2648.0,3463.0,,,,,482.0,3171.0,2944.0,3635.0,2371.0,2799.0,2608.0,3309.0,3891.0,952.0,3480.0,54.0,77.0,2957.0,2533.0,,,,,,
2,2021-05-10,2414,高德红外,-4.49,12.0,42.0,32.58,32.64,31.09,31.28,130257.0,1.14,4.73,41311.54,92.53,83206.0,47051.0,1.77,0.61,-4.17,-4.37,4110.0,32.0,1.5,  -1.14亿,-0.23,-27.72,  -3118万,  -3812万,  -4006万, -513.1万,4110.0,0.063,35.019,-4.42,-7.74,-6.06,-6.29,-11.12,-17.98,-2.42,-20.88,4112.0,2803.0,1986.0,686.0,704.0,709.0,719.0,1145.0,1327.0,1158.0,480.0,1125.0,967.0,1404.0,359.0,3470.0,3988.0,4098.0,363.0,2206.0,2753.0,,3374.0,3903.0,,,,,363.0,3308.0,3545.0,4111.0,4127.0,3766.0,3252.0,3617.0,3973.0,1121.0,3659.0,42.0,179.0,2461.0,1681.0,,,,,,
3,2021-05-11,2414,高德红外,1.82,51.0,193.0,31.19,32.1,30.98,31.85,79730.0,0.62,3.58,25140.31,52.65,35607.0,44123.0,0.81,2.81,-0.78,1.47,3338.0,24.0,0.92,   2712万,0.05,10.79,   1168万,  918.7万,  -73.4万,  698.5万,3338.0,0.07400000000000001,38.417,1.21,-5.16,-1.48,-4.47,-11.21,-14.64,-0.94,-20.1,971.0,1640.0,951.0,721.0,716.0,710.0,708.0,1659.0,3511.0,1903.0,757.0,1582.0,1799.0,1520.0,3357.0,1394.0,1898.0,956.0,783.0,2624.0,3509.0,,1356.0,879.0,,,,,783.0,3487.0,3405.0,965.0,3919.0,3329.0,2837.0,3715.0,3925.0,1082.0,3608.0,39.0,29.0,2487.0,2482.0,,,,,,
4,2021-05-12,2414,高德红外,0.0,1.0,51.0,31.78,31.92,31.25,31.85,51138.0,0.43,2.1,16189.93,88.03,27984.0,23154.0,1.21,1.92,-0.22,-0.7,2764.0,19.0,0.59,  -1506万,-0.03,-9.3, -401.2万, -358.4万, -616.8万, -129.2万,2764.0,0.078,38.417,-0.43,-3.72,-7.12,-5.8,-9.8,-13.63,-6.19,-20.51,2858.0,3965.0,1700.0,710.0,728.0,709.0,716.0,2172.0,4165.0,3071.0,1031.0,1060.0,2042.0,2278.0,1160.0,2269.0,852.0,2956.0,1118.0,2896.0,4012.0,,2414.0,3092.0,,,,,1118.0,3673.0,3585.0,2854.0,3855.0,4041.0,3492.0,3476.0,3934.0,1223.0,3640.0,115.0,75.0,2127.0,2190.0,,,,,,
5,2021-05-13,2414,高德红外,-1.32,2.0,27.0,31.64,31.83,31.25,31.43,56845.0,0.58,1.82,17896.7,60.75,33307.0,23538.0,1.42,0.58,-1.26,-0.27,2804.0,20.0,0.65,  -3057万,-0.06,-17.08, -367.9万,  -1442万, -952.8万, -293.9万,2804.0,0.067,36.774,-0.3,0.47,-5.8,-6.44,-3.88,-11.93,-5.24,-20.53,2886.0,3776.0,2376.0,713.0,740.0,708.0,719.0,2093.0,3909.0,3542.0,1000.0,1560.0,1978.0,2202.0,997.0,2720.0,1331.0,2851.0,1103.0,2883.0,3974.0,,2033.0,3258.0,,,,,1103.0,3659.0,3656.0,2886.0,2346.0,3991.0,3589.0,2562.0,3962.0,1237.0,3679.0,33.0,59.0,2557.0,2167.0,,,,,,
6,2021-05-14,2414,高德红外,2.9,3.0,43.0,31.39,32.5,31.28,32.34,88664.0,1.05,3.88,28448.2,42.38,34321.0,54343.0,0.63,3.39,-0.49,0.8,3663.0,24.0,1.02,   6450万,0.13,22.67,   1779万,   2744万,  977.6万,  949.7万,3663.0,0.096,42.511,0.54,-0.2,-3.54,-4.86,-4.98,-12.77,-3.34,-20.61,751.0,3673.0,1723.0,724.0,724.0,712.0,717.0,1684.0,1861.0,1419.0,726.0,1608.0,1964.0,1474.0,3992.0,798.0,1402.0,792.0,666.0,2676.0,3621.0,,1087.0,281.0,,,,,666.0,3813.0,3434.0,752.0,2031.0,3535.0,3410.0,2684.0,3991.0,1137.0,3631.0,170.0,461.0,1935.0,1329.0,,,,,,
7,2021-05-17,2414,高德红外,4.33,15.0,23.0,32.38,33.97,32.35,33.74,119733.0,1.47,5.01,40166.94,66.7,49678.0,70055.0,0.71,4.3,-0.68,2.59,3976.0,30.0,1.38,   6869万,0.13,17.1,   2078万,   1751万,   2539万,  502.1万,3976.0,0.163,50.025,2.87,3.15,4.01,-2.63,-4.49,-11.02,-2.14,-18.68,228.0,2745.0,2485.0,717.0,689.0,693.0,680.0,1361.0,747.0,1000.0,526.0,1626.0,1668.0,1136.0,4059.0,414.0,447.0,286.0,479.0,2387.0,3203.0,,599.0,214.0,,,,,479.0,2956.0,1939.0,228.0,360.0,464.0,2580.0,2082.0,3944.0,1020.0,3423.0,238.0,173.0,1618.0,1717.0,,,,,,
8,2021-05-19,2414,高德红外,6.85,3.0,15.0,34.12,37.25,34.1,36.67,216222.0,2.71,9.18,78145.4,74.38,84495.0,131727.0,0.64,7.54,-1.56,6.61,4438.0,49.0,2.49,   1.71亿,0.29,21.92,   7381万,   5531万,   4271万,  -54.7万,4438.0,0.484,61.931,7.14,12.18,12.6,4.21,5.48,-1.88,10.12,-11.42,113.0,3580.0,2684.0,678.0,607.0,665.0,600.0,688.0,91.0,176.0,183.0,1196.0,945.0,520.0,4170.0,126.0,2369.0,128.0,150.0,1496.0,1713.0,,361.0,108.0,,,,,150.0,1556.0,605.0,112.0,82.0,135.0,1145.0,758.0,3551.0,800.0,2908.0,109.0,426.0,2105.0,1168.0,,,,,,
9,2021-05-20,2414,高德红外,0.52,33.0,30.0,36.69,37.21,36.31,36.86,116943.0,1.04,2.45,42969.01,207.67,54087.0,62856.0,0.86,1.51,-0.94,0.17,3896.0,30.0,1.35,   3262万,0.06,7.59,   1377万,   1992万,  512.2万, -619.6万,3896.0,0.4970000000000001,62.562,0.24,9.22,13.4,6.42,3.48,0.13,8.16,-11.24,1172.0,2076.0,2135.0,598.0,611.0,593.0,600.0,1287.0,1408.0,2641.0,457.0,722.0,1423.0,1143.0,3585.0,1573.0,1263.0,1344.0,456.0,2296.0,2870.0,,861.0,696.0,,,,,456.0,1417.0,542.0,1175.0,180.0,115.0,579.0,945.0,3292.0,808.0,2854.0,304.0,762.0,1500.0,853.0,,,,,,
10,2021-05-21,2414,高德红外,-2.66,13.0,10.0,36.97,37.18,35.75,35.88,104100.0,0.83,3.88,37529.75,140.12,62022.0,42078.0,1.47,0.36,-3.5,-1.85,3797.0,27.0,1.2,  -7146万,-0.13,-19.04,  -2538万,  -1737万,  -1828万,  -1043万,3797.0,0.397,57.282,-1.65,5.58,10.49,6.79,2.52,-2.16,6.01,-12.58,3943.0,2766.0,2914.0,598.0,614.0,613.0,622.0,1297.0,1912.0,1342.0,464.0,735.0,1203.0,1445.0,1027.0,3248.0,3775.0,3915.0,455.0,2429.0,2924.0,,2748.0,3265.0,,,,,455.0,1778.0,940.0,3939.0,449.0,199.0,603.0,1159.0,3261.0,885.0,3060.0,822.0,52.0,890.0,2216.0,,,,,,
11,2021-05-24,2414,高德红外,-0.31,46.0,23.0,35.85,35.95,35.11,35.77,86218.0,0.67,2.34,30617.77,107.55,47433.0,38785.0,1.22,1.88,-0.5,-0.92,3520.0,24.0,0.99,  -3050万,-0.05,-9.96, -529.7万, -267.0万,  -1123万,  -1130万,3520.0,0.387,56.703,-0.72,-2.13,6.58,11.09,3.66,-3.97,7.24,-13.25,2992.0,1864.0,2326.0,622.0,640.0,622.0,630.0,1564.0,3274.0,2753.0,609.0,1019.0,1479.0,1642.0,1336.0,1673.0,1084.0,3081.0,643.0,2660.0,3364.0,,2440.0,2949.0,,,,,643.0,1958.0,1176.0,2989.0,3484.0,533.0,362.0,1142.0,3426.0,855.0,3135.0,0.0,49.0,3235.0,2334.0,,,,,,
12,2021-05-25,2414,高德红外,1.2,74.0,138.0,35.91,36.85,35.88,36.2,121812.0,1.01,2.71,44092.43,258.19,58243.0,63569.0,0.92,0.89,-1.76,-1.14,4054.0,30.0,1.4,   1982万,0.03,4.49, -388.0万, -203.7万,  508.8万,   2064万,4054.0,0.444,58.469,-1.96,-4.34,2.95,7.78,2.6,-5.63,4.69,-15.35,1252.0,1458.0,1055.0,632.0,630.0,618.0,640.0,1303.0,2158.0,2126.0,497.0,463.0,1360.0,1239.0,2828.0,3516.0,3429.0,1231.0,458.0,2373.0,3020.0,,1526.0,1421.0,,,,,459.0,1933.0,1095.0,1250.0,3796.0,594.0,420.0,966.0,3207.0,849.0,3101.0,377.0,153.0,1533.0,1930.0,,,,,,
13,2021-05-26,2414,高德红外,-1.38,5.0,256.0,36.56,36.56,35.34,35.7,88979.0,0.69,3.37,31868.47,260.67,51245.0,37734.0,1.36,1.02,-2.35,-1.03,3793.0,23.0,1.02,  -4817万,-0.08,-15.12, -743.8万,  -1626万,  -1635万, -812.6万,3793.0,0.373,55.628,-1.42,-4.13,-5.51,6.62,-0.01,-8.84,2.27,-16.59,3789.0,3369.0,827.0,632.0,656.0,649.0,656.0,1705.0,3703.0,1605.0,679.0,552.0,1554.0,1852.0,812.0,2547.0,3408.0,3624.0,577.0,2813.0,3619.0,,2677.0,3475.0,,,,,577.0,2433.0,1616.0,3787.0,3535.0,3773.0,420.0,1574.0,3612.0,925.0,3241.0,18.0,535.0,3700.0,1434.0,,,,,,
14,2021-05-27,2414,高德红外,4.17,5.0,9.0,35.53,37.19,35.41,37.19,185504.0,1.79,4.99,67916.45,35.53,77552.0,107952.0,0.72,5.03,0.0,3.47,4230.0,44.0,2.14,   1.11亿,0.19,16.41,   4829万,   2560万,   2986万,  770.2万,4230.0,0.539,61.614,3.84,0.43,-2.03,11.41,3.6,-5.35,-2.41,-13.36,344.0,3408.0,3125.0,659.0,646.0,643.0,626.0,924.0,509.0,779.0,283.0,1945.0,1112.0,782.0,3828.0,352.0,1.0,363.0,311.0,1885.0,2332.0,,873.0,456.0,,,,,311.0,1780.0,875.0,343.0,1021.0,3033.0,238.0,1018.0,3216.0,1008.0,3018.0,130.0,18.0,2653.0,3590.0,,,,,,
15,2021-05-28,2414,高德红外,0.08,88.0,3.0,37.19,37.7,36.85,37.22,135039.0,1.15,2.29,50274.83,258.46,66523.0,68516.0,0.97,1.0,-1.27,0.38,3983.0,34.0,1.56,  804.4万,0.01,1.6,  -1209万,  571.1万,   1217万,  225.2万,3983.0,0.54,61.726000000000006,0.4,2.77,0.09,10.97,5.43,-3.75,6.23,-12.96,1326.0,1503.0,3673.0,625.0,629.0,618.0,622.0,1248.0,1521.0,2942.0,465.0,605.0,1380.0,1108.0,3413.0,1698.0,1249.0,1298.0,484.0,2303.0,2959.0,,912.0,881.0,,,,,484.0,1580.0,787.0,1321.0,944.0,1318.0,295.0,937.0,2961.0,822.0,2967.0,287.0,194.0,1630.0,1621.0,,,,,,
16,2021-05-31,2414,高德红外,2.5,85.0,2.0,37.13,38.38,37.13,38.15,151025.0,1.22,3.36,57036.73,153.01,74064.0,76961.0,0.96,2.75,-0.6,1.53,4140.0,36.0,1.74,   1125万,0.02,1.97,   1077万, -675.3万,  853.3万, -130.0万,4140.0,0.623,65.122,2.3,6.66,3.24,10.24,7.4,-1.51,3.74,-10.93,951.0,1540.0,3784.0,623.0,619.0,610.0,613.0,1119.0,1149.0,1755.0,396.0,937.0,1162.0,1076.0,2504.0,1306.0,1619.0,1050.0,384.0,2178.0,2755.0,,1794.0,1803.0,,,,,384.0,1564.0,708.0,951.0,476.0,869.0,506.0,906.0,2682.0,895.0,2816.0,214.0,163.0,1898.0,1871.0,,,,,,
17,2021-06-01,2414,高德红外,0.74,26.0,89.0,27.08,27.48,26.55,27.27,185718.0,1.36,3.44,50326.57,280.28,80535.0,105183.0,0.77,2.71,-0.76,0.48,4425.0,42.0,1.53,   6822万,0.14,13.55,  934.1万, -549.6万,   2745万,   3692万,4425.0,0.65,66.062,0.55,3.27,5.76,9.07,12.26,2.14,4.87,-10.5,,2360.0,1466.0,953.0,962.0,960.0,958.0,1009.0,,,488.0,635.0,1173.0,869.0,,,,,230.0,,,,,,,,,,230.0,1572.0,685.0,1898.0,1021.0,927.0,591.0,691.0,2330.0,886.0,2812.0,257.0,19.0,1767.0,2672.0,2414.0,高德红外,3490.0,,,
18,2021-06-23,2414,高德红外,0.31,20.0,6.0,28.7,28.86,28.2,28.79,163632.0,0.65,2.3,46846.3,117.96,87303.0,76329.0,1.14,2.09,-0.24,-0.69,3988.0,41.0,1.35,  -3110万,-0.06,-6.64,  354.2万,  -2618万,  -1993万,   1147万,3988.0,0.7909999999999999,,-0.18,1.21,13.34,10.1,15.33,11.93,28.09,-1.64,1746.0,2510.0,3347.0,901.0,921.0,901.0,903.0,1097.0,3914.0,2787.0,522.0,1013.0,1074.0,1105.0,2103.0,1389.0,343.0,2190.0,510.0,1940.0,3186.0,,2090.0,2235.0,,,,,510.0,870.0,,1739.0,1717.0,296.0,706.0,969.0,1234.0,669.0,2336.0,733.0,2479.0,1006.0,370.0,,,,,,
19,2021-09-02,002414,高德红外,-0.49,1218.0,17.0,26.74,27.05,26.51,26.61,119265.0,0.64,2.02,31869.2,99.21,63296.0,55969.0,1.13,0.38,-1.63,-0.23,3882.0,31.0,1.62,  -1935万,-0.04,-6.07,    3.8万,   17.8万,  -1884万,  -72.0万,3882.0,0.331,41.252,-0.49,-4.05,-5.59,-8.61,-10.34,6.34,-7.74,-3.66,3142.0,242.0,2682.0,1075.0,1087.0,1060.0,1089.0,1675.0,3472.0,3506.0,969.0,1383.0,1619.0,1731.0,1706.0,4159.0,2956.0,2629.0,801.0,2393.0,3448.0,,2348.0,2726.0,,,,,801.0,2524.0,3556.0,3142.0,3359.0,3398.0,3860.0,3890.0,2429.0,1856.0,2961.0,1281.0,136.0,954.0,2413.0,,,,,371.0,1990.0
