,日期,代码,名称,涨幅%,开买量,开卖量,开盘,最高,最低,收盘,总量,量比,振幅%,总金额,开盘金额,内盘,外盘,内外比,攻击波%,回头波%,强弱度%,活跃度,笔均量,换手Z,当日___净流入,净买率%,当日___相对流量%,当日___超大单,当日___大单,当日___中单,当日___小单,BS,WIN,RSI1,今日强,3日强,5日强,10日强,20日强,60日强,一年来,年初至今,涨幅%Rank,开买量Rank,开卖量Rank,开盘Rank,最高Rank,最低Rank,收盘Rank,总量Rank,量比Rank,振幅%Rank,总金额Rank,开盘金额Rank,内盘Rank,外盘Rank,内外比Rank,攻击波%Rank,回头波%Rank,强弱度%Rank,活跃度Rank,笔均量Rank,换手ZRank,当日___净流入Rank,净买率%Rank,当日___相对流量%Rank,当日___超大单Rank,当日___大单Rank,当日___中单Rank,当日___小单Rank,BSRank,WINRank,RSI1Rank,今日强Rank,3日强Rank,5日强Rank,10日强Rank,20日强Rank,60日强Rank,一年来Rank,年初至今Rank,买量,卖量,买量Rank,卖量Rank,代码.1,名称.1,代码.1Rank,名称.1Rank,竞价量,竞价量Rank
0,2021-05-06,2114,罗平锌电,2.9,85.0,8.0,6.42,6.85,6.42,6.75,159567.0,2.0,6.55,10641.51,101.24,69836.0,89731.0,0.78,5.14,-1.46,4.48,2244.0,71.0,6.8,   1349万,0.62,12.68,  207.1万,  382.1万,  944.2万, -184.5万,697.0,0.5,45.94300000000001,4.11,8.62,6.62,3.88,11.52,11.9,-19.42,-13.89,661.0,1452.0,3151.0,2998.0,2921.0,2975.0,2918.0,918.0,199.0,547.0,1456.0,1135.0,1036.0,831.0,3544.0,338.0,2151.0,529.0,1543.0,953.0,502.0,,163.0,682.0,,,,,3554.0,1261.0,2123.0,658.0,229.0,448.0,843.0,720.0,1665.0,1616.0,3217.0,,,,,,,,,,
1,2021-05-07,2114,罗平锌电,1.04,36.0,1300.0,6.85,7.08,6.7,6.82,210615.0,2.12,5.63,14465.51,,104202.0,106413.0,0.98,1.79,-3.67,2.98,2600.0,81.0,8.97,  189.2万,0.09,1.31,  408.0万, -156.0万, -114.9万,   52.1万,2600.0,0.672,63.995,2.32,7.22,7.59,7.78,12.63,15.01,-17.1,-11.78,1027.0,1919.0,191.0,2899.0,2868.0,2903.0,2904.0,742.0,201.0,809.0,1198.0,,763.0,721.0,,,,790.0,1323.0,822.0,,,805.0,1341.0,,,,,1323.0,781.0,393.0,1029.0,575.0,507.0,567.0,585.0,1506.0,1557.0,3105.0,209.0,852.0,1957.0,891.0,,,,,,
2,2021-05-10,2114,罗平锌电,4.55,42.0,88.0,7.0,7.17,6.88,7.13,291385.0,2.25,4.25,20500.11,317.06,128985.0,162400.0,0.79,3.63,-0.56,4.66,2874.0,101.0,12.41,   2387万,1.04,11.64,   16.0万,  397.3万,   1134万,  840.1万,2874.0,0.8859999999999999,70.968,4.62,11.25,16.01,14.19,15.36,23.51,-10.4,-7.88,405.0,1921.0,1478.0,2851.0,2844.0,2855.0,2836.0,563.0,172.0,1430.0,916.0,475.0,626.0,496.0,3610.0,813.0,1062.0,384.0,1097.0,649.0,242.0,,103.0,647.0,,,,,1097.0,412.0,222.0,406.0,393.0,203.0,362.0,450.0,984.0,1341.0,2772.0,111.0,863.0,2076.0,830.0,,,,,,
3,2021-05-11,2114,罗平锌电,-4.07,15.0,489.0,6.93,6.93,6.65,6.84,172395.0,0.96,3.93,11733.23,194.39,94045.0,78350.0,1.2,2.86,-1.3,-4.42,2274.0,76.0,7.34,  -1050万,-0.47,-8.95,0,    1.2万, -819.1万, -231.6万,2274.0,0.642,59.382,-4.68,2.09,7.0,8.01,9.12,18.75,-15.87,-12.05,4039.0,2536.0,538.0,2882.0,2926.0,2930.0,2922.0,917.0,1806.0,1642.0,1383.0,718.0,847.0,989.0,1271.0,1349.0,2646.0,4036.0,1541.0,948.0,532.0,,3904.0,2982.0,,,,,1542.0,946.0,787.0,4036.0,1623.0,831.0,589.0,823.0,1480.0,1528.0,3132.0,39.0,152.0,2487.0,1802.0,,,,,,
4,2021-05-12,2114,罗平锌电,0.88,24.0,462.0,6.8,6.97,6.74,6.9,132936.0,0.72,3.36,9157.97,15.3,70652.0,62284.0,1.13,2.37,-1.0,0.17,1977.0,67.0,5.66, -566.2万,-0.25,-6.18,0,   -7.5万,  165.4万, -724.1万,1977.0,0.708,60.806999999999995,0.45,0.2,6.72,11.12,9.17,21.33,-14.64,-11.72,1818.0,2173.0,444.0,2934.0,2936.0,2930.0,2938.0,1100.0,2882.0,1795.0,1597.0,2390.0,1030.0,1156.0,1512.0,1781.0,2770.0,1880.0,1799.0,1079.0,731.0,,3712.0,2763.0,,,,,1799.0,894.0,816.0,1816.0,2249.0,1010.0,547.0,777.0,1469.0,1498.0,3109.0,913.0,710.0,933.0,1028.0,,,,,,
5,2021-05-13,2114,罗平锌电,-2.03,144.0,159.0,6.76,6.93,6.71,6.76,106705.0,0.55,3.19,7273.36,76.79,61445.0,45260.0,1.36,0.75,-2.45,-0.98,1768.0,60.0,4.54,  -1095万,-0.5,-15.05,0, -489.5万, -105.3万, -500.1万,1768.0,0.507,55.879,-1.01,-5.2,1.49,8.12,7.77,22.18,-13.97,-12.46,3396.0,1100.0,1083.0,2980.0,2970.0,2961.0,2974.0,1362.0,4004.0,1995.0,1914.0,1384.0,1271.0,1486.0,1219.0,2355.0,2960.0,3368.0,2052.0,1281.0,987.0,,3788.0,3031.0,,,,,2052.0,1392.0,1164.0,3393.0,3967.0,2397.0,725.0,898.0,1571.0,1519.0,3209.0,253.0,89.0,1615.0,1998.0,,,,,,
6,2021-05-14,2114,罗平锌电,-1.04,64.0,10.0,6.85,6.87,6.66,6.69,98975.0,0.54,3.11,6657.32,42.54,57739.0,41236.0,1.4,0.45,-2.62,-3.13,1899.0,52.0,4.22,  -1097万,-0.51,-16.47,0, -137.3万, -945.0万,  -14.2万,1899.0,0.41600000000000004,53.542,-3.39,-3.94,-4.2,3.33,3.75,20.78,-19.11,-15.58,3795.0,1651.0,2773.0,2955.0,2994.0,2983.0,3018.0,1577.0,4096.0,1977.0,2123.0,1607.0,1397.0,1746.0,513.0,4018.0,3654.0,3828.0,2029.0,1581.0,1138.0,,3940.0,3751.0,,,,,2029.0,1913.0,1758.0,3794.0,3806.0,3687.0,1471.0,1240.0,1751.0,1667.0,3368.0,1032.0,213.0,873.0,1780.0,,,,,,
7,2021-05-17,2114,罗平锌电,-2.09,10.0,496.0,6.69,6.69,6.5,6.55,116812.0,0.73,2.84,7683.27,27.3,70919.0,45893.0,1.55,0.77,-2.09,-3.84,2318.0,50.0,4.98,  -1642万,-0.77,-21.37,0,    5.2万, -708.8万, -938.0万,2318.0,0.312,49.118,-3.55,-7.86,-11.99,3.01,0.2,18.35,-24.25,-18.73,3034.0,2992.0,552.0,3016.0,3031.0,3013.0,3023.0,1393.0,3497.0,2642.0,1966.0,2451.0,1284.0,1523.0,1084.0,2268.0,2265.0,3225.0,1681.0,1580.0,920.0,,3952.0,3173.0,,,,,1681.0,2146.0,2079.0,3036.0,3874.0,4079.0,1067.0,1338.0,1756.0,1692.0,3425.0,66.0,146.0,2270.0,1807.0,,,,,,
8,2021-05-19,2114,罗平锌电,0.72,402.0,5.0,6.92,7.19,6.88,7.02,383449.0,2.21,4.45,27071.35,1010.25,179118.0,204331.0,0.88,2.03,-2.36,0.48,3068.0,125.0,16.33,   1821万,0.8,6.73,   -8.7万,  938.4万,  681.2万,  209.6万,3068.0,0.779,60.895,1.01,3.73,-0.79,6.06,5.03,21.41,-17.52,-12.69,1054.0,525.0,3364.0,2930.0,2884.0,2913.0,2900.0,365.0,168.0,955.0,657.0,128.0,420.0,318.0,3599.0,1120.0,3275.0,1333.0,862.0,387.0,138.0,,120.0,649.0,,,,,862.0,647.0,684.0,1057.0,437.0,1326.0,844.0,793.0,1278.0,1462.0,3027.0,536.0,777.0,1193.0,847.0,,,,,,
9,2021-05-20,2114,罗平锌电,-4.7,1524.0,10.0,6.83,6.94,6.62,6.69,262709.0,1.18,4.56,17772.53,215.62,145520.0,117189.0,1.24,1.06,-3.6,-5.05,2961.0,89.0,11.19,  -1902万,-0.88,-10.7,    1.4万, -177.8万, -437.3万,  -1288万,2961.0,0.327,51.303999999999995,-4.97,2.11,-4.91,-3.36,0.5,12.39,-20.7,-17.03,4091.0,201.0,2892.0,2956.0,2958.0,2986.0,3001.0,641.0,1030.0,998.0,1039.0,698.0,614.0,675.0,2001.0,2119.0,3779.0,4124.0,1012.0,756.0,304.0,,4039.0,2283.0,,,,,1012.0,2070.0,1678.0,4089.0,968.0,2500.0,2689.0,1253.0,1826.0,1578.0,3341.0,289.0,2120.0,1531.0,359.0,,,,,,
