,日期,代码,名称,涨幅%,开买量,开卖量,开盘,最高,最低,收盘,总量,量比,振幅%,总金额,开盘金额,内盘,外盘,内外比,攻击波%,回头波%,强弱度%,活跃度,笔均量,换手Z,当日___净流入,净买率%,当日___相对流量%,当日___超大单,当日___大单,当日___中单,当日___小单,BS,WIN,RSI1,今日强,3日强,5日强,10日强,20日强,60日强,一年来,年初至今,涨幅%Rank,开买量Rank,开卖量Rank,开盘Rank,最高Rank,最低Rank,收盘Rank,总量Rank,量比Rank,振幅%Rank,总金额Rank,开盘金额Rank,内盘Rank,外盘Rank,内外比Rank,攻击波%Rank,回头波%Rank,强弱度%Rank,活跃度Rank,笔均量Rank,换手ZRank,当日___净流入Rank,净买率%Rank,当日___相对流量%Rank,当日___超大单Rank,当日___大单Rank,当日___中单Rank,当日___小单Rank,BSRank,WINRank,RSI1Rank,今日强Rank,3日强Rank,5日强Rank,10日强Rank,20日强Rank,60日强Rank,一年来Rank,年初至今Rank,买量,卖量,买量Rank,卖量Rank,代码.1,名称.1,代码.1Rank,名称.1Rank,竞价量,竞价量Rank
0,2021-05-06,300120,经纬辉开,0.25,147.0,25.0,8.08,8.3,7.95,8.13,62664.0,0.61,4.32,5093.06,16.89,31320.0,31344.0,1.0,2.26,-2.05,1.83,1454.0,43.0,2.01,   -1.9万,0.0,-0.04,0,  294.8万,  -17.9万, -278.8万,4225.0,0.996,65.705,1.46,4.7,-3.58,-6.15,-11.66,0.75,-14.69,-19.54,2268.0,1090.0,2311.0,2589.0,2584.0,2600.0,2591.0,1868.0,3353.0,1394.0,2238.0,2650.0,1906.0,1824.0,2521.0,1345.0,2863.0,1792.0,2368.0,1679.0,2070.0,,1672.0,1735.0,,,,,287.0,73.0,384.0,2270.0,603.0,2967.0,2857.0,3830.0,2970.0,1457.0,3573.0,,,,,,,,,,
1,2021-05-07,300120,经纬辉开,1.35,119.0,47.0,8.13,8.47,8.13,8.24,73916.0,0.74,4.18,6118.55,,38323.0,35593.0,1.08,1.35,-2.72,3.3,1668.0,44.0,2.37, -221.1万,-0.07,-3.61,0,   -3.1万, -104.0万, -114.1万,1668.0,0.11,43.82899999999999,2.64,3.01,-0.05,-1.57,-12.94,5.64,-16.02,-17.24,858.0,1094.0,1724.0,2593.0,2553.0,2569.0,2570.0,1748.0,2933.0,1483.0,2075.0,,1753.0,1698.0,,,,661.0,2187.0,1641.0,,,2047.0,1759.0,,,,,2187.0,2887.0,2394.0,851.0,1818.0,2398.0,2036.0,3866.0,2592.0,1514.0,3472.0,790.0,384.0,1022.0,1429.0,,,,,,
2,2021-05-10,300120,经纬辉开,-1.7,40.0,30.0,8.24,8.29,8.0,8.1,65068.0,0.66,3.52,5265.8,21.01,40102.0,24966.0,1.61,1.25,-2.29,-1.59,1567.0,42.0,2.09,  -1222万,-0.4,-23.2,0, -250.6万, -690.3万, -280.6万,1567.0,0.073,41.964,-1.63,2.43,5.66,-3.84,-16.49,6.84,-15.45,-18.51,3428.0,1953.0,2210.0,2566.0,2596.0,2596.0,2613.0,1917.0,3415.0,1961.0,2268.0,2286.0,1719.0,2110.0,584.0,2455.0,3140.0,3337.0,2297.0,1793.0,2132.0,,3798.0,3662.0,,,,,2297.0,3238.0,2715.0,3427.0,2195.0,988.0,2790.0,3947.0,2630.0,1522.0,3530.0,10.0,0.0,2867.0,3013.0,,,,,,
3,2021-05-11,300120,经纬辉开,0.37,35.0,1.0,8.02,8.16,7.97,8.13,43850.0,0.49,2.35,3538.35,14.28,24415.0,19435.0,1.26,2.01,-0.37,0.02,1395.0,31.0,1.41, -397.1万,-0.13,-11.22,0,0, -203.0万, -194.2万,1396.0,0.097,42.528,-0.24,0.75,1.16,-3.05,-12.22,8.3,-15.82,-18.81,2225.0,1926.0,4011.0,2625.0,2638.0,2613.0,2615.0,2355.0,4024.0,3142.0,2724.0,2617.0,2239.0,2456.0,1020.0,2184.0,1021.0,2199.0,2506.0,2233.0,2786.0,,3071.0,3202.0,,,,,2506.0,3286.0,2846.0,2218.0,2282.0,2584.0,2491.0,3785.0,2614.0,1525.0,3536.0,0.0,6.0,3185.0,2797.0,,,,,,
4,2021-05-12,300120,经纬辉开,3.44,12.0,19.0,8.08,8.42,8.01,8.41,96579.0,1.44,5.04,7999.03,0.0,43955.0,52624.0,0.84,4.99,-0.12,2.74,1822.0,53.0,3.1,  736.8万,0.23,9.21,0,    5.9万,   1068万, -337.5万,1822.0,0.23,47.647,3.02,1.09,5.24,4.33,-8.97,13.5,-15.99,-16.55,527.0,2653.0,2496.0,2627.0,2591.0,2621.0,2578.0,1430.0,547.0,878.0,1755.0,3990.0,1522.0,1320.0,3069.0,544.0,553.0,534.0,1964.0,1399.0,1368.0,,704.0,1154.0,,,,,1964.0,2614.0,2320.0,522.0,1725.0,1396.0,1296.0,3370.0,2285.0,1553.0,3440.0,0.0,0.0,3270.0,3046.0,,,,,,
5,2021-05-13,300120,经纬辉开,-1.78,41.0,108.0,8.4,8.54,8.23,8.26,80963.0,1.18,3.69,6795.39,46.2,42286.0,38677.0,1.09,0.36,-3.28,-0.74,1750.0,46.0,2.6, -292.1万,-0.09,-4.3,0,  138.1万, -143.1万, -287.1万,1750.0,0.159,45.31800000000001,-0.76,1.96,2.95,-0.7,-12.57,16.08,-14.46,-16.99,3238.0,1936.0,1317.0,2575.0,2592.0,2585.0,2607.0,1688.0,1134.0,1569.0,1986.0,1809.0,1696.0,1660.0,2412.0,3290.0,3531.0,3219.0,2071.0,1666.0,1725.0,,2352.0,1855.0,,,,,2071.0,2897.0,2539.0,3235.0,1423.0,1677.0,2488.0,3717.0,2200.0,1535.0,3503.0,5.0,0.0,3021.0,3070.0,,,,,,
6,2021-05-14,300120,经纬辉开,2.42,60.0,32.0,8.31,8.5,8.27,8.46,71105.0,0.99,2.78,5969.71,8.97,36612.0,34493.0,1.06,2.3,-0.47,0.33,1603.0,44.0,2.28, -171.7万,-0.05,-2.88,0,    8.6万, -206.4万,   26.1万,1604.0,0.287,48.903999999999996,0.07,2.32,0.38,0.32,-7.0,17.74,-14.15,-17.34,919.0,1700.0,1921.0,2601.0,2607.0,2583.0,2597.0,1921.0,2119.0,2258.0,2248.0,2888.0,1892.0,1949.0,1747.0,1443.0,1341.0,961.0,2349.0,1835.0,2127.0,,2666.0,2518.0,,,,,2344.0,2551.0,2450.0,917.0,848.0,1859.0,2280.0,3050.0,2078.0,1458.0,3470.0,75.0,0.0,2332.0,3100.0,,,,,,
7,2021-05-17,300120,经纬辉开,2.01,20.0,7.0,8.42,8.68,8.24,8.63,109483.0,1.53,5.2,9306.7,32.84,55619.0,53864.0,1.03,4.73,-0.58,0.27,1938.0,56.0,3.51, -124.3万,-0.04,-1.34,0,   68.7万,0, -193.0万,1938.0,0.408,51.797,0.55,-0.17,2.69,8.65,-4.45,16.56,-12.65,-17.15,561.0,2523.0,3295.0,2599.0,2559.0,2586.0,2526.0,1463.0,649.0,915.0,1767.0,2268.0,1548.0,1378.0,2934.0,343.0,345.0,672.0,2048.0,1421.0,1412.0,,1491.0,1327.0,,,,,2048.0,1745.0,1665.0,560.0,894.0,614.0,461.0,2072.0,1953.0,1279.0,3324.0,0.0,0.0,3257.0,3172.0,,,,,,
8,2021-05-19,300120,经纬辉开,1.17,38.0,41.0,8.45,9.05,8.36,8.62,116621.0,1.29,8.1,10129.97,55.26,60151.0,56470.0,1.07,3.11,-4.75,0.94,1966.0,59.0,3.74, -313.0万,-0.1,-3.09,0,  -83.9万,   69.3万, -298.4万,1966.0,0.395,51.628,1.47,0.68,-0.03,5.34,-3.33,13.69,-3.95,-17.0,854.0,1908.0,1941.0,2567.0,2482.0,2565.0,2539.0,1190.0,677.0,250.0,1492.0,1394.0,1242.0,1144.0,2822.0,671.0,4115.0,1015.0,1745.0,1190.0,1134.0,,2179.0,1417.0,,,,,1745.0,1881.0,1775.0,851.0,918.0,1130.0,960.0,1688.0,2096.0,1083.0,3339.0,16.0,0.0,2823.0,3081.0,,,,,,
9,2021-05-20,300120,经纬辉开,-2.67,92.0,13.0,8.6,8.71,8.38,8.39,88801.0,0.94,3.83,7535.0,65.27,56669.0,32132.0,1.76,0.12,-3.67,-3.02,1646.0,54.0,2.85,  -2069万,-0.65,-27.45,0, -704.3万, -934.2万, -430.1万,1646.0,0.22399999999999998,47.42,-2.94,-2.81,-2.3,0.72,-5.63,4.63,-7.53,-19.47,3717.0,1358.0,2744.0,2540.0,2551.0,2553.0,2584.0,1528.0,1819.0,1411.0,1878.0,1395.0,1381.0,1766.0,591.0,3989.0,3794.0,3780.0,2194.0,1394.0,1600.0,,3899.0,3697.0,,,,,2194.0,2536.0,2182.0,3713.0,3489.0,1471.0,1354.0,2258.0,2836.0,1159.0,3481.0,6.0,0.0,3074.0,3152.0,,,,,,
