,日期,代码,名称,涨幅%,开买量,开卖量,买量,卖量,开盘,最高,最低,收盘,总量,量比,振幅%,总金额,内盘,外盘,内外比,攻击波%,回头波%,强弱度%,活跃度,笔均量,换手Z,当日___净流入,净买率%,当日___相对流量%,当日___超大单,当日___大单,当日___中单,当日___小单,BS,WIN,RSI1,今日强,3日强,5日强,10日强,20日强,60日强,一年来,年初至今,涨幅%Rank,开买量Rank,开卖量Rank,买量Rank,卖量Rank,开盘Rank,最高Rank,最低Rank,收盘Rank,总量Rank,量比Rank,振幅%Rank,总金额Rank,内盘Rank,外盘Rank,内外比Rank,攻击波%Rank,回头波%Rank,强弱度%Rank,活跃度Rank,笔均量Rank,换手ZRank,当日___净流入Rank,净买率%Rank,当日___相对流量%Rank,当日___超大单Rank,当日___大单Rank,当日___中单Rank,当日___小单Rank,BSRank,WINRank,RSI1Rank,今日强Rank,3日强Rank,5日强Rank,10日强Rank,20日强Rank,60日强Rank,一年来Rank,年初至今Rank,开盘金额,开盘金额Rank,代码.1,名称.1,代码.1Rank,名称.1Rank,竞价量,竞价量Rank
0,2021-05-18,605339,N南侨,43.99,109478.0,0.0,86495.0,0.0,20.38,24.45,20.38,24.45,4473.0,0.0,23.97,1092.36,3802.0,671.0,5.67,19.97,0.0,43.67,395.0,11.0,0.7, -765.3万,-0.49,-70.06,0,0,  -13.4万, -751.8万,395.0,1.0,,,,,,,,,,2.0,8.0,4257.0,21.0,3068.0,1205.0,1006.0,1180.0,991.0,4108.0,4276.0,3.0,3858.0,3912.0,4262.0,10.0,4.0,1.0,3.0,4082.0,3640.0,3754.0,,3943.0,4269.0,,,,,4082.0,1.0,,,,,,,,,,,,,,,,,
1,2021-05-19,605339,南侨食品,10.02,1703643.0,0.0,96527.0,0.0,26.9,26.9,26.9,26.9,1374.0,0.3,0.0,369.48,1266.0,108.0,11.72,0.0,0.0,10.53,165.0,8.0,0.22, -311.5万,-0.18,-84.31,0,0,0, -311.5万,165.0,1.0,100.0,10.32,,,,,,,,35.0,3.0,4255.0,19.0,3081.0,899.0,917.0,880.0,901.0,4272.0,4258.0,4260.0,4258.0,4241.0,4278.0,3.0,4089.0,1.0,23.0,4253.0,3950.0,4266.0,,2800.0,4277.0,,,,,4253.0,1.0,1.0,34.0,,,,,,,,53.14,1420.0,,,,,,
2,2021-05-20,605339,南侨食品,10.0,1669045.0,0.0,78713.0,0.0,29.59,29.59,29.59,29.59,1551.0,0.54,0.0,458.8,1311.0,240.0,5.46,0.0,0.0,10.11,153.0,10.0,0.24, -316.3万,-0.17,-68.94,0,0,  -15.7万, -300.6万,153.0,1.0,100.0,9.73,,,,,,,,36.0,3.0,4262.0,18.0,3152.0,803.0,822.0,793.0,805.0,4281.0,3949.0,4281.0,4235.0,4248.0,4292.0,9.0,4099.0,1.0,26.0,4280.0,3787.0,4281.0,,2727.0,4285.0,,,,,4280.0,1.0,1.0,31.0,,,,,,,,116.15,1036.0,,,,,,
3,2021-05-21,605339,南侨食品,10.0,2566473.0,0.0,94373.0,0.0,32.55,32.55,32.55,32.55,6693.0,2.79,0.0,2178.5,6360.0,333.0,19.1,0.0,0.0,10.58,612.0,11.0,1.05,  -1961万,-0.95,-90.04,0,0, -360.3万,  -1601万,612.0,1.0,100.0,11.01,34.16,,,,,,,46.0,1.0,4280.0,15.0,3127.0,720.0,732.0,702.0,715.0,3946.0,80.0,4286.0,3184.0,3558.0,4290.0,1.0,4131.0,1.0,60.0,3713.0,3650.0,3147.0,,4100.0,4294.0,,,,,3713.0,1.0,1.0,43.0,6.0,,,,,,,140.32,734.0,,,,,,
4,2021-05-24,605339,南侨食品,10.02,1805490.0,0.0,94285.0,0.0,35.81,35.81,35.81,35.81,9391.0,2.61,0.0,3362.84,8488.0,903.0,9.4,0.0,0.0,9.71,610.0,15.0,1.48,  -2716万,-1.19,-80.76,0,  -68.0万, -879.5万,  -1768万,610.0,1.0,100.0,9.6,33.45,,,,,,,33.0,1.0,4258.0,19.0,3079.0,623.0,646.0,607.0,629.0,3780.0,122.0,4275.0,2772.0,3334.0,4269.0,8.0,4212.0,1.0,24.0,3725.0,3296.0,2685.0,,4172.0,4285.0,,,,,3725.0,1.0,1.0,33.0,4.0,,,,,,,607.56,272.0,,,,,,
5,2021-05-25,605339,南侨食品,10.0,1102618.0,0.0,89393.0,0.0,39.39,39.39,39.39,39.39,7229.0,1.51,0.0,2847.36,6163.0,1066.0,5.78,0.0,0.0,7.59,424.0,17.0,1.14,  -2007万,-0.8,-70.48,0, -290.3万, -514.8万,  -1202万,424.0,1.0,100.0,6.84,30.57,58.58,,,,,,43.0,2.0,4271.0,13.0,3080.0,554.0,569.0,546.0,561.0,4010.0,715.0,4289.0,3059.0,3670.0,4285.0,9.0,4269.0,1.0,56.0,4061.0,3195.0,3380.0,,4116.0,4290.0,,,,,4061.0,1.0,1.0,39.0,7.0,1.0,,,,,,789.9,170.0,,,,,,
6,2021-05-26,605339,南侨食品,10.0,904446.0,0.0,83526.0,0.0,43.33,43.33,43.33,43.33,5046.0,0.96,0.0,2186.47,4331.0,715.0,6.06,0.0,0.0,9.67,380.0,13.0,0.79,  -1567万,-0.57,-71.66,0, -160.7万, -379.6万,  -1026万,380.0,1.0,100.0,9.96,29.49,58.21,,,,,,46.0,3.0,4281.0,20.0,4218.0,487.0,512.0,479.0,500.0,4171.0,2523.0,4295.0,3485.0,3959.0,4297.0,9.0,4232.0,1.0,69.0,4168.0,3567.0,3927.0,,4010.0,4295.0,,,,,4168.0,1.0,1.0,45.0,6.0,1.0,,,,,,576.96,291.0,,,,,,
7,2021-05-27,605339,南侨食品,9.99,940315.0,0.0,70986.0,0.0,47.66,47.66,47.66,47.66,5647.0,0.94,0.0,2691.47,4733.0,914.0,5.18,0.0,0.0,9.56,452.0,12.0,0.89,  -1820万,-0.6,-67.6,0, -376.5万, -186.8万,  -1256万,452.0,1.0,100.0,9.66,29.55,58.14,,,,,,66.0,3.0,4279.0,25.0,4206.0,447.0,457.0,439.0,448.0,4154.0,2405.0,4298.0,3280.0,3954.0,4295.0,6.0,4212.0,1.0,48.0,4091.0,3695.0,3780.0,,4021.0,4301.0,,,,,4091.0,1.0,1.0,64.0,6.0,2.0,,,,,,784.74,200.0,,,,,,
8,2021-05-31,605339,南侨食品,9.99,657087.0,0.0,63523.0,0.0,57.67,57.67,57.67,57.67,14656.0,2.04,0.0,8452.11,13231.0,1425.0,9.28,0.0,0.0,9.59,925.0,16.0,2.31,  -6808万,-1.86,-80.55, -260.0万,  -1261万,  -2428万,  -2860万,925.0,1.0,100.0,9.8,32.89,57.63,,,,,,93.0,5.0,4280.0,32.0,3090.0,362.0,378.0,354.0,372.0,3639.0,240.0,4296.0,1960.0,3089.0,4288.0,2.0,4244.0,1.0,58.0,3331.0,3374.0,2231.0,,4282.0,4310.0,,,,,3331.0,1.0,1.0,79.0,12.0,2.0,,,,,,1451.16,130.0,,,,,,
9,2021-06-01,605339,南侨食品,10.01,568956.0,0.0,87721.0,0.0,63.44,63.44,63.44,63.44,5376.0,0.66,0.0,3410.32,4031.0,1345.0,3.0,0.0,0.0,9.75,354.0,15.0,0.85,  -1703万,-0.42,-49.93, -194.7万, -369.8万,  -91.9万,  -1046万,354.0,1.0,100.0,9.82,33.04,60.62,156.5,,,,,,4.0,4280.0,18.0,3104.0,325.0,342.0,317.0,331.0,4204.0,,,3149.0,4063.0,4290.0,,,,,4219.0,,,,,,,,,,4219.0,1.0,1.0,39.0,10.0,4.0,1.0,,,,,1636.31,121.0,605339.0,南侨食品,308.0,,,
