,日期,代码,名称,涨幅%,开买量,开卖量,买量,卖量,开盘,最高,最低,收盘,总量,量比,振幅%,总金额,开盘金额,内盘,外盘,内外比,攻击波%,回头波%,强弱度%,活跃度,笔均量,换手Z,当日___净流入,净买率%,当日___相对流量%,当日___超大单,当日___大单,当日___中单,当日___小单,BS,WIN,RSI1,今日强,3日强,5日强,10日强,20日强,60日强,一年来,年初至今,涨幅%Rank,开买量Rank,开卖量Rank,买量Rank,卖量Rank,开盘Rank,最高Rank,最低Rank,收盘Rank,总量Rank,量比Rank,振幅%Rank,总金额Rank,开盘金额Rank,内盘Rank,外盘Rank,内外比Rank,攻击波%Rank,回头波%Rank,强弱度%Rank,活跃度Rank,笔均量Rank,换手ZRank,当日___净流入Rank,净买率%Rank,当日___相对流量%Rank,当日___超大单Rank,当日___大单Rank,当日___中单Rank,当日___小单Rank,BSRank,WINRank,RSI1Rank,今日强Rank,3日强Rank,5日强Rank,10日强Rank,20日强Rank,60日强Rank,一年来Rank,年初至今Rank,代码.1,名称.1,代码.1Rank,名称.1Rank,竞价量,竞价量Rank
0,2021-05-11,300987,N川网,655.4,4112.0,2.0,259.0,0.0,45.0,57.77,42.0,51.29,242362.0,0.0,232.25,114933.18,6005.37,113861.0,128501.0,0.89,22.12,-11.22,655.02,4424.0,55.0,85.13,   7565万,5.18,6.58,   2708万,   2200万,   1966万,  691.3万,4427.0,0.6629999999999999,,,,,,,,,,1.0,84.0,3814.0,1553.0,3049.0,434.0,336.0,464.0,381.0,673.0,4266.0,1.0,133.0,14.0,711.0,644.0,2919.0,5.0,4259.0,1.0,188.0,1352.0,1.0,,5.0,1258.0,,,,,187.0,897.0,,,,,,,,,,,,,,,
1,2021-05-12,300987,C川网,36.48,5.0,447.0,43.0,0.0,47.0,73.99,45.0,70.0,241965.0,1.0,56.52,129782.46,3552.73,119846.0,122119.0,0.98,55.56,-5.39,35.78,4369.0,55.0,84.99,   2264万,1.14,1.74,  334.9万, -488.1万,   1589万,  828.2万,4378.0,0.9670000000000001,100.0,36.05,,,,,,,,4.0,3251.0,461.0,2541.0,3046.0,417.0,234.0,433.0,250.0,648.0,1461.0,2.0,82.0,32.0,641.0,657.0,2270.0,1.0,4208.0,4.0,197.0,1334.0,1.0,,94.0,1916.0,,,,,194.0,194.0,1.0,1.0,,,,,,,,,,,,,
2,2021-05-13,300987,C川网,-18.43,249.0,3.0,45.0,0.0,67.0,72.0,56.58,57.1,205806.0,0.85,22.03,130004.92,3386.63,113833.0,91973.0,1.24,0.92,-20.69,-17.38,4481.0,46.0,72.29,  -1.35亿,-8.3,-10.37,  -3281万,  -8681万,  -2270万,  746.1万,4494.0,0.12,57.389,-17.41,,,,,,,,4281.0,811.0,3735.0,2460.0,3070.0,266.0,245.0,327.0,331.0,801.0,2481.0,7.0,89.0,35.0,758.0,864.0,1667.0,2086.0,4281.0,4281.0,141.0,1666.0,2.0,,4280.0,2578.0,,,,,138.0,3177.0,996.0,4277.0,,,,,,,,,,,,,
3,2021-05-14,300987,C川网,-5.78,129.0,2.0,31.0,0.0,58.0,61.74,53.3,53.8,170795.0,0.74,14.78,97761.32,860.48,86213.0,84582.0,1.02,0.94,-12.86,-7.87,4495.0,38.0,59.99, -748.9万,-0.49,-0.77,   1682万, -432.1万,  -1816万, -181.8万,4496.0,0.034,51.358999999999995,-8.14,3.15,,,,,,,4258.0,1131.0,3771.0,2639.0,3100.0,327.0,309.0,360.0,375.0,1037.0,3348.0,31.0,158.0,154.0,1008.0,1052.0,1952.0,3322.0,4275.0,4259.0,178.0,2029.0,3.0,,3928.0,2287.0,,,,,178.0,4197.0,2123.0,4258.0,673.0,,,,,,,,,,,,
4,2021-05-17,300987,C川网,3.75,567.0,6.0,19.0,0.0,53.0,57.5,51.6,55.82,146674.0,0.68,10.97,80525.36,815.96,71035.0,75639.0,0.94,8.18,-2.92,2.01,4297.0,34.0,51.52,   2682万,1.69,3.33, -288.3万,   1355万,   1875万, -259.3万,4298.0,0.504,54.51,2.3,-23.04,,,,,,,288.0,452.0,3365.0,2718.0,3172.0,384.0,356.0,384.0,358.0,1172.0,3701.0,137.0,221.0,249.0,1281.0,1057.0,3313.0,102.0,3137.0,351.0,290.0,2218.0,5.0,,30.0,936.0,,,,,290.0,1412.0,1288.0,286.0,4270.0,,,,,,,,,,,,
5,2021-05-18,300987,川网传媒,-1.43,6.0,645.0,0.0,0.0,56.0,59.11,52.0,55.02,152984.0,0.76,12.74,85273.58,,78524.0,74460.0,1.05,5.81,-6.92,-1.39,4326.0,35.0,53.74,  -2031万,-1.3,-2.38, -139.8万, -257.5万,  -2239万,  605.4万,4326.0,0.369,53.045,-1.48,-7.54,4.0,,,,,,3714.0,3200.0,325.0,3281.0,3068.0,356.0,343.0,382.0,370.0,935.0,2240.0,47.0,142.0,,922.0,935.0,2338.0,299.0,4247.0,3640.0,186.0,1936.0,5.0,,4207.0,1928.0,,,,,186.0,2042.0,1631.0,3711.0,3877.0,517.0,,,,,,,,,,,
6,2021-05-19,300987,川网传媒,-8.94,14.0,183.0,35.0,0.0,52.87,54.8,49.81,50.1,138573.0,0.75,9.07,71959.4,1393.65,76667.0,61906.0,1.24,0.58,-8.58,-9.18,4314.0,32.0,48.68,  -7560万,-5.3,-10.51,  -1153万,  -3633万,  -3022万,  247.6万,4314.0,0.005,45.028,-8.65,-8.08,-30.96,,,,,,4274.0,2644.0,892.0,2589.0,3081.0,385.0,381.0,401.0,409.0,1057.0,2454.0,187.0,208.0,85.0,1031.0,1073.0,2163.0,2755.0,4266.0,4274.0,209.0,2147.0,5.0,,4274.0,2097.0,,,,,209.0,4226.0,2714.0,4273.0,4083.0,4267.0,,,,,,,,,,,
7,2021-05-20,300987,川网传媒,-1.24,1.0,1.0,21.0,0.0,48.71,51.46,48.47,49.48,95088.0,0.58,5.97,47439.7,614.89,49499.0,45589.0,1.09,2.08,-3.85,-1.59,3868.0,25.0,33.4,  -1883万,-1.34,-3.97, -643.3万, -601.6万, -545.6万,  -93.0万,3868.0,0.077,44.12300000000001,-1.51,-11.39,-17.22,,,,,,2853.0,4013.0,4010.0,2733.0,3152.0,425.0,408.0,421.0,413.0,1464.0,3780.0,545.0,415.0,317.0,1517.0,1409.0,2613.0,1137.0,3851.0,3009.0,474.0,2576.0,33.0,,4182.0,1642.0,,,,,474.0,3515.0,2728.0,2848.0,4257.0,4207.0,,,,,,,,,,,
8,2021-05-24,300987,川网传媒,6.58,301.0,1.0,0.0,0.0,52.0,55.8,49.2,54.59,137113.0,1.05,12.89,72726.49,461.74,64142.0,72971.0,0.88,10.96,-2.17,5.96,4086.0,34.0,48.16,   4781万,3.08,6.57,   1677万,  717.1万,   2383万,    4.4万,4089.0,0.893,52.94300000000001,6.16,9.28,-1.64,,,,,,132.0,691.0,4013.0,3235.0,3079.0,386.0,369.0,407.0,367.0,1085.0,1413.0,40.0,220.0,353.0,1173.0,1027.0,3056.0,32.0,3361.0,136.0,337.0,2117.0,9.0,,5.0,1200.0,,,,,334.0,332.0,1677.0,131.0,190.0,3252.0,,,,,,,,,,,
9,2021-05-25,300987,川网传媒,8.52,3.0,48.0,4.0,0.0,53.7,61.28,53.5,59.24,159628.0,1.25,14.25,91116.76,619.7,73450.0,86178.0,0.85,10.73,-3.33,6.18,4187.0,38.0,56.07,   7403万,4.39,8.12,   2539万,   2881万,   2358万, -375.4万,4192.0,0.92,59.383,5.36,17.18,5.15,9.62,,,,,78.0,3610.0,1809.0,3083.0,3080.0,377.0,329.0,372.0,340.0,1035.0,1273.0,26.0,206.0,213.0,1120.0,954.0,3209.0,41.0,4059.0,78.0,387.0,2027.0,5.0,,5.0,1067.0,,,,,385.0,312.0,981.0,74.0,32.0,393.0,336.0,,,,,,,,,,
