,日期,代码,名称,涨幅%,开买量,开卖量,买量,卖量,开盘,最高,最低,收盘,总量,量比,振幅%,总金额,开盘金额,内盘,外盘,内外比,攻击波%,回头波%,强弱度%,活跃度,笔均量,换手Z,当日___净流入,净买率%,当日___相对流量%,当日___超大单,当日___大单,当日___中单,当日___小单,BS,WIN,今日强,3日强,5日强,10日强,20日强,60日强,一年来,年初至今,涨幅%Rank,开买量Rank,开卖量Rank,买量Rank,卖量Rank,开盘Rank,最高Rank,最低Rank,收盘Rank,总量Rank,量比Rank,振幅%Rank,总金额Rank,开盘金额Rank,内盘Rank,外盘Rank,内外比Rank,攻击波%Rank,回头波%Rank,强弱度%Rank,活跃度Rank,笔均量Rank,换手ZRank,当日___净流入Rank,净买率%Rank,当日___相对流量%Rank,当日___超大单Rank,当日___大单Rank,当日___中单Rank,当日___小单Rank,BSRank,WINRank,今日强Rank,3日强Rank,5日强Rank,10日强Rank,20日强Rank,60日强Rank,一年来Rank,年初至今Rank,竞价量,RSI1,竞价量Rank,RSI1Rank
0,2021-06-23,301012,C扬电,-16.11,53,1383,38,0,43.0,44.88,40.4,40.98,116211,0.81,9.17,49059.93,1207.87,62326,53885,1.16,1.44,-8.69,-17.11,4148,28,58.36,  -3490万,-4.28,-7.11,  493.4万,  -1718万,  -1658万, -607.7万,4148,0.036000000000000004,-16.6,,,,,,,,4334.0,1764.0,181.0,2680.0,3092.0,531.0,525.0,563.0,573.0,1441.0,3142.0,216.0,506.0,125.0,1419.0,1456.0,2005.0,1947.0,4306.0,4334.0,403.0,2534.0,6.0,,4327.0,2287.0,,,,,403.0,4189.0,4331.0,,,,,,,,,,,
1,2021-09-02,301012,扬电科技,8.02,9,43,1159,39,30.98,33.57,30.68,33.53,42133,1.46,9.31,13799.15,12.7,20028,22105,0.91,9.29,-0.12,8.28,2558,16,21.16,  698.0万,1.05,5.06,0,  521.4万,  340.6万, -163.9万,2560,0.567,8.02,1.43,1.09,-17.05,-4.95,,,,192.0,3168.0,1957.0,1021.0,3181.0,898.0,831.0,882.0,811.0,2860.0,524.0,366.0,1792.0,3098.0,2969.0,2725.0,2985.0,214.0,325.0,172.0,1964.0,3367.0,88.0,,174.0,1415.0,,,,,1962.0,1690.0,192.0,1356.0,1435.0,4343.0,3501.0,,,,41.0,46.834,3601.0,2905.0
