,日期,代码,名称,涨幅%,开买量,开卖量,开盘,最高,最低,收盘,总量,量比,振幅%,总金额,开盘金额,内盘,外盘,内外比,攻击波%,回头波%,强弱度%,活跃度,笔均量,换手Z,当日___净流入,净买率%,当日___相对流量%,当日___超大单,当日___大单,当日___中单,当日___小单,BS,WIN,RSI1,今日强,3日强,5日强,10日强,20日强,60日强,一年来,年初至今,涨幅%Rank,开买量Rank,开卖量Rank,开盘Rank,最高Rank,最低Rank,收盘Rank,总量Rank,量比Rank,振幅%Rank,总金额Rank,开盘金额Rank,内盘Rank,外盘Rank,内外比Rank,攻击波%Rank,回头波%Rank,强弱度%Rank,活跃度Rank,笔均量Rank,换手ZRank,当日___净流入Rank,净买率%Rank,当日___相对流量%Rank,当日___超大单Rank,当日___大单Rank,当日___中单Rank,当日___小单Rank,BSRank,WINRank,RSI1Rank,今日强Rank,3日强Rank,5日强Rank,10日强Rank,20日强Rank,60日强Rank,一年来Rank,年初至今Rank,买量,卖量,买量Rank,卖量Rank,代码.1,名称.1,代码.1Rank,名称.1Rank,竞价量,竞价量Rank
0,2021-05-06,300966,共同药业,7.86,578.0,2.0,63.01,76.2,58.36,70.15,155609.0,1.12,27.43,103799.89,1919.91,77209.0,78400.0,0.98,20.2,-7.94,9.44,4134.0,38.0,56.58,  429.8万,0.22,0.41,   2330万,   1152万,  -3345万,  292.7万,4131.0,0.87,72.889,9.07,22.27,74.73,95.21,,,,,113.0,440.0,3772.0,293.0,231.0,315.0,259.0,937.0,1140.0,2.0,158.0,111.0,962.0,906.0,2640.0,4.0,4216.0,99.0,331.0,1878.0,2.0,,574.0,1672.0,,,,,330.0,395.0,155.0,110.0,31.0,1.0,4.0,,,,,,,,,,,,,,
1,2021-05-07,300966,共同药业,-17.49,1.0,16.0,67.64,69.46,57.6,57.88,121483.0,0.8,16.91,76835.15,,67150.0,54333.0,1.24,0.49,-16.67,-15.54,4294.0,28.0,44.17,  -8168万,-5.13,-10.63,  -2277万,  -1543万,  -3986万, -361.1万,4294.0,0.109,56.989,-16.21,10.05,21.79,72.61,,,,,4264.0,3959.0,2517.0,272.0,267.0,316.0,318.0,1191.0,2594.0,27.0,233.0,,1117.0,1261.0,,,,4264.0,283.0,2361.0,,,4261.0,2442.0,,,,,283.0,2897.0,858.0,4262.0,285.0,60.0,4.0,,,,,457.0,43.0,1392.0,2912.0,,,,,,
2,2021-05-10,300966,共同药业,14.37,634.0,1.0,59.51,68.69,59.51,66.2,116915.0,0.81,15.86,74989.69,824.21,55216.0,61699.0,0.89,11.24,-3.62,14.49,4156.0,28.0,42.51,   4318万,2.37,5.76,  138.0万,   2374万,   1371万,  435.0万,4158.0,0.7879999999999999,62.898999999999994,14.45,4.34,16.79,96.51,,,,,14.0,420.0,4020.0,305.0,265.0,298.0,270.0,1243.0,2675.0,23.0,231.0,227.0,1340.0,1149.0,3136.0,42.0,3850.0,13.0,340.0,2417.0,6.0,,20.0,1120.0,,,,,339.0,617.0,590.0,13.0,1501.0,184.0,4.0,,,,,5.0,0.0,2997.0,3013.0,,,,,,
3,2021-05-11,300966,共同药业,-6.37,134.0,1.0,63.15,66.15,58.58,61.98,117741.0,0.78,11.44,72856.08,833.58,64149.0,53592.0,1.2,5.8,-6.3,-6.73,4257.0,28.0,42.81,  -6436万,-3.78,-8.83,  -1823万,  -2097万,  -2952万,  435.7万,4262.0,0.325,58.508,-6.99,-10.89,17.09,91.31,,,,,4209.0,1048.0,4011.0,283.0,277.0,301.0,293.0,1257.0,2687.0,100.0,249.0,214.0,1179.0,1335.0,1271.0,290.0,4176.0,4207.0,273.0,2391.0,16.0,,4259.0,2969.0,,,,,269.0,1959.0,854.0,4206.0,4205.0,174.0,4.0,,,,,0.0,8.0,3185.0,2775.0,,,,,,
4,2021-05-12,300966,共同药业,-5.65,330.0,122.0,61.35,61.87,56.02,58.48,89461.0,0.66,9.44,51705.45,330.68,45523.0,43938.0,1.04,4.39,-5.48,-6.35,3997.0,22.0,32.53, -902.8万,-0.56,-1.75, -677.3万,   1053万,  -2129万,  851.1万,4000.0,0.14400000000000002,55.074,-6.07,0.07,-8.55,76.23,2.43,,,,4251.0,595.0,1052.0,295.0,308.0,328.0,328.0,1506.0,3247.0,208.0,334.0,399.0,1481.0,1523.0,1958.0,698.0,4213.0,4251.0,370.0,2678.0,35.0,,4020.0,2288.0,,,,,368.0,3170.0,1395.0,4247.0,2339.0,4112.0,8.0,1463.0,,,,10.0,0.0,2927.0,3046.0,,,,,,
5,2021-05-13,300966,共同药业,-0.14,71.0,14.0,57.11,62.49,56.3,58.4,92210.0,0.77,10.58,55263.14,467.16,47268.0,44942.0,1.05,3.73,-6.55,0.91,3829.0,24.0,33.53,  -1359万,-0.85,-2.46,  -1836万, -374.7万,   1394万, -542.6万,3830.0,0.16899999999999998,54.994,0.89,-11.79,-15.4,46.86,38.0,,,,1636.0,1571.0,2863.0,333.0,302.0,331.0,321.0,1548.0,2913.0,129.0,322.0,386.0,1545.0,1493.0,2629.0,472.0,4192.0,1613.0,464.0,2634.0,31.0,,4033.0,1647.0,,,,,464.0,2840.0,1274.0,1630.0,4242.0,4252.0,20.0,90.0,,,,5.0,0.0,3021.0,3070.0,,,,,,
6,2021-05-14,300966,共同药业,2.53,75.0,6.0,60.51,65.39,58.82,59.88,110221.0,1.03,11.25,68138.14,571.56,52365.0,57856.0,0.91,1.8,-8.43,0.44,4034.0,27.0,40.08,   3475万,2.11,5.1,   1237万,   1011万,   1008万,  218.0万,4035.0,0.276,56.251999999999995,0.18,-5.13,1.16,23.68,42.87,,,,873.0,1543.0,3193.0,305.0,287.0,314.0,320.0,1474.0,1934.0,100.0,268.0,240.0,1505.0,1419.0,2585.0,1957.0,4257.0,913.0,446.0,2522.0,15.0,,17.0,1635.0,,,,,445.0,2615.0,1379.0,871.0,3975.0,1517.0,125.0,72.0,,,,10.0,0.0,2945.0,3100.0,,,,,,
7,2021-05-17,300966,共同药业,3.21,61.0,1.0,58.08,64.6,58.08,61.8,95837.0,0.91,10.89,59058.37,600.38,44772.0,51065.0,0.88,6.4,-4.33,1.46,3957.0,24.0,34.85,   3968万,2.33,6.72,  757.2万,   1497万,   1428万,  285.9万,3959.0,0.5920000000000001,57.895,1.75,2.89,-10.5,5.43,57.21,,,,362.0,1762.0,4036.0,331.0,303.0,325.0,313.0,1612.0,2723.0,138.0,338.0,333.0,1786.0,1425.0,3565.0,186.0,3837.0,426.0,493.0,2699.0,21.0,,16.0,683.0,,,,,492.0,1087.0,894.0,361.0,384.0,4002.0,714.0,28.0,,,,18.0,0.0,2733.0,3172.0,,,,,,
8,2021-05-19,300966,共同药业,-3.78,2.0,133.0,57.34,57.34,55.0,56.53,72958.0,0.75,3.98,40966.6,288.42,37760.0,35198.0,1.07,2.78,-1.41,-4.01,3705.0,20.0,26.53,  -1388万,-0.89,-3.39, -278.6万,  747.3万,  -1291万, -565.4万,3705.0,0.219,51.94,-3.48,-6.8,-5.87,-14.04,45.36,,,,4147.0,3752.0,1075.0,347.0,360.0,361.0,355.0,1677.0,2454.0,1154.0,425.0,430.0,1745.0,1571.0,2822.0,778.0,2141.0,4170.0,493.0,2879.0,50.0,,4056.0,1446.0,,,,,494.0,2647.0,1720.0,4144.0,3973.0,3437.0,4160.0,55.0,,,,5.0,0.0,3058.0,3081.0,,,,,,
9,2021-05-20,300966,共同药业,-0.71,2.0,9.0,55.47,58.5,55.1,56.13,58661.0,0.63,6.01,33387.47,164.19,31600.0,27061.0,1.17,1.87,-4.05,-1.06,3267.0,18.0,21.33,  -2563万,-1.66,-7.68, -850.7万,  114.8万,  -1908万,   80.1万,3267.0,0.145,51.489,-0.98,-9.2,-7.76,-22.46,53.83,,,,2311.0,3780.0,3053.0,366.0,351.0,361.0,358.0,2006.0,3575.0,533.0,602.0,832.0,2032.0,1952.0,2273.0,1295.0,3918.0,2515.0,824.0,3073.0,96.0,,4213.0,1997.0,,,,,824.0,2969.0,1652.0,2309.0,4232.0,3553.0,4241.0,34.0,,,,4.0,0.0,3165.0,3152.0,,,,,,
