,日期,代码,名称,涨幅%,开买量,开卖量,开盘,最高,最低,收盘,总量,量比,振幅%,总金额,开盘金额,内盘,外盘,内外比,攻击波%,回头波%,强弱度%,活跃度,笔均量,换手Z,当日___净流入,净买率%,当日___相对流量%,当日___超大单,当日___大单,当日___中单,当日___小单,BS,WIN,RSI1,今日强,3日强,5日强,10日强,20日强,60日强,一年来,年初至今,涨幅%Rank,开买量Rank,开卖量Rank,开盘Rank,最高Rank,最低Rank,收盘Rank,总量Rank,量比Rank,振幅%Rank,总金额Rank,开盘金额Rank,内盘Rank,外盘Rank,内外比Rank,攻击波%Rank,回头波%Rank,强弱度%Rank,活跃度Rank,笔均量Rank,换手ZRank,当日___净流入Rank,净买率%Rank,当日___相对流量%Rank,当日___超大单Rank,当日___大单Rank,当日___中单Rank,当日___小单Rank,BSRank,WINRank,RSI1Rank,今日强Rank,3日强Rank,5日强Rank,10日强Rank,20日强Rank,60日强Rank,一年来Rank,年初至今Rank,买量,卖量,买量Rank,卖量Rank,代码.1,名称.1,代码.1Rank,名称.1Rank,竞价量,竞价量Rank
0,2021-05-06,2123,梦网科技,-2.03,32.0,46.0,14.39,14.44,13.96,14.01,75862.0,1.17,3.36,10693.0,19.86,47216.0,28646.0,1.65,0.36,-2.98,-0.45,2294.0,33.0,1.22,  -2618万,-0.28,-24.49, -695.6万, -755.5万, -524.6万, -642.6万,317.0,0.799,59.729,-0.81,-1.71,-5.59,-3.4,-4.4,-3.89,-38.79,1.34,3566.0,2125.0,1865.0,1666.0,1695.0,1689.0,1705.0,1637.0,1018.0,2049.0,1452.0,2522.0,1418.0,1928.0,411.0,3675.0,3515.0,3301.0,1490.0,2121.0,3060.0,,3573.0,3847.0,,,,,4119.0,565.0,734.0,3561.0,3021.0,3404.0,2145.0,3016.0,3333.0,2598.0,1677.0,,,,,,,,,,
1,2021-05-07,2123,梦网科技,-2.93,4.0,198.0,14.0,14.0,13.6,13.6,62067.0,1.06,2.86,8536.75,,37425.0,24642.0,1.52,0.0,-2.86,-0.98,2119.0,29.0,1.0,  -1757万,-0.19,-20.58,   80.8万,  -1321万, -581.2万,   64.0万,2119.0,0.013,31.39,-1.64,-1.71,-3.57,-6.14,-7.01,0.43,-40.24,-0.3,3549.0,3471.0,785.0,1709.0,1745.0,1724.0,1753.0,1926.0,1479.0,2489.0,1700.0,,1782.0,2088.0,,,,3332.0,1739.0,2315.0,,,2869.0,3283.0,,,,,1739.0,3860.0,3871.0,3546.0,3522.0,3361.0,3143.0,3337.0,3108.0,2702.0,1952.0,697.0,111.0,1116.0,2301.0,,,,,,
2,2021-05-10,2123,梦网科技,-2.06,57.0,30.0,13.63,13.85,13.3,13.32,61687.0,1.09,4.04,8319.39,20.31,37009.0,24678.0,1.5,0.15,-3.83,-1.95,2245.0,27.0,0.99,  -1652万,-0.19,-19.85, -630.2万, -629.7万, -464.7万,   73.0万,2245.0,0.002,28.429000000000002,-1.99,-4.29,-5.15,-6.37,-8.12,-4.54,-42.29,-2.2,3596.0,1688.0,2210.0,1751.0,1753.0,1761.0,1786.0,1978.0,1492.0,1558.0,1750.0,2325.0,1828.0,2121.0,828.0,4113.0,3916.0,3505.0,1625.0,2473.0,3484.0,,3209.0,3423.0,,,,,1625.0,4081.0,4000.0,3595.0,3845.0,3641.0,3269.0,3300.0,3482.0,2853.0,2187.0,757.0,394.0,1002.0,1279.0,,,,,,
3,2021-05-11,2123,梦网科技,2.03,6.0,20.0,13.29,13.7,13.27,13.59,52521.0,0.93,3.23,7093.18,23.26,17901.0,34620.0,0.52,2.41,-0.8,1.68,1949.0,27.0,0.84,   2266万,0.25,31.95,  187.0万,  521.6万,  974.4万,  583.1万,1949.0,0.024,34.815,1.41,-2.25,-2.3,-8.1,-5.05,-2.93,-41.36,-0.89,850.0,3169.0,2470.0,1784.0,1775.0,1766.0,1763.0,2160.0,1932.0,2209.0,1914.0,2237.0,2572.0,1816.0,4188.0,1723.0,1931.0,836.0,1862.0,2434.0,3662.0,,484.0,76.0,,,,,1862.0,4013.0,3757.0,851.0,3405.0,3496.0,3504.0,3002.0,3454.0,2791.0,2035.0,561.0,214.0,1100.0,1637.0,,,,,,
4,2021-05-12,2123,梦网科技,10.01,192.0,1.0,13.55,14.95,13.55,14.95,311861.0,5.28,10.3,46239.45,17.89,147250.0,164611.0,0.89,10.33,0.0,9.31,3331.0,94.0,5.0,   2533万,0.25,5.48,  -3630万,   3207万,   2358万,  597.5万,3331.0,0.426,56.075,9.58,8.96,6.09,1.5,2.0,8.86,-35.33,8.26,50.0,837.0,4007.0,1765.0,1652.0,1748.0,1640.0,507.0,16.0,160.0,385.0,2259.0,532.0,483.0,2782.0,81.0,1.0,69.0,760.0,697.0,853.0,,651.0,1515.0,,,,,760.0,1739.0,1291.0,47.0,243.0,1154.0,1920.0,1511.0,2786.0,2488.0,1280.0,1883.0,0.0,561.0,3046.0,,,,,,
5,2021-05-13,2123,梦网科技,-3.14,33.0,600.0,14.67,14.95,14.46,14.48,222696.0,1.97,3.28,32701.67,596.34,126700.0,95996.0,1.32,0.14,-3.14,-2.1,3135.0,71.0,3.57,  -4470万,-0.46,-13.67,   62.1万,  -3226万,  -1221万,  -85.7万,3135.0,0.226,50.005,-2.12,8.7,4.7,-1.09,1.42,13.12,-35.12,5.95,3850.0,2074.0,434.0,1661.0,1670.0,1664.0,1683.0,745.0,291.0,1919.0,567.0,314.0,694.0,823.0,1349.0,3937.0,3460.0,3841.0,893.0,1057.0,1247.0,,3743.0,2912.0,,,,,893.0,2511.0,1868.0,3846.0,237.0,1080.0,2583.0,1604.0,2540.0,2541.0,1486.0,1009.0,298.0,761.0,1347.0,,,,,,
6,2021-05-14,2123,梦网科技,-0.55,5.0,8.0,14.6,14.65,14.14,14.4,126381.0,0.89,3.52,18110.18,157.68,69343.0,57038.0,1.22,1.84,-1.71,-2.64,3140.0,40.0,2.03,  -1747万,-0.18,-9.64, -194.9万, -717.2万, -836.0万,    1.4万,3140.0,0.204,49.032,-2.91,4.22,3.59,-0.26,-2.27,5.0,-40.71,3.13,3612.0,3422.0,3047.0,1675.0,1705.0,1698.0,1707.0,1336.0,2604.0,1663.0,1078.0,712.0,1214.0,1435.0,1014.0,1897.0,3126.0,3663.0,989.0,1956.0,2367.0,,3388.0,3228.0,,,,,990.0,3009.0,2430.0,3613.0,492.0,830.0,2436.0,2125.0,3280.0,2731.0,1623.0,112.0,22.0,2161.0,2655.0,,,,,,
7,2021-05-17,2123,梦网科技,-1.32,1.0,211.0,14.28,14.45,14.08,14.21,98727.0,0.64,2.57,14041.01,78.11,65215.0,33512.0,1.95,0.92,-1.66,-3.06,2637.0,37.0,1.58,  -4496万,-0.48,-32.02, -613.9万,  -1377万,  -1789万, -716.1万,2637.0,0.134,46.708,-2.78,-7.73,2.82,-2.74,-6.71,3.36,-45.6,0.36,2413.0,4050.0,974.0,1717.0,1731.0,1711.0,1715.0,1574.0,3818.0,2925.0,1339.0,1482.0,1359.0,1845.0,428.0,2028.0,1687.0,2694.0,1390.0,2085.0,2949.0,,3577.0,3839.0,,,,,1392.0,3165.0,2488.0,2416.0,3847.0,599.0,2616.0,2557.0,3311.0,2755.0,1640.0,623.0,126.0,1024.0,1894.0,,,,,,
8,2021-05-19,2123,梦网科技,-0.56,233.0,5.0,14.31,14.34,14.06,14.16,69807.0,0.41,1.97,9906.63,72.57,36388.0,33419.0,1.09,0.71,-1.26,-0.8,2164.0,32.0,1.12, -415.5万,-0.04,-4.19,  319.4万, -134.3万, -798.1万,  197.6万,2164.0,0.112,46.076,-0.27,-2.87,-7.82,-1.93,-6.56,0.64,-40.49,0.26,2218.0,775.0,3364.0,1716.0,1732.0,1725.0,1730.0,1734.0,4182.0,2969.0,1518.0,1217.0,1785.0,1621.0,2754.0,2479.0,1897.0,2616.0,1557.0,2147.0,3064.0,,1533.0,1513.0,,,,,1557.0,3329.0,2543.0,2223.0,2576.0,3820.0,2945.0,2259.0,3413.0,2573.0,1694.0,520.0,560.0,1216.0,1022.0,,,,,,
9,2021-05-20,2123,梦网科技,1.77,6.0,136.0,14.03,14.72,14.03,14.41,119272.0,0.99,4.87,17188.63,66.08,55927.0,63345.0,0.88,2.71,-2.11,1.42,2846.0,42.0,1.91,   1067万,0.11,6.21,  243.4万,  145.8万,  277.8万,  400.5万,2846.0,0.235,49.863,1.49,1.38,-4.36,0.38,-3.12,2.04,-38.01,1.74,644.0,3291.0,1109.0,1746.0,1694.0,1718.0,1700.0,1270.0,1605.0,874.0,1069.0,1388.0,1394.0,1134.0,3524.0,817.0,2900.0,707.0,1083.0,1795.0,2251.0,,656.0,771.0,,,,,1084.0,2492.0,1847.0,644.0,1178.0,2237.0,1420.0,1785.0,3126.0,2411.0,1513.0,251.0,1022.0,1603.0,688.0,,,,,,
