,日期,代码,名称,涨幅%,开买量,开卖量,开盘,最高,最低,收盘,总量,量比,振幅%,总金额,开盘金额,内盘,外盘,内外比,攻击波%,回头波%,强弱度%,活跃度,笔均量,换手Z,当日___净流入,净买率%,当日___相对流量%,当日___超大单,当日___大单,当日___中单,当日___小单,BS,WIN,RSI1,今日强,3日强,5日强,10日强,20日强,60日强,一年来,年初至今,涨幅%Rank,开买量Rank,开卖量Rank,开盘Rank,最高Rank,最低Rank,收盘Rank,总量Rank,量比Rank,振幅%Rank,总金额Rank,开盘金额Rank,内盘Rank,外盘Rank,内外比Rank,攻击波%Rank,回头波%Rank,强弱度%Rank,活跃度Rank,笔均量Rank,换手ZRank,当日___净流入Rank,净买率%Rank,当日___相对流量%Rank,当日___超大单Rank,当日___大单Rank,当日___中单Rank,当日___小单Rank,BSRank,WINRank,RSI1Rank,今日强Rank,3日强Rank,5日强Rank,10日强Rank,20日强Rank,60日强Rank,一年来Rank,年初至今Rank,买量,卖量,买量Rank,卖量Rank,代码.1,名称.1,代码.1Rank,名称.1Rank
0,2021-05-06,600112,*ST天成,-3.05,4478.0,1098.0,1.24,1.34,1.24,1.27,134623.0,0.94,7.63,1721.8,187.5,74133.0,60490.0,1.23,2.42,-5.22,-2.89,760.0,177.0,3.2, -169.3万,-0.26,-9.83,0,  -60.5万,  -81.3万,  -27.4万,760.0,0.16899999999999998,40.026,-1.84,-8.15,-7.65,-11.9,-15.59,14.92,-36.65,9.6,3862.0,79.0,240.0,4262.0,4261.0,4262.0,4262.0,1052.0,1750.0,371.0,3428.0,764.0,990.0,1106.0,1462.0,1238.0,4058.0,3956.0,3450.0,236.0,1311.0,,3527.0,2742.0,,,,,3444.0,2497.0,3009.0,3860.0,4077.0,3718.0,3776.0,4020.0,1360.0,2490.0,1060.0,,,,,,,,
1,2021-05-07,600112,*ST天成,4.72,676.0,154.0,1.28,1.33,1.27,1.33,114148.0,0.79,4.72,1508.86,,65991.0,48157.0,1.37,4.72,0.0,5.38,520.0,220.0,2.71, -239.6万,-0.35,-15.88,  104.3万,  -79.2万,  -64.1万, -200.6万,520.0,0.33,45.964,6.01,1.05,1.86,-5.28,-9.11,22.44,-30.55,15.89,213.0,330.0,914.0,4262.0,4262.0,4262.0,4262.0,1264.0,2652.0,1174.0,3624.0,,1137.0,1383.0,,,,271.0,3879.0,183.0,,,3434.0,2912.0,,,,,3879.0,1718.0,2057.0,211.0,2687.0,1730.0,2972.0,3571.0,890.0,2218.0,786.0,2938.0,0.0,337.0,4170.0,,,,
2,2021-05-10,600112,*ST天成,0.0,6.0,595.0,1.34,1.36,1.28,1.33,121170.0,0.81,6.02,1606.96,90.31,66281.0,54889.0,1.21,3.91,-2.21,-0.27,659.0,184.0,2.88, -145.4万,-0.21,-9.05,0, -187.3万,  -43.5万,   85.4万,659.0,0.343,45.964,0.07,4.08,-2.52,-1.54,-9.15,30.16,-32.29,15.96,2209.0,3234.0,480.0,4262.0,4262.0,4262.0,4263.0,1213.0,2675.0,640.0,3595.0,1138.0,1161.0,1275.0,1669.0,740.0,3076.0,2421.0,3638.0,247.0,1553.0,,3304.0,2549.0,,,,,3638.0,1776.0,2120.0,2208.0,1579.0,3164.0,2265.0,3441.0,652.0,2352.0,830.0,2915.0,173.0,379.0,1703.0,,,,
3,2021-05-11,600112,*ST天成,1.5,473.0,810.0,1.32,1.36,1.3,1.35,115000.0,0.86,4.51,1526.55,6.38,69175.0,45825.0,1.51,3.85,-0.74,1.1,612.0,188.0,2.73, -305.5万,-0.44,-20.01,0, -186.8万, -150.5万,   31.8万,612.0,0.439,47.957,0.89,7.05,2.0,0.57,-5.79,37.0,-31.66,17.06,1172.0,482.0,358.0,4265.0,4266.0,4266.0,4265.0,1286.0,2278.0,1293.0,3611.0,3141.0,1107.0,1478.0,436.0,768.0,1822.0,1192.0,3728.0,253.0,1582.0,,3871.0,3807.0,,,,,3728.0,1527.0,2020.0,1168.0,402.0,2316.0,1613.0,3105.0,464.0,2289.0,763.0,876.0,1997.0,850.0,500.0,,,,
4,2021-05-12,600112,*ST天成,5.19,1037.0,622.0,1.35,1.42,1.33,1.42,105418.0,0.86,6.67,1473.23,2.69,41107.0,64311.0,0.64,6.77,0.0,4.58,634.0,166.0,2.51,  321.8万,0.45,21.85,   90.4万,  -12.4万,  285.8万,  -41.9万,634.0,0.648,54.307,4.76,5.8,9.94,7.74,-1.57,45.71,-25.22,22.53,253.0,253.0,351.0,4271.0,4271.0,4271.0,4269.0,1331.0,2075.0,517.0,3645.0,3492.0,1594.0,1122.0,3942.0,262.0,1.0,247.0,3719.0,279.0,1663.0,,358.0,328.0,,,,,3719.0,1069.0,1482.0,249.0,465.0,548.0,803.0,2104.0,378.0,1978.0,616.0,12002.0,0.0,129.0,3046.0,,,,
5,2021-05-13,600112,*ST天成,4.93,530.0,3207.0,1.46,1.49,1.43,1.49,70624.0,0.6,4.23,1044.49,54.02,45305.0,25319.0,1.79,4.2,0.0,5.89,305.0,232.0,1.68, -297.6万,-0.39,-28.5,0,  -88.9万,  -51.3万, -157.5万,305.0,0.7759999999999999,59.613,5.95,12.02,18.67,9.63,7.06,57.94,-15.71,29.4,180.0,483.0,92.0,4277.0,4277.0,4277.0,4276.0,1848.0,3827.0,1219.0,3992.0,1669.0,1603.0,2119.0,347.0,375.0,1.0,183.0,4203.0,149.0,2494.0,,3644.0,3943.0,,,,,4203.0,596.0,793.0,176.0,129.0,100.0,594.0,955.0,242.0,1583.0,461.0,15049.0,0.0,71.0,3070.0,,,,
6,2021-05-14,600112,*ST天成,4.7,1221.0,1634.0,1.55,1.56,1.52,1.56,81902.0,0.78,2.68,1273.18,146.71,48731.0,33171.0,1.47,2.63,0.0,2.92,340.0,241.0,1.95, -243.1万,-0.31,-19.09,0,  -64.1万,  -57.3万, -121.7万,340.0,0.858,64.10300000000001,2.34,13.81,15.0,16.9,6.4,56.73,-7.86,33.02,380.0,225.0,164.0,4271.0,4272.0,4273.0,4270.0,1765.0,3152.0,2365.0,3931.0,756.0,1568.0,1995.0,385.0,1196.0,1.0,354.0,4194.0,142.0,2442.0,,3696.0,3897.0,,,,,4194.0,425.0,561.0,380.0,88.0,127.0,235.0,959.0,268.0,1255.0,368.0,14982.0,0.0,116.0,3100.0,,,,
7,2021-05-17,600112,*ST天成,-5.13,1161.0,1690.0,1.61,1.61,1.48,1.48,125558.0,1.27,8.33,1901.85,106.9,66497.0,59061.0,1.13,0.0,-8.07,-5.91,590.0,213.0,2.99, -109.2万,-0.14,-5.74,0,   40.6万, -287.2万,  137.5万,590.0,0.732,56.38800000000001,-6.58,1.44,7.42,4.43,3.93,56.82,-16.89,24.87,4095.0,250.0,189.0,4268.0,4269.0,4272.0,4274.0,1316.0,1229.0,318.0,3622.0,1225.0,1342.0,1284.0,2507.0,3918.0,4202.0,3934.0,3940.0,130.0,1670.0,,2229.0,1736.0,,,,,3940.0,701.0,1063.0,4093.0,553.0,263.0,848.0,957.0,225.0,1396.0,493.0,0.0,38356.0,3257.0,54.0,,,,
8,2021-05-19,600112,*ST天成,5.16,952.0,2060.0,1.54,1.63,1.52,1.63,220377.0,1.89,7.1,3547.62,58.41,109206.0,111171.0,0.98,7.24,0.0,5.67,1285.0,171.0,5.24,   29.8万,0.04,0.84,  -17.7万,  -63.4万,  148.9万,  -38.0万,1285.0,0.9079999999999999,65.194,5.46,3.28,12.26,23.48,12.28,91.45,1.76,37.72,187.0,250.0,132.0,4266.0,4263.0,4267.0,4259.0,675.0,269.0,349.0,2694.0,1356.0,726.0,628.0,3209.0,137.0,1.0,162.0,2552.0,228.0,771.0,,877.0,1076.0,,,,,2552.0,317.0,416.0,186.0,497.0,145.0,112.0,443.0,65.0,949.0,306.0,4081.0,0.0,275.0,3081.0,,,,
9,2021-05-20,600112,*ST天成,-4.91,855.0,775.0,1.64,1.65,1.55,1.55,158722.0,1.13,6.13,2492.73,50.05,92531.0,66191.0,1.4,0.0,-6.06,-4.79,961.0,165.0,3.77, -414.7万,-0.53,-16.64,0, -212.8万, -323.9万,  122.0万,961.0,0.794,58.21,-5.18,4.7,0.15,19.57,4.94,73.41,2.53,30.73,4111.0,322.0,342.0,4270.0,4270.0,4273.0,4277.0,1020.0,1159.0,513.0,3153.0,1571.0,939.0,1095.0,1433.0,4099.0,4194.0,4085.0,3193.0,274.0,1232.0,,3792.0,2855.0,,,,,3193.0,548.0,898.0,4109.0,481.0,951.0,120.0,822.0,93.0,902.0,386.0,0.0,23229.0,3420.0,28.0,,,,
