,日期,代码,名称,涨幅%,开买量,开卖量,开盘,最高,最低,收盘,总量,量比,振幅%,总金额,开盘金额,内盘,外盘,内外比,攻击波%,回头波%,强弱度%,活跃度,笔均量,换手Z,当日___净流入,净买率%,当日___相对流量%,当日___超大单,当日___大单,当日___中单,当日___小单,BS,WIN,RSI1,今日强,3日强,5日强,10日强,20日强,60日强,一年来,年初至今,涨幅%Rank,开买量Rank,开卖量Rank,开盘Rank,最高Rank,最低Rank,收盘Rank,总量Rank,量比Rank,振幅%Rank,总金额Rank,开盘金额Rank,内盘Rank,外盘Rank,内外比Rank,攻击波%Rank,回头波%Rank,强弱度%Rank,活跃度Rank,笔均量Rank,换手ZRank,当日___净流入Rank,净买率%Rank,当日___相对流量%Rank,当日___超大单Rank,当日___大单Rank,当日___中单Rank,当日___小单Rank,BSRank,WINRank,RSI1Rank,今日强Rank,3日强Rank,5日强Rank,10日强Rank,20日强Rank,60日强Rank,一年来Rank,年初至今Rank,买量,卖量,买量Rank,卖量Rank,代码.1,名称.1,代码.1Rank,名称.1Rank,竞价量,竞价量Rank
0,2021-05-06,603717,天域生态,-0.5,11.0,4.0,10.0,10.0,9.86,9.9,9384.0,0.36,1.41,929.97,0.8,6459.0,2925.0,2.21,0.41,-1.0,-0.34,606.0,15.0,0.78, -349.5万,-0.15,-37.58,0,0,  -61.5万, -288.0万,606.0,0.82,53.28,0.71,-0.55,-1.18,-1.28,10.62,16.55,2.82,19.35,2872.0,2848.0,3495.0,2239.0,2271.0,2236.0,2260.0,3739.0,4159.0,3988.0,3968.0,4012.0,3536.0,3967.0,77.0,3599.0,1426.0,3254.0,3706.0,3264.0,3726.0,,3059.0,4187.0,,,,,3700.0,513.0,1313.0,2876.0,2553.0,2163.0,1668.0,784.0,1207.0,983.0,635.0,,,,,,,,,,
1,2021-05-07,603717,天域生态,-3.54,209.0,34.0,9.92,9.94,9.49,9.55,30210.0,1.5,4.55,2919.56,,14709.0,15501.0,0.95,0.63,-3.92,-2.88,1189.0,25.0,2.5,   77.8万,0.03,2.67,0,  196.9万,  -40.0万,  -79.1万,1189.0,0.742,40.355,-2.25,-1.72,-3.12,-3.82,4.84,12.84,-0.6,16.48,3717.0,789.0,1940.0,2260.0,2279.0,2293.0,2307.0,2731.0,574.0,1264.0,2946.0,,2856.0,2560.0,,,,3885.0,2829.0,2528.0,,,1140.0,1206.0,,,,,2829.0,607.0,2943.0,3714.0,3527.0,3260.0,2616.0,1303.0,1751.0,1056.0,764.0,50.0,133.0,3011.0,2168.0,,,,,,
2,2021-05-10,603717,天域生态,2.3,45.0,7.0,9.6,9.84,9.3,9.77,22287.0,1.06,5.65,2150.09,0.29,9761.0,12526.0,0.78,5.05,-0.71,2.04,1005.0,22.0,1.84,  271.7万,0.12,12.64,0,  158.6万,    5.3万,  107.8万,1005.0,0.804,48.768,2.38,0.75,-0.5,-1.66,2.28,16.26,3.79,19.14,877.0,1887.0,3269.0,2307.0,2300.0,2324.0,2282.0,3085.0,1580.0,766.0,3289.0,4031.0,3263.0,2873.0,3656.0,469.0,1312.0,962.0,3092.0,2771.0,2376.0,,932.0,588.0,,,,,3092.0,585.0,1793.0,873.0,2803.0,2627.0,2298.0,1569.0,1573.0,984.0,700.0,2.0,14.0,3118.0,2621.0,,,,,,
3,2021-05-11,603717,天域生态,4.09,9.0,8.0,9.76,10.28,9.72,10.17,31906.0,1.41,5.73,3241.39,7.03,11027.0,20879.0,0.53,4.63,-1.07,3.69,1144.0,28.0,2.64,   1007万,0.41,31.05,0,  413.4万,  302.4万,  290.8万,1144.0,0.983,59.855,3.48,3.48,3.93,1.79,3.44,20.43,8.33,23.26,306.0,2940.0,3179.0,2276.0,2230.0,2264.0,2225.0,2699.0,626.0,746.0,2827.0,3098.0,3079.0,2380.0,4183.0,506.0,2346.0,309.0,2844.0,2391.0,1621.0,,283.0,83.0,,,,,2844.0,82.0,739.0,303.0,1057.0,1590.0,1359.0,1466.0,1303.0,872.0,560.0,95.0,149.0,2088.0,1810.0,,,,,,
4,2021-05-12,603717,天域生态,-1.18,19.0,77.0,10.18,10.19,10.02,10.05,13156.0,0.55,1.67,1323.79,24.13,7844.0,5312.0,1.48,0.3,-1.37,-1.79,873.0,15.0,1.09, -253.8万,-0.1,-19.18,0,0,  -21.7万, -232.2万,873.0,0.87,55.943999999999996,-1.61,4.26,2.55,1.28,0.32,19.39,6.44,21.43,3810.0,2375.0,1405.0,2224.0,2256.0,2232.0,2263.0,3491.0,3843.0,3594.0,3740.0,1995.0,3344.0,3607.0,450.0,4216.0,3203.0,3782.0,3305.0,3216.0,3190.0,,3094.0,3814.0,,,,,3305.0,473.0,1309.0,3806.0,676.0,2313.0,1974.0,1763.0,1632.0,944.0,658.0,4.0,25.0,3092.0,2550.0,,,,,,
5,2021-05-13,603717,天域生态,-0.3,38.0,28.0,10.05,10.1,9.96,10.02,12379.0,0.58,1.39,1240.5,5.93,5966.0,6413.0,0.93,0.6,-0.79,0.66,636.0,19.0,1.02,   48.2万,0.02,3.89,0,  358.4万, -122.0万, -188.2万,636.0,0.848,54.976000000000006,0.72,2.55,2.56,1.36,-1.8,21.91,8.6,22.07,1796.0,1989.0,2347.0,2262.0,2287.0,2257.0,2269.0,3587.0,3909.0,3974.0,3876.0,3429.0,3660.0,3467.0,3186.0,2673.0,658.0,1846.0,3772.0,2956.0,3395.0,,1181.0,1062.0,,,,,3772.0,406.0,1277.0,1798.0,1170.0,1869.0,1960.0,2166.0,1600.0,905.0,648.0,46.0,222.0,2451.0,1519.0,,,,,,
6,2021-05-14,603717,天域生态,0.0,2.0,127.0,10.04,10.14,9.98,10.02,12745.0,0.58,1.6,1277.08,6.63,4677.0,8068.0,0.58,0.4,-1.18,-1.77,572.0,22.0,1.05,  341.1万,0.14,26.71,  366.0万,0,   32.2万,  -57.1万,572.0,0.8440000000000001,54.976000000000006,-2.36,-3.22,2.63,-0.69,-4.06,21.38,5.53,19.81,3195.0,3816.0,1022.0,2271.0,2289.0,2261.0,2290.0,3624.0,4002.0,3656.0,3928.0,3092.0,3815.0,3428.0,4109.0,4059.0,2595.0,3045.0,3919.0,2811.0,3573.0,,1033.0,160.0,,,,,3919.0,459.0,1556.0,3195.0,3640.0,1023.0,2554.0,2500.0,1694.0,936.0,685.0,50.0,3.0,2483.0,2991.0,,,,,,
7,2021-05-17,603717,天域生态,-0.2,12.0,33.0,10.02,10.11,9.79,10.0,16714.0,0.9,3.19,1669.09,5.21,10068.0,6646.0,1.51,2.15,-1.09,-0.98,1039.0,16.0,1.38, -339.3万,-0.14,-20.33,0,  -64.5万,   42.8万, -317.6万,1039.0,0.8340000000000001,54.25100000000001,-1.66,-3.28,-1.5,-1.98,-5.87,22.58,2.62,18.15,1479.0,2893.0,2209.0,2289.0,2299.0,2295.0,2273.0,3489.0,2767.0,2276.0,3735.0,3663.0,3420.0,3508.0,1195.0,1049.0,915.0,1221.0,3235.0,3290.0,3203.0,,2229.0,3087.0,,,,,3235.0,443.0,1325.0,1477.0,2203.0,1535.0,2385.0,2374.0,1340.0,907.0,666.0,101.0,33.0,2082.0,2471.0,,,,,,
8,2021-05-19,603717,天域生态,0.5,13.0,10.0,10.0,10.04,9.86,9.99,21147.0,1.44,1.81,2111.02,0.1,6680.0,14467.0,0.46,1.32,-0.5,1.01,920.0,23.0,1.75,  778.5万,0.32,36.88,0,   94.1万,   68.7万,  615.8万,920.0,0.826,53.731,0.8,-1.51,-3.13,-0.55,-4.65,20.36,2.79,18.28,1199.0,2685.0,2903.0,2287.0,2312.0,2288.0,2294.0,3069.0,507.0,3197.0,3255.0,3995.0,3583.0,2549.0,4266.0,1644.0,595.0,982.0,3180.0,2670.0,2286.0,,332.0,14.0,,,,,3180.0,520.0,1453.0,1196.0,1712.0,2275.0,2526.0,1908.0,1370.0,927.0,694.0,65.0,192.0,2361.0,1646.0,,,,,,
9,2021-05-20,603717,天域生态,0.0,12.0,7.0,9.99,10.09,9.95,9.99,16282.0,1.0,1.4,1630.71,0.5,7506.0,8776.0,0.86,0.4,-0.99,0.11,687.0,24.0,1.35,  129.2万,0.05,7.92,0,  151.0万,   93.8万, -115.7万,687.0,0.8220000000000001,53.731,-0.27,-0.13,-4.17,-1.57,-2.85,19.79,2.11,18.01,1538.0,2783.0,3189.0,2291.0,2299.0,2268.0,2289.0,3364.0,1556.0,3852.0,3607.0,3943.0,3522.0,3150.0,3585.0,3354.0,1344.0,1378.0,3661.0,2641.0,2870.0,,907.0,673.0,,,,,3661.0,481.0,1370.0,1536.0,1850.0,2159.0,1990.0,1720.0,1143.0,916.0,677.0,20.0,12.0,2753.0,2769.0,,,,,,
