,日期,代码,名称,涨幅%,开买量,开卖量,开盘,最高,最低,收盘,总量,量比,振幅%,总金额,开盘金额,内盘,外盘,内外比,攻击波%,回头波%,强弱度%,活跃度,笔均量,换手Z,当日___净流入,净买率%,当日___相对流量%,当日___超大单,当日___大单,当日___中单,当日___小单,BS,WIN,RSI1,今日强,3日强,5日强,10日强,20日强,60日强,一年来,年初至今,涨幅%Rank,开买量Rank,开卖量Rank,开盘Rank,最高Rank,最低Rank,收盘Rank,总量Rank,量比Rank,振幅%Rank,总金额Rank,开盘金额Rank,内盘Rank,外盘Rank,内外比Rank,攻击波%Rank,回头波%Rank,强弱度%Rank,活跃度Rank,笔均量Rank,换手ZRank,当日___净流入Rank,净买率%Rank,当日___相对流量%Rank,当日___超大单Rank,当日___大单Rank,当日___中单Rank,当日___小单Rank,BSRank,WINRank,RSI1Rank,今日强Rank,3日强Rank,5日强Rank,10日强Rank,20日强Rank,60日强Rank,一年来Rank,年初至今Rank,买量,卖量,买量Rank,卖量Rank,代码.1,名称.1,代码.1Rank,名称.1Rank,竞价量,竞价量Rank
0,2021-05-06,2778,高科石化,-1.04,13.0,5.0,24.09,24.57,23.78,23.85,10269.0,0.7,3.28,2477.65,6.02,5613.0,4656.0,1.21,0.29,-2.93,0.54,854.0,12.0,2.01, -222.9万,-0.1,-8.99,0,   14.8万,  -75.3万, -162.4万,1734.0,0.002,26.714000000000002,0.18,-0.6,2.9,1.96,11.9,12.96,-23.31,2.8,3163.0,2751.0,3357.0,997.0,1000.0,991.0,1003.0,3676.0,2825.0,2122.0,3075.0,3404.0,3650.0,3682.0,1540.0,3779.0,3488.0,2720.0,3274.0,3556.0,2070.0,,2716.0,2666.0,,,,,2003.0,4131.0,4119.0,3158.0,2576.0,955.0,1094.0,689.0,1541.0,1786.0,1551.0,,,,,,,,,,
1,2021-05-07,2778,高科石化,2.77,4.0,1.0,23.55,24.8,23.55,24.51,21319.0,1.51,5.24,5178.73,,8859.0,12460.0,0.71,4.08,-1.17,4.72,1122.0,19.0,4.18,  886.8万,0.41,17.12,  415.9万,  344.6万,   81.9万,   44.5万,1122.0,0.732,60.288,4.05,6.07,1.9,7.46,13.81,18.94,-26.88,6.81,439.0,3471.0,3954.0,1025.0,988.0,999.0,963.0,3096.0,564.0,948.0,2267.0,,3347.0,2795.0,,,,360.0,2934.0,2909.0,,,243.0,315.0,,,,,2934.0,640.0,601.0,441.0,781.0,1728.0,591.0,505.0,1130.0,2019.0,1305.0,37.0,44.0,3195.0,2899.0,,,,,,
2,2021-05-10,2778,高科石化,4.12,54.0,82.0,25.0,25.64,24.66,25.52,21398.0,1.56,4.0,5402.32,36.25,6628.0,14770.0,0.45,3.49,-0.47,4.23,1224.0,17.0,4.19,   2062万,0.91,38.18,0,  827.5万,  754.8万,  480.2万,1224.0,0.833,66.094,4.19,8.45,7.63,10.54,16.98,22.72,-20.37,11.11,469.0,1730.0,1522.0,948.0,945.0,935.0,920.0,3131.0,549.0,1583.0,2236.0,1832.0,3579.0,2691.0,4233.0,864.0,925.0,449.0,2772.0,3126.0,1008.0,,135.0,33.0,,,,,2772.0,525.0,396.0,468.0,620.0,713.0,524.0,394.0,1031.0,1743.0,1088.0,8.0,21.0,2921.0,2512.0,,,,,,
3,2021-05-11,2778,高科石化,-0.27,16.0,1.0,25.5,25.86,25.08,25.45,15519.0,1.04,3.06,3955.96,29.58,9610.0,5909.0,1.63,1.48,-1.59,-0.63,1093.0,14.0,3.04, -934.4万,-0.41,-23.62,0, -694.5万, -195.7万,  -44.1万,1093.0,0.821,65.381,-0.89,7.46,9.49,6.68,16.95,23.53,-21.43,10.23,2830.0,2500.0,4011.0,920.0,927.0,916.0,923.0,3339.0,1494.0,2355.0,2578.0,2069.0,3177.0,3512.0,262.0,2941.0,2937.0,2813.0,2920.0,3360.0,1416.0,,3834.0,3985.0,,,,,2921.0,478.0,385.0,2831.0,357.0,510.0,703.0,382.0,1050.0,1773.0,1095.0,47.0,37.0,2417.0,2409.0,,,,,,
4,2021-05-12,2778,高科石化,0.24,1.0,49.0,25.44,25.63,25.0,25.51,7863.0,0.5,2.48,1989.19,4.07,4176.0,3687.0,1.13,2.04,-0.47,-0.47,906.0,9.0,1.54, -119.9万,-0.05,-6.03,0,0, -138.4万,   18.5万,906.0,0.83,65.722,-0.19,3.11,7.39,7.36,10.35,23.96,-22.19,10.07,2627.0,3965.0,1742.0,922.0,934.0,927.0,932.0,3832.0,4008.0,2630.0,3368.0,3300.0,3804.0,3828.0,1512.0,2139.0,1691.0,2697.0,3235.0,3809.0,2522.0,,2655.0,2746.0,,,,,3235.0,574.0,446.0,2626.0,910.0,863.0,847.0,695.0,1246.0,1820.0,1156.0,1.0,34.0,3219.0,2468.0,,,,,,
5,2021-05-13,2778,高科石化,-0.24,6.0,10.0,25.48,25.82,25.1,25.45,8348.0,0.54,2.82,2125.72,0.51,4652.0,3696.0,1.26,1.39,-1.43,0.81,881.0,9.0,1.64, -241.5万,-0.11,-11.36,0, -102.7万, -145.2万,    6.4万,881.0,0.818,65.031,0.79,-0.29,8.06,11.12,10.95,26.93,-19.81,10.81,1722.0,3246.0,3045.0,927.0,941.0,928.0,936.0,3823.0,4042.0,2339.0,3386.0,4027.0,3809.0,3827.0,1582.0,1516.0,1614.0,1687.0,3328.0,3853.0,2536.0,,2523.0,2676.0,,,,,3328.0,491.0,432.0,1711.0,2768.0,494.0,494.0,692.0,1147.0,1757.0,1149.0,14.0,32.0,2812.0,2394.0,,,,,,
6,2021-05-14,2778,高科石化,-0.12,25.0,6.0,25.1,25.59,25.01,25.42,7599.0,0.51,2.28,1926.1,0.0,3958.0,3641.0,1.09,1.64,-0.66,-2.21,986.0,8.0,1.49,  -76.0万,-0.03,-3.95,0,0,  -81.7万,    5.7万,986.0,0.813,64.665,-2.47,-1.86,1.42,3.36,14.5,28.06,-23.4,8.43,3363.0,2357.0,3193.0,946.0,952.0,936.0,946.0,3944.0,4165.0,2843.0,3588.0,3999.0,3911.0,3962.0,1570.0,2169.0,1756.0,3447.0,3200.0,3975.0,2984.0,,2479.0,2657.0,,,,,3200.0,557.0,523.0,3359.0,3112.0,1420.0,1466.0,477.0,1125.0,1846.0,1217.0,2.0,17.0,3235.0,2721.0,,,,,,
7,2021-05-17,2778,高科石化,-1.46,2.0,8.0,25.3,25.47,24.71,25.05,13510.0,1.1,2.99,3375.3,0.51,6213.0,7297.0,0.85,1.38,-1.65,-3.2,969.0,14.0,2.65,  269.7万,0.12,7.99,0,  275.8万,  160.1万, -166.3万,969.0,0.741,60.167,-2.91,-4.59,-5.7,1.93,8.73,26.81,-26.68,5.45,2541.0,3838.0,3216.0,950.0,968.0,951.0,958.0,3657.0,1797.0,2488.0,2962.0,4076.0,3783.0,3443.0,3686.0,1547.0,1674.0,2791.0,3362.0,3481.0,1886.0,,624.0,594.0,,,,,3362.0,669.0,712.0,2530.0,2971.0,3307.0,1271.0,619.0,1019.0,1796.0,1239.0,23.0,1.0,2649.0,3106.0,,,,,,
8,2021-05-19,2778,高科石化,0.86,1.0,34.0,25.53,25.95,25.3,25.74,12625.0,1.32,2.55,3239.21,0.26,6955.0,5670.0,1.23,1.74,-0.81,0.63,946.0,13.0,2.47, -324.2万,-0.14,-10.01,0, -232.9万, -125.5万,   34.3万,946.0,0.857,65.154,1.16,0.05,-1.63,5.85,6.56,26.96,-23.7,8.58,980.0,3979.0,2077.0,948.0,957.0,945.0,940.0,3533.0,631.0,2277.0,2787.0,3959.0,3542.0,3468.0,2197.0,1283.0,1080.0,1195.0,3129.0,3467.0,1728.0,,2532.0,2046.0,,,,,3129.0,431.0,418.0,977.0,1098.0,1616.0,877.0,685.0,892.0,1719.0,1089.0,22.0,8.0,2726.0,2815.0,,,,,,
9,2021-05-20,2778,高科石化,0.31,5.0,2.0,25.85,25.85,25.37,25.82,7600.0,0.72,1.86,1950.13,4.65,3377.0,4223.0,0.8,1.77,-0.12,-0.04,803.0,9.0,1.49,  217.3万,0.09,11.14,0,0,   67.8万,  149.4万,803.0,0.865,65.718,0.04,3.05,-2.42,5.78,7.87,26.14,-23.47,8.65,1320.0,3376.0,3790.0,937.0,954.0,936.0,936.0,3913.0,3027.0,3323.0,3443.0,3290.0,4011.0,3746.0,3789.0,1366.0,137.0,1534.0,3447.0,3886.0,2663.0,,735.0,495.0,,,,,3447.0,374.0,340.0,1314.0,758.0,1504.0,630.0,642.0,758.0,1697.0,1060.0,8.0,39.0,3012.0,2410.0,,,,,,
