,日期,代码,名称,涨幅%,开买量,开卖量,买量,卖量,开盘,最高,最低,收盘,总量,量比,振幅%,总金额,开盘金额,内盘,外盘,内外比,攻击波%,回头波%,强弱度%,活跃度,笔均量,换手Z,当日___净流入,净买率%,当日___相对流量%,当日___超大单,当日___大单,当日___中单,当日___小单,BS,WIN,RSI1,今日强,3日强,5日强,10日强,20日强,60日强,一年来,年初至今,涨幅%Rank,开买量Rank,开卖量Rank,买量Rank,卖量Rank,开盘Rank,最高Rank,最低Rank,收盘Rank,总量Rank,量比Rank,振幅%Rank,总金额Rank,开盘金额Rank,内盘Rank,外盘Rank,内外比Rank,攻击波%Rank,回头波%Rank,强弱度%Rank,活跃度Rank,笔均量Rank,换手ZRank,当日___净流入Rank,净买率%Rank,当日___相对流量%Rank,当日___超大单Rank,当日___大单Rank,当日___中单Rank,当日___小单Rank,BSRank,WINRank,RSI1Rank,今日强Rank,3日强Rank,5日强Rank,10日强Rank,20日强Rank,60日强Rank,一年来Rank,年初至今Rank,代码.1,名称.1,代码.1Rank,名称.1Rank,竞价量,竞价量Rank
0,2021-05-13,605488,N福莱,44.0,31275.0,0.0,38548.0,0.0,24.52,29.42,24.52,29.42,2645.0,0.0,23.98,775.8,12.51,2226.0,419.0,5.31,19.98,0.0,44.96,256.0,10.0,0.88, -531.0万,-0.6,-68.45,0,0,  -41.2万, -489.8万,256.0,1.0,,,,,,,,,,4.0,25.0,4250.0,30.0,3070.0,959.0,808.0,952.0,788.0,4233.0,4278.0,5.0,4125.0,2946.0,4150.0,4277.0,15.0,7.0,1.0,4.0,4227.0,3746.0,3615.0,,3880.0,4267.0,,,,,4227.0,1.0,,,,,,,,,,,,,,,
1,2021-05-14,605488,福莱新材,9.99,58608.0,0.0,30849.0,0.0,32.36,32.36,32.36,32.36,2551.0,0.97,0.0,825.41,203.49,2235.0,316.0,7.07,0.0,0.0,8.22,188.0,14.0,0.85, -620.6万,-0.64,-75.19,0,  -82.5万, -134.3万, -403.8万,188.0,1.0,100.0,7.64,,,,,,,,72.0,14.0,4247.0,53.0,3100.0,697.0,730.0,686.0,716.0,4242.0,2217.0,4264.0,4143.0,574.0,4143.0,4277.0,7.0,4238.0,1.0,55.0,4260.0,3447.0,3849.0,,4022.0,4272.0,,,,,4260.0,1.0,1.0,64.0,,,,,,,,,,,,,
2,2021-05-17,605488,福莱新材,10.01,241.0,774.0,22271.0,0.0,35.6,35.6,33.33,35.6,57142.0,21.64,7.01,20202.43,4671.08,34342.0,22800.0,1.51,6.81,0.0,9.23,1122.0,51.0,19.05,  -4059万,-3.8,-20.09,  356.1万, -307.0万,  -1431万,  -2677万,1122.0,1.0,100.0,8.56,,,,,,,,23.0,843.0,379.0,40.0,3172.0,620.0,646.0,667.0,631.0,2212.0,1.0,463.0,993.0,23.0,2109.0,2307.0,1195.0,162.0,1.0,19.0,3106.0,1542.0,105.0,,4269.0,3067.0,,,,,3106.0,1.0,1.0,19.0,,,,,,,,,,,,,
3,2021-05-18,605488,福莱新材,10.0,1.0,9.0,3870.0,0.0,38.0,39.16,36.88,39.16,178820.0,8.56,6.4,68476.54,,71307.0,107513.0,0.66,6.18,0.0,9.68,3484.0,51.0,59.61,   1.40亿,11.92,20.45,   7122万,   5001万,   2630万, -747.9万,3484.0,1.0,100.0,9.95,29.21,,,,,,,52.0,3973.0,3025.0,278.0,3068.0,563.0,560.0,579.0,548.0,801.0,6.0,492.0,213.0,,1028.0,671.0,4041.0,254.0,1.0,67.0,634.0,1331.0,3.0,,1.0,234.0,,,,,634.0,1.0,1.0,49.0,9.0,,,,,,,,,,,,
4,2021-05-19,605488,福莱新材,-10.01,13.0,50.0,0.0,2049.0,37.0,37.84,35.24,35.24,128909.0,2.14,6.64,46567.64,2058.68,75155.0,53754.0,1.4,0.0,-6.87,-9.5,4270.0,30.0,42.97,  -7716万,-7.3,-16.57, -331.6万,  -3503万,  -3423万, -458.3万,4270.0,0.055,68.319,-9.71,7.69,,,,,,,4276.0,2685.0,1783.0,3293.0,395.0,594.0,589.0,626.0,640.0,1113.0,182.0,404.0,371.0,47.0,1048.0,1185.0,1637.0,4089.0,4243.0,4275.0,220.0,2246.0,12.0,,4278.0,2634.0,,,,,221.0,3810.0,262.0,4275.0,191.0,,,,,,,,,,,,
5,2021-05-20,605488,福莱新材,-6.95,17.0,158.0,287.0,120.0,33.52,34.2,32.62,32.79,95300.0,1.29,4.48,31658.73,758.56,51709.0,43591.0,1.19,0.52,-4.12,-6.84,4017.0,24.0,31.77,  -2675万,-2.72,-8.45,  -19.6万, -378.0万, -786.4万,  -1491万,4017.0,0.012,56.31100000000001,-7.23,-7.92,7.58,,,,,,4256.0,2592.0,1014.0,1535.0,1911.0,693.0,695.0,702.0,714.0,1462.0,801.0,1045.0,637.0,255.0,1468.0,1449.0,2190.0,3088.0,3935.0,4249.0,389.0,2641.0,37.0,,4263.0,2065.0,,,,,389.0,4139.0,1106.0,4254.0,4183.0,244.0,,,,,,,,,,,
6,2021-05-21,605488,福莱新材,0.67,81.0,3.0,219.0,52.0,32.79,34.3,32.11,33.01,75277.0,0.81,6.68,24967.58,157.35,40448.0,34829.0,1.16,2.8,-3.76,1.25,3495.0,22.0,25.09,  -1852万,-1.87,-7.42, -203.7万, -548.3万, -940.8万, -158.8万,3495.0,0.128,57.041,1.68,-14.67,1.55,,,,,,1369.0,1426.0,3632.0,1662.0,2216.0,711.0,685.0,715.0,700.0,1630.0,2025.0,393.0,724.0,676.0,1628.0,1652.0,2081.0,703.0,3872.0,1480.0,614.0,2734.0,61.0,,4229.0,2203.0,,,,,614.0,3142.0,973.0,1367.0,4284.0,940.0,,,,,,,,,,,
7,2021-05-24,605488,福莱新材,-4.42,6.0,2.0,195.0,3.0,32.41,32.47,31.21,31.55,60421.0,0.56,3.82,19126.28,113.12,34985.0,25436.0,1.38,1.09,-2.83,-4.73,3438.0,18.0,20.14,  -3007万,-3.18,-15.72,0,  -23.7万,  -1609万,  -1374万,3438.0,0.033,50.955,-4.84,-10.15,-10.81,,,,,,4180.0,3311.0,3796.0,1765.0,2960.0,719.0,734.0,732.0,745.0,1950.0,3858.0,1500.0,941.0,989.0,1802.0,2097.0,872.0,2643.0,3675.0,4173.0,689.0,3064.0,101.0,,4277.0,3402.0,,,,,689.0,4077.0,1935.0,4179.0,4247.0,4228.0,,,,,,,,,,,
8,2021-05-26,605488,福莱新材,1.89,3.0,3.0,335.0,53.0,31.09,32.18,30.81,31.77,49391.0,0.61,4.39,15647.3,87.36,23019.0,26372.0,0.87,3.12,-1.27,1.56,2897.0,17.0,16.46,   1083万,1.14,6.92,0,  402.2万,  895.4万, -215.0万,2897.0,0.341,51.853,1.85,-7.39,-12.71,,,,,,822.0,3656.0,3737.0,1894.0,3026.0,771.0,769.0,770.0,764.0,2363.0,3967.0,1022.0,1246.0,1183.0,2451.0,2241.0,3164.0,710.0,2292.0,1059.0,1173.0,3241.0,160.0,,98.0,1123.0,,,,,1173.0,2599.0,2245.0,821.0,4134.0,4249.0,,,,,,,,,,,
9,2021-05-27,605488,福莱新材,0.47,49.0,5.0,331.0,44.0,32.01,33.5,31.75,31.92,67519.0,1.03,5.51,22035.68,99.23,36318.0,31201.0,1.16,0.54,-4.72,0.04,3295.0,20.0,22.51,  -1635万,-1.71,-7.42,0, -542.5万, -996.9万,  -95.2万,3295.0,0.31,52.456,0.14,-2.37,-5.58,1.58,,,,,2024.0,1895.0,3387.0,1919.0,3184.0,749.0,739.0,751.0,763.0,2004.0,2009.0,652.0,946.0,1077.0,1947.0,2029.0,1532.0,3426.0,4186.0,1864.0,839.0,3067.0,90.0,,4244.0,2765.0,,,,,839.0,2990.0,2370.0,2021.0,2531.0,4003.0,877.0,,,,,,,,,,
10,2021-05-28,605488,福莱新材,1.19,2.0,1.0,162.0,23.0,31.52,32.9,30.71,32.3,60418.0,1.01,6.86,19218.83,174.94,32080.0,28338.0,1.13,5.18,-1.82,1.41,3126.0,19.0,20.14,  -1133万,-1.17,-5.9,0, -502.4万,  -94.9万, -535.8万,3126.0,0.4920000000000001,54.027,1.51,3.54,-5.79,-4.3,,,,,728.0,3849.0,4002.0,1947.0,2598.0,776.0,755.0,782.0,751.0,2160.0,2200.0,390.0,1106.0,848.0,2226.0,2044.0,2767.0,225.0,2080.0,735.0,986.0,3144.0,117.0,,4048.0,1506.0,,,,,986.0,1768.0,1791.0,723.0,780.0,3763.0,2413.0,,,,,,,,,,
11,2021-05-31,605488,福莱新材,-3.41,44.0,36.0,651.0,2.0,32.08,32.3,31.19,31.2,53668.0,0.94,3.44,16918.13,56.46,32900.0,20768.0,1.58,0.03,-3.41,-3.81,3110.0,17.0,17.89,  -3814万,-4.08,-22.55, -563.7万,  -1218万,  -1478万, -555.2万,3110.0,0.046,48.981,-3.6,-2.0,-4.52,-15.19,,,,,4242.0,2051.0,2079.0,1188.0,3005.0,754.0,775.0,765.0,807.0,2275.0,2166.0,1699.0,1247.0,1682.0,2084.0,2490.0,517.0,4243.0,4123.0,4222.0,1025.0,3306.0,148.0,,4303.0,3799.0,,,,,1025.0,4202.0,2913.0,4241.0,3629.0,3550.0,4251.0,,,,,,,,,,
12,2021-06-01,605488,福莱新材,0.77,11.0,2.0,149.0,85.0,30.88,31.66,30.71,31.44,38365.0,0.69,3.04,11991.75,188.99,19141.0,19224.0,1.0,2.38,-0.69,0.51,2591.0,15.0,12.79,   40.1万,0.04,0.33,0,  -25.7万,  484.2万, -418.5万,2591.0,0.242,50.077,0.58,-1.57,0.4,-22.68,,,,,,2949.0,3832.0,2070.0,2189.0,819.0,824.0,803.0,808.0,2763.0,,,1671.0,891.0,2759.0,2726.0,,,,,1519.0,,,,,,,,,,1519.0,3482.0,3005.0,1866.0,3611.0,2728.0,4295.0,,,,,605488.0,福莱新材,296.0,,,
13,2021-06-23,605488,福莱新材,-1.31,1.0,13.0,17.0,2.0,29.49,29.58,28.31,28.72,23718.0,1.05,4.36,6853.78,67.53,13931.0,9787.0,1.42,1.45,-2.91,-1.55,1838.0,13.0,7.91,  -1193万,-1.39,-17.41,0,  187.7万, -563.4万, -817.7万,1838.0,0.183,,-1.8,-0.46,-1.21,-3.12,-4.67,,,,3547.0,4080.0,2842.0,2953.0,3002.0,874.0,897.0,893.0,906.0,3275.0,1748.0,1157.0,2292.0,1416.0,3157.0,3329.0,1070.0,1927.0,3709.0,3146.0,2244.0,3660.0,617.0,,4192.0,3266.0,,,,,2244.0,3465.0,,3543.0,2754.0,3169.0,3628.0,3884.0,,,,,,,,,
