,日期,代码,名称,涨幅%,开买量,开卖量,开盘,最高,最低,收盘,总量,量比,振幅%,总金额,开盘金额,内盘,外盘,内外比,攻击波%,回头波%,强弱度%,活跃度,笔均量,换手Z,当日___净流入,净买率%,当日___相对流量%,当日___超大单,当日___大单,当日___中单,当日___小单,BS,WIN,RSI1,今日强,3日强,5日强,10日强,20日强,60日强,一年来,年初至今,涨幅%Rank,开买量Rank,开卖量Rank,开盘Rank,最高Rank,最低Rank,收盘Rank,总量Rank,量比Rank,振幅%Rank,总金额Rank,开盘金额Rank,内盘Rank,外盘Rank,内外比Rank,攻击波%Rank,回头波%Rank,强弱度%Rank,活跃度Rank,笔均量Rank,换手ZRank,当日___净流入Rank,净买率%Rank,当日___相对流量%Rank,当日___超大单Rank,当日___大单Rank,当日___中单Rank,当日___小单Rank,BSRank,WINRank,RSI1Rank,今日强Rank,3日强Rank,5日强Rank,10日强Rank,20日强Rank,60日强Rank,一年来Rank,年初至今Rank,买量,卖量,买量Rank,卖量Rank,代码.1,名称.1,代码.1Rank,名称.1Rank,竞价量,竞价量Rank
0,2021-05-06,688368,晶丰明源,8.34,32.0,2.0,299.44,330.0,299.44,322.86,5938.0,1.65,10.25,18857.54,154.3,2626.0,3312.0,0.79,7.82,-2.16,8.5,1294.0,5.0,3.88,   2150万,0.44,11.4,  439.4万, -266.7万,  902.6万,   1074万,1294.0,0.996,74.99,9.56,16.44,17.97,26.61,43.55,88.88,288.91,90.49,101.0,2125.0,3772.0,27.0,23.0,25.0,23.0,4020.0,378.0,120.0,951.0,866.0,4074.0,3905.0,3504.0,115.0,2973.0,121.0,2587.0,4191.0,1067.0,,270.0,769.0,,,,,2582.0,73.0,116.0,98.0,65.0,74.0,79.0,54.0,40.0,19.0,38.0,,,,,,,,,,
1,2021-05-07,688368,晶丰明源,-11.26,3.0,2.0,331.32,332.8,284.0,286.5,6546.0,1.6,15.11,19436.78,,3929.0,2617.0,1.5,0.88,-13.91,-10.61,1507.0,4.0,4.28,  -3929万,-0.9,-20.21, -665.4万,  -1100万,  -2001万, -162.9万,1507.0,0.88,59.403,-9.98,6.69,0.15,14.52,27.38,72.44,215.37,70.61,4259.0,3598.0,3726.0,21.0,22.0,26.0,26.0,3988.0,474.0,37.0,961.0,,3931.0,3987.0,,,,4259.0,2367.0,4241.0,,,3996.0,3254.0,,,,,2367.0,299.0,664.0,4257.0,662.0,2327.0,223.0,153.0,84.0,35.0,80.0,4.0,5.0,3975.0,3823.0,,,,,,
2,2021-05-10,688368,晶丰明源,2.79,2.0,3.0,285.6,309.28,285.0,294.49,4812.0,1.0,8.47,14351.43,95.02,2486.0,2326.0,1.07,3.33,-4.78,2.52,1194.0,4.0,3.15, -473.8万,-0.11,-3.3,0, -145.2万, -388.9万,   60.3万,1194.0,0.895,61.306,2.86,1.38,7.65,19.57,21.89,80.47,238.87,75.33,726.0,3705.0,3653.0,26.0,24.0,26.0,26.0,4100.0,1791.0,263.0,1192.0,1106.0,4101.0,4066.0,2271.0,929.0,4093.0,805.0,2813.0,4238.0,1420.0,,2681.0,1971.0,,,,,2813.0,388.0,683.0,726.0,2582.0,710.0,207.0,262.0,76.0,29.0,79.0,3.0,0.0,3068.0,3013.0,,,,,,
3,2021-05-11,688368,晶丰明源,3.76,0.0,14.0,291.43,314.64,290.33,305.56,3956.0,0.82,8.25,11961.73,65.19,1759.0,2197.0,0.8,5.25,-2.89,3.35,1003.0,4.0,2.59,   1323万,0.28,11.06,  367.0万,  392.9万, -202.9万,  765.9万,1003.0,0.934,63.83600000000001,3.15,-4.61,13.04,15.32,23.97,84.47,251.81,81.17,367.0,4238.0,2789.0,27.0,24.0,26.0,25.0,4134.0,2485.0,309.0,1358.0,1450.0,4165.0,4074.0,3401.0,360.0,3707.0,373.0,3049.0,4228.0,1649.0,,436.0,854.0,,,,,3049.0,221.0,458.0,363.0,3864.0,293.0,242.0,210.0,69.0,24.0,55.0,0.0,0.0,3185.0,3049.0,,,,,,
4,2021-05-12,688368,晶丰明源,-4.81,2.0,3.0,296.39,299.39,277.01,290.85,4850.0,0.92,7.32,13866.8,143.54,2838.0,2012.0,1.41,5.0,-2.85,-5.42,1079.0,4.0,3.08,  -2321万,-0.51,-16.74, -187.8万, -811.9万,  -1183万, -138.1万,1079.0,0.8490000000000001,58.375,-5.24,0.55,-0.86,4.66,17.14,76.45,222.91,72.21,4230.0,3725.0,3634.0,26.0,26.0,26.0,27.0,4059.0,1790.0,419.0,1197.0,770.0,3996.0,4114.0,573.0,538.0,3974.0,4229.0,2934.0,4235.0,1375.0,,3998.0,3686.0,,,,,2934.0,524.0,1036.0,4226.0,2032.0,3318.0,1243.0,387.0,118.0,32.0,93.0,0.0,0.0,3270.0,3046.0,,,,,,
5,2021-05-13,688368,晶丰明源,-0.85,1.0,6.0,281.4,299.76,281.4,288.39,3593.0,0.68,6.31,10451.39,98.32,1585.0,2008.0,0.79,2.48,-3.79,0.11,886.0,4.0,2.28,   1253万,0.28,11.99,0, -294.0万,   1295万,  252.1万,886.0,0.818,57.489,0.18,-2.08,-9.33,6.75,18.96,82.67,225.45,71.77,2418.0,4003.0,3402.0,27.0,26.0,27.0,26.0,4188.0,3432.0,504.0,1515.0,1183.0,4217.0,4110.0,3786.0,848.0,3763.0,2465.0,3319.0,4241.0,1932.0,,367.0,475.0,,,,,3319.0,491.0,990.0,2405.0,3460.0,4156.0,883.0,370.0,103.0,30.0,87.0,0.0,0.0,3246.0,3070.0,,,,,,
6,2021-05-14,688368,晶丰明源,3.33,2.0,3.0,286.39,307.8,286.39,298.0,5454.0,1.14,7.42,16176.2,45.77,2764.0,2690.0,1.03,4.05,-3.18,1.56,1273.0,4.0,3.47, -186.7万,-0.04,-1.15, -630.7万, -322.0万,   24.3万,  741.7万,1273.0,0.888,60.04,0.98,-4.22,1.72,1.84,19.44,91.9,234.98,75.1,623.0,3816.0,3596.0,27.0,26.0,26.0,26.0,4089.0,1553.0,380.0,1181.0,1551.0,4070.0,4079.0,1893.0,595.0,3850.0,572.0,2781.0,4251.0,1410.0,,2579.0,2335.0,,,,,2781.0,347.0,924.0,622.0,3855.0,1320.0,1829.0,328.0,72.0,25.0,77.0,0.0,2.0,3369.0,3018.0,,,,,,
7,2021-05-17,688368,晶丰明源,1.23,2.0,1.0,296.3,309.53,293.98,301.68,4045.0,0.89,5.22,12107.08,5.93,2301.0,1744.0,1.32,2.62,-2.54,0.45,1032.0,4.0,2.57,  -1630万,-0.34,-13.46, -771.5万,  109.2万,   82.3万,  -1050万,1032.0,0.905,61.005,-0.22,0.94,-1.42,6.46,19.31,90.55,228.31,75.81,763.0,3838.0,4036.0,27.0,27.0,27.0,27.0,4207.0,2820.0,910.0,1495.0,3596.0,4200.0,4188.0,1797.0,874.0,2786.0,626.0,3243.0,4257.0,1949.0,,3227.0,2451.0,,,,,3243.0,278.0,657.0,759.0,637.0,1498.0,624.0,267.0,62.0,28.0,72.0,0.0,0.0,3257.0,3172.0,,,,,,
8,2021-05-19,688368,晶丰明源,6.46,2.0,8.0,299.37,325.86,289.08,318.72,5518.0,1.35,12.29,16743.13,0.0,2081.0,3437.0,0.61,10.25,-2.19,6.98,826.0,7.0,3.51,   4182万,0.83,24.98,  133.0万,   3946万,  -90.4万,  193.6万,826.0,0.9840000000000001,65.084,6.76,5.75,7.05,6.0,13.1,101.94,248.17,85.95,129.0,3752.0,3131.0,27.0,26.0,28.0,26.0,4058.0,594.0,46.0,1026.0,4020.0,4165.0,3818.0,4192.0,53.0,3132.0,112.0,3374.0,4049.0,1220.0,,115.0,79.0,,,,,3374.0,91.0,425.0,127.0,283.0,294.0,856.0,420.0,41.0,23.0,61.0,0.0,0.0,3293.0,3081.0,,,,,,
9,2021-05-20,688368,晶丰明源,5.16,17.0,2.0,313.46,337.13,311.09,335.18,4724.0,1.16,8.17,15377.53,6.27,1829.0,2895.0,0.63,7.74,-0.58,5.28,1070.0,4.0,3.0,   3489万,0.66,22.69,  234.4万,  980.2万,   2350万,  -75.4万,1070.0,1.0,68.712,4.89,11.08,12.35,1.34,28.96,110.03,245.51,95.25,172.0,2592.0,3790.0,26.0,25.0,26.0,25.0,4117.0,1074.0,261.0,1167.0,3115.0,4196.0,3974.0,4190.0,109.0,676.0,150.0,2984.0,4254.0,1519.0,,141.0,102.0,,,,,2984.0,1.0,231.0,169.0,134.0,131.0,1213.0,134.0,33.0,25.0,41.0,0.0,0.0,3420.0,3152.0,,,,,,
